|cve-ids|ex_url|types
0|CVE-2006-3322,CVE-2006-3318,CVE-2006-3317|http://securityreason.com/securityalert/1173|
1|CVE-2006-3319|http://securityreason.com/securityalert/1175|
2|CVE-2006-3320|http://securityreason.com/securityalert/1174|
3|CVE-2006-3323|http://securityreason.com/securityalert/1172|
4|CVE-2006-3325,CVE-2006-3324|http://securityreason.com/securityalert/1171|
5|CVE-2006-3329,CVE-2006-3330|http://securityreason.com/securityalert/1179|
6|CVE-2006-3331|http://securityreason.com/securityalert/1177|
7|CVE-2006-1302|http://securityreason.com/securityalert/1238|
8|CVE-2006-1314|http://securityreason.com/securityalert/1212|
9|CVE-2006-2372|http://securityreason.com/securityalert/1201|
10|CVE-2006-3135|http://securityreason.com/securityalert/1236|
11|CVE-2006-3335|http://securityreason.com/securityalert/1178|
12|CVE-2006-3343|http://securityreason.com/securityalert/1184|
13|CVE-2006-3344|http://securityreason.com/securityalert/1183|
14|CVE-2006-3346|http://securityreason.com/securityalert/1182|
15|CVE-2006-3349|http://securityreason.com/securityalert/1181|
16|CVE-2006-3351|http://securityreason.com/securityalert/1186|
17|CVE-2006-3353|http://securityreason.com/securityalert/1185|
18|CVE-2006-3358,CVE-2006-3359|http://securityreason.com/securityalert/1188|
19|CVE-2006-3363|http://securityreason.com/securityalert/1195|
20|CVE-2006-3364|http://securityreason.com/securityalert/1193|
21|CVE-2006-3369,CVE-2006-3367,CVE-2006-3371,CVE-2006-3368,CVE-2006-3370|http://securityreason.com/securityalert/1192|
22|CVE-2006-3373|http://securityreason.com/securityalert/1191|
23|CVE-2006-3376|http://securityreason.com/securityalert/1190|
24|CVE-2006-3382|http://securityreason.com/securityalert/1189|
25|CVE-2006-3388|http://securityreason.com/securityalert/1194|
26|CVE-2006-3390,CVE-2006-3389|http://securityreason.com/securityalert/1187|
27|CVE-2006-3396|http://securityreason.com/securityalert/1197|
28|CVE-2006-3399|http://securityreason.com/securityalert/1196|
29|CVE-2006-3405,CVE-2006-3406|http://securityreason.com/securityalert/1199|
30|CVE-2006-3421|http://securityreason.com/securityalert/1198|
31|CVE-2006-3426,CVE-2006-3425,CVE-2006-3430|http://securityreason.com/securityalert/1200|
32|CVE-2006-3474|http://securityreason.com/securityalert/1230|
