|cve-ids|ex_url|types
0|CVE-2006-3327|http://marc.info/?l=bugtraq&m=115109990800428&w=2|
1|CVE-2006-3431|http://marc.info/?l=bugtraq&m=115274676314243&w=2|
2|CVE-2006-3491|http://marc.info/?l=full-disclosure&m=115220500707900&w=2|
3|CVE-2006-3493|http://marc.info/?l=full-disclosure&m=115231380526820&w=2|
4|CVE-2006-3493|http://marc.info/?l=full-disclosure&m=115261598510657&w=2|
5|CVE-2006-3522|http://marc.info/?l=full-disclosure&m=115249298204354&w=2|
6|CVE-2006-3522|http://marc.info/?l=full-disclosure&m=115253320721404&w=2|
7|CVE-2006-3522|http://marc.info/?l=full-disclosure&m=115253898206225&w=2|
8|CVE-2006-3528|http://marc.info/?l=bugtraq&m=115876919804966&w=2|
9|CVE-2006-3683|http://marc.info/?l=bugtraq&m=115031160401269&w=2|
10|CVE-2006-3747,CVE-2009-3293,CVE-2006-2940,CVE-2005-3352,CVE-2008-0005,CVE-2010-0010,CVE-2009-3555,CVE-2006-3918,CVE-2009-3095,CVE-2002-0839,CVE-2006-4339,CVE-2005-3357,CVE-2007-6388,CVE-2006-4343,CVE-2006-2937,CVE-2009-1891,CVE-2005-2491,CVE-2009-3292,CVE-2006-3738,CVE-2009-3291,CVE-2007-5000,CVE-2004-0492,CVE-2003-0542|http://marc.info/?l=bugtraq&m=130497311408250&w=2|Mailing List,Third Party Advisory
11|CVE-2006-3900|http://marc.info/?l=full-disclosure&m=115385461709949&w=2|
12|CVE-2006-3901|http://marc.info/?l=full-disclosure&m=115378437918939&w=2|
13|CVE-2006-3903,CVE-2006-3905|http://marc.info/?l=bugtraq&m=114791192612460&w=2|
14|CVE-2008-2829,CVE-2008-0599,CVE-2008-5658,CVE-2008-3658,CVE-2008-2939,CVE-2007-6203,CVE-2008-5498,CVE-2008-2371,CVE-2008-2168,CVE-2008-3659,CVE-2008-3660,CVE-2008-0005,CVE-2008-2666,CVE-2008-5557,CVE-2008-5624,CVE-2006-3918,CVE-2008-2364,CVE-2008-5625,CVE-2007-4465,CVE-2008-2665|http://marc.info/?l=bugtraq&m=125631037611762&w=2|Mailing List,Third Party Advisory
15|CVE-2009-1195,CVE-2009-0023,CVE-2010-1452,CVE-2006-3918,CVE-2009-1890,CVE-2009-1891,CVE-2009-1955,CVE-2007-6203,CVE-2009-1956|http://marc.info/?l=bugtraq&m=129190899612998&w=2|Third Party Advisory
16|CVE-2006-2113,CVE-2006-2112|http://marc.info/?l=bugtraq&m=115652437223454&w=2|
17|CVE-2006-3964,CVE-2006-3965,CVE-2006-3963|http://marc.info/?l=full-disclosure&m=115423462216111&w=2|
18|CVE-2006-4019|http://marc.info/?l=full-disclosure&m=115532449024178&w=2|
19|CVE-2006-4029|http://marc.info/?l=full-disclosure&m=115383213602413&w=2|
20|CVE-2006-4039,CVE-2006-4038|http://marc.info/?l=full-disclosure&m=115464286427745&w=2|Exploit,Mailing List
21|CVE-2006-4118|http://marc.info/?l=full-disclosure&m=115464299914573&w=2|
22|CVE-2006-4134|http://marc.info/?l=bugtraq&m=115524314804055&w=2|
23|CVE-2006-4365|http://marc.info/?l=full-disclosure&m=115641059002219&w=2|
24|CVE-2006-4369,CVE-2006-4368|http://marc.info/?l=full-disclosure&m=115641052418714&w=2|
25|CVE-2006-4429|http://marc.info/?l=bugtraq&m=115629049105999&w=2|
26|CVE-2006-4431|http://marc.info/?l=full-disclosure&m=115642248226217&w=2|
27|CVE-2006-4455|http://marc.info/?l=bugtraq&m=115523184321922&w=2|
28|CVE-2006-4339,CVE-2006-2940,CVE-2006-2937|http://marc.info/?l=bind-announce&m=116253119512445&w=2|
29|CVE-2007-2926,CVE-2011-4313,CVE-2006-4096,CVE-2009-0025,CVE-2008-1447,CVE-2012-4244|http://marc.info/?l=bugtraq&m=141879471518471&w=2|Third Party Advisory
30|CVE-2006-4673|http://marc.info/?l=bugtraq&m=115765187519458&w=2|
31|CVE-2006-4718|http://marc.info/?l=full-disclosure&m=115796637230932&w=2|
32|CVE-2006-4754,CVE-2006-4753|http://marc.info/?l=full-disclosure&m=115796646100433&w=2|
33|CVE-2006-4863|http://marc.info/?l=bugtraq&m=115860241806867&w=2|
34|CVE-2006-4920,CVE-2006-4922,CVE-2006-4921,CVE-2006-4919|http://marc.info/?l=bugtraq&m=115869368313367&w=2|
35|CVE-2006-5052,CVE-2006-5051,CVE-2006-4924|http://marc.info/?l=openssh-unix-dev&m=115939141729160&w=2|
36|CVE-2006-5043|http://marc.info/?l=bugtraq&m=117468769820721&w=2|
37|CVE-2006-5055|http://marc.info/?l=full-disclosure&m=115913461828660&w=2|
38|CVE-2006-5069|http://marc.info/?l=full-disclosure&m=115918334930694&w=2|
39|CVE-2006-5158|http://marc.info/?l=linux-kernel&m=113476665626446&w=2|
40|CVE-2006-5158|http://marc.info/?l=linux-kernel&m=113494474208973&w=2|
41|CVE-2006-5219|http://marc.info/?l=full-disclosure&m=116034301209228&w=2|
42|CVE-2006-5239|http://marc.info/?l=full-disclosure&m=116042862409660&w=2|
43|CVE-2006-5255|http://marc.info/?l=bugtraq&m=116059865515095&w=2|
44|CVE-2006-5259|http://marc.info/?l=bugtraq&m=116049484210942&w=2|
45|CVE-2006-5285|http://marc.info/?l=full-disclosure&m=116062269104422&w=2|
46|CVE-2006-5287|http://marc.info/?l=full-disclosure&m=116062281632705&w=2|
47|CVE-2006-5297,CVE-2006-5298|http://marc.info/?l=mutt-dev&m=115999486426292&w=2|
48|CVE-2006-5301|http://marc.info/?l=bugtraq&m=116076619122083&w=2|
49|CVE-2006-5402|http://marc.info/?l=bugtraq&m=116110988829381&w=2|
50|CVE-2006-5422|http://marc.info/?l=bugtraq&m=116104206220783&w=2|
51|CVE-2006-5425|http://marc.info/?l=full-disclosure&m=116115975806681&w=2|
52|CVE-2006-5471|http://marc.info/?l=bugtraq&m=116051953607495&w=2|
53|CVE-2006-5533|http://marc.info/?l=full-disclosure&m=116154841209515&w=2|
54|CVE-2006-5570,CVE-2006-5571|http://marc.info/?l=full-disclosure&m=116167230400165&w=2|
55|CVE-2006-5651|http://marc.info/?l=full-disclosure&m=116288079420333&w=2|
56|CVE-2006-5712|http://marc.info/?l=full-disclosure&m=116232831525086&w=2|
57|CVE-2006-5768|http://marc.info/?l=bugtraq&m=116283724113571&w=2|
58|CVE-2006-5769|http://marc.info/?l=bugtraq&m=116266802117129&w=2|
59|CVE-2006-5796|http://marc.info/?l=bugtraq&m=116283614914510&w=2|
60|CVE-2006-5799,CVE-2006-5797|http://marc.info/?l=bugtraq&m=116266150514762&w=2|
61|CVE-2006-5798,CVE-2006-5797|http://marc.info/?l=bugtraq&m=116267021732120&w=2|
62|CVE-2006-5826|http://marc.info/?l=full-disclosure&m=116289234522958&w=2|
63|CVE-2006-5826|http://marc.info/?l=full-disclosure&m=116295408114746&w=2|
64|CVE-2006-5844,CVE-2006-5843,CVE-2006-5845|http://marc.info/?l=bugtraq&m=116302805802656&w=2|Mailing List
65|CVE-2006-5847,CVE-2006-5846|http://marc.info/?l=bugtraq&m=116303405916694&w=2|Mailing List
66|CVE-2006-5851,CVE-2006-5852|http://marc.info/?l=full-disclosure&m=116296717330758&w=2|Mailing List
67|CVE-2006-5893|http://marc.info/?l=bugtraq&m=116374093504388&w=2|
68|CVE-2006-5925|http://marc.info/?l=full-disclosure&m=116355556512780&w=2|
69|CVE-2006-5938,CVE-2006-5939,CVE-2006-5940,CVE-2006-5937|http://marc.info/?l=full-disclosure&m=116343152030074&w=2|Mailing List
70|CVE-2006-6035|http://marc.info/?l=bugtraq&m=116387287216907&w=2|Mailing List
71|CVE-2006-6037|http://marc.info/?l=bugtraq&m=116387632908248&w=2|Mailing List
72|CVE-2006-6046|http://marc.info/?l=bugtraq&m=116373125308955&w=2|Mailing List
73|CVE-2006-6073|http://marc.info/?l=bugtraq&m=116353137028066&w=2|Mailing List
74|CVE-2006-6094|http://marc.info/?l=bugtraq&m=116388432326444&w=2|Mailing List
75|CVE-2006-6096,CVE-2006-6095|http://marc.info/?l=bugtraq&m=116387481223790&w=2|Mailing List
76|CVE-2006-6109|http://marc.info/?l=bugtraq&m=116372253323469&w=2|Mailing List
77|CVE-2006-6175|http://marc.info/?l=horde-announce&m=116483107007152&w=2|
78|CVE-2006-6175|http://marc.info/?l=horde-announce&m=116483121211579&w=2|
79|CVE-2008-0112,CVE-2008-0117,CVE-2008-0111,CVE-2008-0110,CVE-2006-4695,CVE-2008-0113,CVE-2008-0081,CVE-2008-0114,CVE-2008-0118,CVE-2008-0116,CVE-2008-0115,CVE-2007-1201|http://marc.info/?l=bugtraq&m=120585858807305&w=2|
80|CVE-2006-6106|http://marc.info/?l=linux-kernel&m=116614741607528&w=2|
81|CVE-2006-6106|http://marc.info/?l=linux-kernel&m=116648929829440&w=2|
82|CVE-2006-6358,CVE-2006-6359|http://marc.info/?l=bugtraq&m=116525508018486&w=2|Mailing List
83|CVE-2006-6367|http://marc.info/?l=bugtraq&m=116508632603388&w=2|Mailing List
84|CVE-2006-6403,CVE-2006-6402,CVE-2006-6401|http://marc.info/?l=bugtraq&m=116344068502988&w=2|Mailing List
85|CVE-2006-6451|http://marc.info/?l=bugtraq&m=116370467532206&w=2|Mailing List
86|CVE-2006-6552|http://marc.info/?l=bugtraq&m=116595444801459&w=2|
87|CVE-2006-6581|http://marc.info/?l=bugtraq&m=116345671023015&w=2|Third Party Advisory
88|CVE-2006-6682,CVE-2006-6679,CVE-2006-6681|http://marc.info/?l=bugtraq&m=116371297325564&w=2|Mailing List,Third Party Advisory
89|CVE-2006-6697|http://marc.info/?l=full-disclosure&m=116664018702238&w=2|
90|CVE-2006-6697|http://marc.info/?l=full-disclosure&m=116666155824901&w=2|
91|CVE-2006-6808|http://marc.info/?l=full-disclosure&m=116722128631087&w=2|
92|CVE-2006-6909|http://marc.info/?l=full-disclosure&m=116760539609173&w=2|
93|CVE-1999-1373|http://marc.info/?l=bugtraq&m=91651770130771&w=2|
94|CVE-1999-1431|http://marc.info/?l=ntbugtraq&m=91576100022688&w=2|
95|CVE-1999-1431|http://marc.info/?l=ntbugtraq&m=91606260910008&w=2|
96|CVE-2004-0568|http://marc.info/?l=bugtraq&m=110312618614849&w=2|
97|CVE-2004-0881,CVE-2004-0880|http://marc.info/?l=bugtraq&m=109571883130372&w=2|
98|CVE-2004-0882|http://marc.info/?l=bugtraq&m=110054671403755&w=2|
99|CVE-2004-0882|http://marc.info/?l=bugtraq&m=110055646329581&w=2|
100|CVE-2004-0930,CVE-2004-0882|http://marc.info/?l=bugtraq&m=110330519803655&w=2|
101|CVE-2004-0949,CVE-2004-0883|http://marc.info/?l=bugtraq&m=110072140811965&w=2|
102|CVE-2004-0883|http://marc.info/?l=bugtraq&m=110082989725345&w=2|
103|CVE-2004-0884|http://marc.info/?l=bugtraq&m=110693126007214&w=2|
104|CVE-2004-0886|http://marc.info/?l=bugtraq&m=109779465621929&w=2|
105|CVE-2004-0889,CVE-2004-0888|http://marc.info/?l=bugtraq&m=109880927526773&w=2|
106|CVE-2004-0888|http://marc.info/?l=bugtraq&m=110815379627883&w=2|
107|CVE-2004-0903,CVE-2004-0902,CVE-2004-0904,CVE-2004-0909,CVE-2004-0905,CVE-2004-0908|http://marc.info/?l=bugtraq&m=109698896104418&w=2|
108|CVE-2004-0903,CVE-2004-0902,CVE-2004-0765,CVE-2004-0908,CVE-2004-0718,CVE-2004-0764,CVE-2003-0564,CVE-2004-0757,CVE-2004-0904,CVE-2004-0761,CVE-2004-0597,CVE-2004-0905,CVE-2004-0759,CVE-2004-0760,CVE-2004-0763,CVE-2004-0599,CVE-2004-0758,CVE-2004-0762|http://marc.info/?l=bugtraq&m=109900315219363&w=2|
109|CVE-2004-0918|http://marc.info/?l=bugtraq&m=109913064629327&w=2|
110|CVE-2004-0930|http://marc.info/?l=bugtraq&m=109993720717957&w=2|
111|CVE-2004-0953|http://marc.info/?l=bugtraq&m=110144303826709&w=2|
112|CVE-2004-0994|http://marc.info/?l=bugtraq&m=110297198402077&w=2|
113|CVE-2004-0996|http://marc.info/?l=bugtraq&m=110133485519690&w=2|
114|CVE-2004-1008|http://marc.info/?l=bugtraq&m=109889312917613&w=2|
115|CVE-2004-1012,CVE-2004-1013,CVE-2004-1011|http://marc.info/?l=bugtraq&m=110123023521619&w=2|
116|CVE-2004-1019,CVE-2004-1018|http://marc.info/?l=bugtraq&m=110314318531298&w=2|Issue Tracking,Third Party Advisory
117|CVE-2004-1022|http://marc.info/?l=bugtraq&m=110304957607578&w=2|
118|CVE-2004-1023|http://marc.info/?l=bugtraq&m=110305387813002&w=2|
119|CVE-2004-1151,CVE-2004-0814,CVE-2004-1137,CVE-2004-1068,CVE-2004-1069|http://marc.info/?l=bugtraq&m=110306397320336&w=2|
120|CVE-2004-1069|http://marc.info/?l=linux-kernel&m=110045613004761|
121|CVE-2004-1074|http://marc.info/?l=bugtraq&m=110322596918807&w=2|
122|CVE-2004-1074|http://marc.info/?l=linux-kernel&m=110021173607372&w=2|
123|CVE-2004-1075|http://marc.info/?l=bugtraq&m=110138568212036&w=2|
124|CVE-2004-1075|http://marc.info/?l=bugtraq&m=110149122529761&w=2|
125|CVE-2004-1076|http://marc.info/?l=bugtraq&m=110142899319841&w=2|
126|CVE-2004-1076|http://marc.info/?l=bugtraq&m=110149441815270&w=2|
127|CVE-2004-1079|http://marc.info/?l=bugtraq&m=110175523207437&w=2|
