|cve-ids|ex_url|types
0|CVE-2014-3871,CVE-2006-3823|http://packetstormsecurity.com/files/126329/GeoCore-MAX-DB-7.3.3-Blind-SQL-Injection.html|Exploit
1|CVE-2006-6576|http://packetstormsecurity.com/files/161711/Golden-FTP-Server-4.70-Buffer-Overflow.html|Exploit,VDB Entry,Third Party Advisory
2|CVE-2018-7653|https://packetstormsecurity.com/files/147065/YzmCMS-3.6-Cross-Site-Scripting.html|Exploit,VDB Entry,Third Party Advisory
3|CVE-2018-7184,CVE-2018-7185,CVE-2018-7170,CVE-2018-7182|http://packetstormsecurity.com/files/146631/Slackware-Security-Advisory-ntp-Updates.html|VDB Entry,Third Party Advisory
4|CVE-2018-7736|https://packetstormsecurity.com/files/147066/Z-Blog-1.5.1.1740-Cross-Site-Scripting.html|Exploit,VDB Entry,Third Party Advisory
5|CVE-2018-7737|https://packetstormsecurity.com/files/147063/Z-Blog-1.5.1.1740-Full-Path-Disclosure.html|Exploit,VDB Entry,Third Party Advisory
6|CVE-2018-5313|http://packetstormsecurity.com/files/146668/Rapid-Scada-5.5.0-Insecure-Permissions.html|VDB Entry,Third Party Advisory
7|CVE-2014-6617|http://packetstormsecurity.com/files/128976/Softing-FG-100-PB-Hardcoded-Backdoor.html|Exploit,VDB Entry,Third Party Advisory
8|CVE-2018-7581|http://packetstormsecurity.com/files/146697/WebLog-Expert-Web-Server-Enterprise-9.4-Weak-Permissions.html|Exploit,VDB Entry,Third Party Advisory
9|CVE-2018-7582|http://packetstormsecurity.com/files/146698/WebLog-Expert-Web-Server-Enterprise-9.4-Denial-Of-Service.html|Exploit,VDB Entry,Third Party Advisory
10|CVE-2018-7213,CVE-2019-6481|http://packetstormsecurity.com/files/152139/Abine-Blur-7.8.24x-Authentication-Bypass.html|VDB Entry,Third Party Advisory
11|CVE-2018-8720|https://packetstormsecurity.com/files/137427/ServiceNow-ITSM-Cross-Site-Scripting.html|VDB Entry,Third Party Advisory
12|CVE-2016-10715|https://packetstormsecurity.com/files/137648/JIRA-Artezio-Board-1.4-Cross-Site-Scripting-Information-Disclosure.html|VDB Entry,Third Party Advisory
13|CVE-2016-10716|https://packetstormsecurity.com/files/137649/JIRA-Mail.ru-Calendar-2.4.2.50_JIRA6-Cross-Site-Scripting.html|VDB Entry,Third Party Advisory
14|CVE-2014-4613|http://packetstormsecurity.com/files/125438/Piwigo-2.6.1-Cross-Site-Request-Forgery.html|Exploit,VDB Entry,Third Party Advisory
15|CVE-2014-1665|https://packetstormsecurity.com/files/125086|Exploit,VDB Entry,Third Party Advisory
16|CVE-2014-3990|http://packetstormsecurity.com/files/127460/OpenCart-1.5.6.4-PHP-Object-Injection.html|Exploit,VDB Entry,Third Party Advisory
17|CVE-2018-7658|http://packetstormsecurity.com/files/146645/Softros-Network-Time-System-Server-2.3.4-Denial-Of-Service.html|Exploit,VDB Entry,Third Party Advisory
18|CVE-2014-4959|http://packetstormsecurity.com/files/127651/Android-SDK-SQL-Injection.html|Exploit,VDB Entry,Third Party Advisory
