|cve-ids|ex_url|types
0|CVE-2006-3320|http://www.debian.org/security/2006/dsa-1130|
1|CVE-2006-2194|http://www.debian.org/security/2006/dsa-1106|Patch,Vendor Advisory
2|CVE-2005-4798,CVE-2006-2444,CVE-2006-2935,CVE-2006-2446,CVE-2006-3745,CVE-2006-4535,CVE-2006-1528|http://www.debian.org/security/2006/dsa-1183|Third Party Advisory
3|CVE-2006-1855,CVE-2005-4798,CVE-2006-2444,CVE-2006-2935,CVE-2006-2936,CVE-2006-2446,CVE-2006-1343,CVE-2006-1856,CVE-2006-4145,CVE-2006-4093,CVE-2004-2660,CVE-2006-1052,CVE-2006-3468,CVE-2006-3745,CVE-2006-4535,CVE-2006-1528|http://www.debian.org/security/2006/dsa-1184|Third Party Advisory
4|CVE-2006-3119|http://www.debian.org/security/2006/dsa-1124|Patch,Vendor Advisory
5|CVE-2006-3120|http://www.debian.org/security/2006/dsa-1129|Patch,Vendor Advisory
6|CVE-2006-3376|https://www.debian.org/security/2006/dsa-1194|
7|CVE-2006-3378|http://www.debian.org/security/2006/dsa-1150|
8|CVE-2006-3379|http://www.debian.org/security/2006/dsa-1119|
9|CVE-2005-3912,CVE-2006-3392,CVE-2006-4542|http://www.debian.org/security/2006/dsa-1199|Third Party Advisory
10|CVE-2006-3403|http://www.debian.org/security/2006/dsa-1110|
11|CVE-2006-3404|http://www.debian.org/security/2006/dsa-1116|
12|CVE-2006-3458|http://www.debian.org/security/2006/dsa-1113|
13|CVE-2006-3467|http://www.debian.org/security/2006/dsa-1178|
14|CVE-2006-3739,CVE-2006-3740,CVE-2006-4447,CVE-2006-3467|http://www.debian.org/security/2006/dsa-1193|
15|CVE-2006-3469,CVE-2006-3081|http://www.debian.org/security/2006/dsa-1112|Patch,Vendor Advisory
16|CVE-2007-1474,CVE-2006-3548,CVE-2006-4256,CVE-2007-1473,CVE-2006-3549|http://www.debian.org/security/2007/dsa-1406|
17|CVE-2006-3600|http://www.debian.org/security/2006/dsa-1135|
18|CVE-2006-3619|http://www.debian.org/security/2006/dsa-1170|
19|CVE-2006-3626|http://www.debian.org/security/2006/dsa-1111|
20|CVE-2006-3631,CVE-2006-3628,CVE-2006-3630,CVE-2006-3632,CVE-2006-3629|http://www.debian.org/security/2006/dsa-1127|
21|CVE-2006-3668|http://www.debian.org/security/2006/dsa-1123|
22|CVE-2006-3694|http://www.debian.org/security/2006/dsa-1139|Patch,Vendor Advisory
23|CVE-2006-1931,CVE-2006-3694|http://www.debian.org/security/2006/dsa-1157|
24|CVE-2006-3695|http://www.debian.org/security/2006/dsa-1152|
25|CVE-2006-3746|http://www.debian.org/security/2006/dsa-1140|
26|CVE-2006-3746|http://www.debian.org/security/2006/dsa-1141|
27|CVE-2006-3747|http://www.debian.org/security/2006/dsa-1131|Patch
28|CVE-2006-3747|http://www.debian.org/security/2006/dsa-1132|Patch
29|CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3808,CVE-2006-2779,CVE-2006-3809|http://www.debian.org/security/2006/dsa-1159|
30|CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3808,CVE-2006-2779,CVE-2006-3809|http://www.debian.org/security/2006/dsa-1160|
31|CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3808,CVE-2006-3811,CVE-2006-3809|http://www.debian.org/security/2006/dsa-1161|
32|CVE-2006-3814|http://www.debian.org/security/2006/dsa-1166|
