|cve-ids|ex_url|types
0|CVE-2006-1861,CVE-2007-5208,CVE-2006-3467,CVE-2007-4224,CVE-2007-4569,CVE-2007-4924,CVE-2007-4074,CVE-2007-4995|http://lists.opensuse.org/opensuse-security-announce/2007-10/msg00006.html|
1|CVE-2008-5234,CVE-2007-0185,CVE-2008-5240,CVE-2007-5333,CVE-2008-4577,CVE-2008-1586,CVE-2008-5250,CVE-2007-3386,CVE-2008-5252,CVE-2007-5461,CVE-2007-5342,CVE-2008-2938,CVE-2008-5233,CVE-2007-0184,CVE-2008-0002,CVE-2008-5302,CVE-2008-1947,CVE-2009-0490,CVE-2009-0313,CVE-2008-3663,CVE-2008-3651,CVE-2008-5086,CVE-2008-5557,CVE-2008-5246,CVE-2008-5256,CVE-2008-3652,CVE-2009-0030,CVE-2008-5236,CVE-2008-5244,CVE-2008-2370,CVE-2007-2377,CVE-2008-3796,CVE-2008-5247,CVE-2008-3231,CVE-2008-5658,CVE-2008-5235,CVE-2007-3382,CVE-2007-3385,CVE-2007-5615,CVE-2008-5242,CVE-2008-2235,CVE-2008-5237,CVE-2008-5239,CVE-2007-2449,CVE-2008-5241,CVE-2008-5238,CVE-2007-2450,CVE-2006-3835,CVE-2008-5587,CVE-2007-5613,CVE-2009-0310,CVE-2008-1232,CVE-2008-5245,CVE-2008-5248,CVE-2009-0416,CVE-2008-5243,CVE-2007-6286,CVE-2008-5718|http://lists.opensuse.org/opensuse-security-announce/2009-02/msg00002.html|Vendor Advisory
2|CVE-2007-6422,CVE-2008-0005,CVE-2007-6388,CVE-2007-5000,CVE-2006-3918,CVE-2007-6203,CVE-2007-6421|http://lists.opensuse.org/opensuse-security-announce/2008-04/msg00004.html|
3|CVE-2006-4484,CVE-2007-2692,CVE-2008-0732,CVE-2007-2583,CVE-2007-6428,CVE-2007-4965,CVE-2008-0123,CVE-2007-6303,CVE-2007-6429,CVE-2007-5925,CVE-2007-6427,CVE-2007-6109,CVE-2007-2691,CVE-2007-5969,CVE-2007-5503,CVE-2007-5794,CVE-2007-6304|http://lists.opensuse.org/opensuse-security-announce/2008-02/msg00003.html|Patch,Mailing List,Third Party Advisory
4|CVE-2007-6613,CVE-2007-5461,CVE-2008-1070,CVE-2007-5135,CVE-2008-0785,CVE-2008-0128,CVE-2006-4484,CVE-2007-4770,CVE-2008-0786,CVE-2007-4771,CVE-2008-1072,CVE-2008-0784,CVE-2007-3382,CVE-2007-3385,CVE-2008-0883,CVE-2005-2090,CVE-2007-6430,CVE-2008-0783,CVE-2007-1860,CVE-2008-1071,CVE-2007-6170,CVE-2006-7196|http://lists.opensuse.org/opensuse-security-announce/2008-03/msg00001.html|Third Party Advisory
5|CVE-2008-3834,CVE-2012-3524,CVE-2008-0595,CVE-2008-4311,CVE-2006-6107,CVE-2010-4352|http://lists.opensuse.org/opensuse-updates/2012-10/msg00094.html|
6|CVE-2007-6389,CVE-2008-3140,CVE-2006-7232,CVE-2008-2664,CVE-2008-3138,CVE-2008-1145,CVE-2008-1679,CVE-2008-3146,CVE-2008-1142,CVE-2008-3145,CVE-2008-1927,CVE-2008-2827,CVE-2008-3137,CVE-2008-3143,CVE-2008-2663,CVE-2008-2079,CVE-2008-3337,CVE-2008-3142,CVE-2008-2662,CVE-2008-0564,CVE-2008-1887,CVE-2008-1447,CVE-2008-2316,CVE-2008-2725,CVE-2008-1468,CVE-2008-2726,CVE-2008-3144,CVE-2008-3141,CVE-2008-1891,CVE-2008-3139,CVE-2008-3746,CVE-2008-2315|http://lists.opensuse.org/opensuse-security-announce/2008-08/msg00006.html|Third Party Advisory
7|CVE-2008-1096,CVE-2008-1806,CVE-2008-2357,CVE-2004-0918,CVE-2008-1097,CVE-2008-0887,CVE-2008-2051,CVE-2008-1808,CVE-2008-1384,CVE-2008-2371,CVE-2008-3067,CVE-2008-1807,CVE-2008-2713,CVE-2008-2050,CVE-2008-2667,CVE-2008-2107,CVE-2008-1947|http://lists.opensuse.org/opensuse-security-announce/2008-07/msg00001.html|Vendor Advisory
8|CVE-2004-1019,CVE-2015-0231,CVE-2014-8142,CVE-2015-0232,CVE-2014-9427|http://lists.opensuse.org/opensuse-security-announce/2015-02/msg00029.html|
9|CVE-2004-1019,CVE-2015-0231,CVE-2014-8142,CVE-2015-0232,CVE-2014-9427,CVE-2014-9426|http://lists.opensuse.org/opensuse-updates/2015-02/msg00079.html|
