|cve-ids|ex_url|types
0|CVE-2017-17428,CVE-2017-12373|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20171212-bleichenbacher|Mitigation,Vendor Advisory,Issue Tracking,Third Party Advisory
1|CVE-2018-0087|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-wsa|Vendor Advisory
2|CVE-2018-0141|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-cpcp|Vendor Advisory
3|CVE-2018-0144|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-pdcnm|Vendor Advisory
4|CVE-2018-0147|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-acs2|Vendor Advisory
5|CVE-2018-0207|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-acs|Vendor Advisory
6|CVE-2018-0208|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-res|Vendor Advisory
7|CVE-2018-0209|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-550x|Vendor Advisory
8|CVE-2018-0210|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-dcnm|Vendor Advisory
9|CVE-2018-0211|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-ise|Vendor Advisory
10|CVE-2018-0212|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-ise1|Vendor Advisory
11|CVE-2018-0213|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-ise2|Vendor Advisory
12|CVE-2018-0214|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-ise3|Vendor Advisory
13|CVE-2018-0215|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-ise4|Vendor Advisory
14|CVE-2018-0216|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-ise5|Vendor Advisory
15|CVE-2018-0217|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-staros|Vendor Advisory
16|CVE-2018-0218|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-acs1|Vendor Advisory
17|CVE-2018-0219|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-ucs|Vendor Advisory
18|CVE-2018-0220|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-val|Vendor Advisory
19|CVE-2018-0221|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-ise6|Vendor Advisory
20|CVE-2018-0223|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-sm|Vendor Advisory
21|CVE-2018-0224|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180307-staros1|Vendor Advisory
22|CVE-2017-12310|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20171023-spark|Vendor Advisory
23|CVE-2017-12319|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20171103-bgp|Vendor Advisory
24|CVE-2018-0198|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180207-ucm1|Vendor Advisory
25|CVE-2018-0150|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-xesc|Vendor Advisory,Mitigation
26|CVE-2018-0151|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-qos|Vendor Advisory,Mitigation
27|CVE-2018-0152|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-xepriv|Vendor Advisory
28|CVE-2018-0154|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-dos|Vendor Advisory
29|CVE-2018-0155|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-bfd|Vendor Advisory
30|CVE-2018-0156|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-smi|Vendor Advisory
31|CVE-2018-0157|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-fwip|Vendor Advisory
32|CVE-2018-0158|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-ike|Vendor Advisory
33|CVE-2018-0159|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-ike-dos|Vendor Advisory
34|CVE-2018-0160|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-snmp-dos|Vendor Advisory,Mitigation
35|CVE-2018-0161|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-snmp|Vendor Advisory,Mitigation
36|CVE-2018-0163|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-dot1x|Vendor Advisory
37|CVE-2018-0164|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-sisf|Vendor Advisory
38|CVE-2018-0165|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-igmp|Vendor Advisory
39|CVE-2018-0167,CVE-2018-0175|https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20180328-lldp|Vendor Advisory
