|cve-ids|ex_url|types
0|CVE-2018-0787|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0787|Patch,Vendor Advisory
1|CVE-2018-0808|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0808|Patch,Vendor Advisory
2|CVE-2018-0811|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0811|Patch,Vendor Advisory
3|CVE-2018-0813|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0813|Patch,Vendor Advisory
4|CVE-2018-0814|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0814|Patch,Vendor Advisory
5|CVE-2018-0815|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0815|Patch,Vendor Advisory
6|CVE-2018-0816|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0816|Patch,Vendor Advisory
7|CVE-2018-0817|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0817|Patch,Vendor Advisory
8|CVE-2018-0868|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0868|Patch,Vendor Advisory
9|CVE-2018-0872|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0872|Patch,Vendor Advisory
10|CVE-2018-0873|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0873|Patch,Vendor Advisory
11|CVE-2018-0874|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0874|Patch,Vendor Advisory
12|CVE-2018-0875|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0875|Patch,Vendor Advisory
13|CVE-2018-0876|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0876|Patch,Vendor Advisory
14|CVE-2018-0877|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0877|Patch,Vendor Advisory
15|CVE-2018-0878|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0878|Patch,Vendor Advisory
16|CVE-2018-0879|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0879|Patch,Vendor Advisory
17|CVE-2018-0880|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0880|Patch,Vendor Advisory
18|CVE-2018-0881|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0881|Patch,Vendor Advisory
19|CVE-2018-0882|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0882|Patch,Vendor Advisory
20|CVE-2018-0883|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0883|Patch,Vendor Advisory
21|CVE-2018-0884|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0884|Patch,Vendor Advisory
22|CVE-2018-0885|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0885|Patch,Vendor Advisory
23|CVE-2018-0886|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0886|Patch,Vendor Advisory
24|CVE-2018-0888|https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0888|Patch,Vendor Advisory
