|cve-ids|ex_url|types
0|CVE-2006-4914|http://seclists.org/fulldisclosure/2006/Sep/0341.html|Exploit
1|CVE-2005-0406|http://seclists.org/lists/fulldisclosure/2005/Feb/0343.html|
2|CVE-2005-0745|http://seclists.org/lists/bugtraq/2005/Mar/0168.html|Exploit,Vendor Advisory
3|CVE-2005-0124|http://seclists.org/lists/linux-kernel/2004/Dec/3914.html|
4|CVE-2005-0124|http://seclists.org/lists/linux-kernel/2005/Jan/1089.html|
5|CVE-2005-0124|http://seclists.org/lists/linux-kernel/2005/Jan/2018.html|Vendor Advisory
6|CVE-2005-0124|http://seclists.org/lists/linux-kernel/2005/Jan/2020.html|
7|CVE-2005-0413|http://seclists.org/lists/bugtraq/2005/Feb/0125.html|Exploit
8|CVE-2005-0420|http://seclists.org/lists/fulldisclosure/2005/Feb/0106.html|Mailing List,Third Party Advisory
9|CVE-2005-1134|http://seclists.org/lists/bugtraq/2005/Apr/0195.html|
10|CVE-2005-1275|http://seclists.org/lists/bugtraq/2005/Apr/0407.html|Exploit
11|CVE-2005-0407|http://seclists.org/lists/fulldisclosure/2005/Feb/0347.html|
12|CVE-2005-0737|http://seclists.org/lists/fulldisclosure/2005/Mar/0284.html|
13|CVE-2005-1184|http://seclists.org/lists/fulldisclosure/2005/Apr/0358.html|
14|CVE-2005-1184|http://seclists.org/lists/fulldisclosure/2005/Apr/0383.html|
15|CVE-2005-1184|http://seclists.org/lists/fulldisclosure/2005/Apr/0385.html|
16|CVE-2005-1186|http://seclists.org/lists/bugtraq/2005/Apr/0212.html|Patch
17|CVE-2005-1193|http://seclists.org/lists/bugtraq/2005/May/0098.html|
18|CVE-2005-1195|http://seclists.org/lists/bugtraq/2005/Apr/0337.html|
19|CVE-2005-1231|http://seclists.org/lists/fulldisclosure/2005/Apr/0416.html|Exploit,Patch
20|CVE-2017-15130|http://seclists.org/oss-sec/2018/q1/205|Mailing List,Third Party Advisory
21|CVE-2018-1182|http://seclists.org/fulldisclosure/2018/Mar/16|Mailing List,Third Party Advisory
22|CVE-2018-1215,CVE-2018-1216|http://seclists.org/fulldisclosure/2018/Feb/41|Mailing List,Third Party Advisory
23|CVE-2018-1220,CVE-2018-1219|http://seclists.org/fulldisclosure/2018/Mar/12|Mailing List,Third Party Advisory
24|CVE-2018-5313|http://seclists.org/fulldisclosure/2018/Mar/11|Mailing List,Third Party Advisory
25|CVE-2018-7213,CVE-2019-6481|http://seclists.org/fulldisclosure/2019/Mar/33|Mailing List,Third Party Advisory
26|CVE-2018-1206|http://seclists.org/fulldisclosure/2018/Mar/22|Mailing List,Third Party Advisory
27|CVE-2018-6016|http://seclists.org/fulldisclosure/2018/Mar/21|Mailing List,Third Party Advisory
28|CVE-2018-6183|http://seclists.org/fulldisclosure/2018/Mar/24|Mailing List,Third Party Advisory
29|CVE-2018-6321|http://seclists.org/fulldisclosure/2018/Mar/25|Mailing List,Third Party Advisory
30|CVE-2018-6322|http://seclists.org/fulldisclosure/2018/Mar/26|Mailing List,Third Party Advisory
31|CVE-2018-6400|http://seclists.org/fulldisclosure/2018/Mar/27|Mailing List,Third Party Advisory
32|CVE-2018-6623|http://seclists.org/fulldisclosure/2018/Mar/23|Mailing List,Third Party Advisory
33|CVE-2018-7538|http://seclists.org/fulldisclosure/2018/Mar/20|Exploit,Mailing List,Third Party Advisory
34|CVE-2018-1000097|http://seclists.org/bugtraq/2018/Feb/54|Mailing List,Third Party Advisory
35|CVE-2018-7474|http://seclists.org/fulldisclosure/2018/Mar/34|Exploit,Mailing List,Third Party Advisory
