|cve-ids|ex_url|types
0|CVE-2006-3318|https://exchange.xforce.ibmcloud.com/vulnerabilities/27459|
1|CVE-2006-3319|https://exchange.xforce.ibmcloud.com/vulnerabilities/27448|
2|CVE-2006-3320|https://exchange.xforce.ibmcloud.com/vulnerabilities/27421|
3|CVE-2006-3321|https://exchange.xforce.ibmcloud.com/vulnerabilities/27361|
4|CVE-2006-3322|https://exchange.xforce.ibmcloud.com/vulnerabilities/27458|
5|CVE-2006-3323|https://exchange.xforce.ibmcloud.com/vulnerabilities/27412|
6|CVE-2006-3323|https://exchange.xforce.ibmcloud.com/vulnerabilities/27415|
7|CVE-2006-3325,CVE-2006-3324|https://exchange.xforce.ibmcloud.com/vulnerabilities/27486|
8|CVE-2006-3325|https://exchange.xforce.ibmcloud.com/vulnerabilities/26889|
9|CVE-2006-3326|https://exchange.xforce.ibmcloud.com/vulnerabilities/27474|
10|CVE-2006-3327|https://exchange.xforce.ibmcloud.com/vulnerabilities/27398|
11|CVE-2006-3327|https://exchange.xforce.ibmcloud.com/vulnerabilities/27399|
12|CVE-2006-3328|https://exchange.xforce.ibmcloud.com/vulnerabilities/27426|
13|CVE-2006-3329|https://exchange.xforce.ibmcloud.com/vulnerabilities/27453|
14|CVE-2006-3330|https://exchange.xforce.ibmcloud.com/vulnerabilities/27454|
15|CVE-2006-3331|https://exchange.xforce.ibmcloud.com/vulnerabilities/27449|
16|CVE-2006-3332|https://exchange.xforce.ibmcloud.com/vulnerabilities/24372|
17|CVE-2006-3333|https://exchange.xforce.ibmcloud.com/vulnerabilities/19598|
18|CVE-2006-3334|https://exchange.xforce.ibmcloud.com/vulnerabilities/27468|
19|CVE-2006-1540,CVE-2006-1316|https://exchange.xforce.ibmcloud.com/vulnerabilities/27607|VDB Entry,Third Party Advisory
20|CVE-2006-0026|https://exchange.xforce.ibmcloud.com/vulnerabilities/26796|
21|CVE-2006-0817|https://exchange.xforce.ibmcloud.com/vulnerabilities/27773|
22|CVE-2006-0818|https://exchange.xforce.ibmcloud.com/vulnerabilities/27780|
23|CVE-2006-1176|https://exchange.xforce.ibmcloud.com/vulnerabilities/27631|
24|CVE-2006-1178|https://exchange.xforce.ibmcloud.com/vulnerabilities/28053|
25|CVE-2006-1300|https://exchange.xforce.ibmcloud.com/vulnerabilities/26802|
