|cve-ids|ex_url|types
0|CVE-2006-2451|http://www.redhat.com/support/errata/RHSA-2006-0574.html|
1|CVE-2006-2933|http://www.redhat.com/support/errata/RHSA-2006-0576.html|
2|CVE-2006-3626,CVE-2006-2444,CVE-2006-2935,CVE-2006-2936,CVE-2006-1858,CVE-2004-2660,CVE-2006-2932,CVE-2006-3468,CVE-2006-3745|http://www.redhat.com/support/errata/RHSA-2006-0617.html|Patch,Broken Link,Vendor Advisory,Third Party Advisory
3|CVE-2006-4997,CVE-2006-2935,CVE-2006-4342,CVE-2006-2071,CVE-2006-1864,CVE-2006-5174|http://www.redhat.com/support/errata/RHSA-2006-0710.html|Broken Link
4|CVE-2006-4997,CVE-2006-2935|http://www.redhat.com/support/errata/RHSA-2007-0012.html|Broken Link
5|CVE-2006-4997,CVE-2006-2935|http://www.redhat.com/support/errata/RHSA-2007-0013.html|Broken Link
6|CVE-2006-2783,CVE-2006-2784,CVE-2006-3113,CVE-2006-3801,CVE-2006-2779,CVE-2006-3804,CVE-2006-3808,CVE-2006-2776,CVE-2006-2785,CVE-2006-2787,CVE-2006-2788,CVE-2006-3810,CVE-2006-3805,CVE-2006-2780,CVE-2006-2778,CVE-2006-2781,CVE-2006-3809,CVE-2006-3803,CVE-2006-3806,CVE-2006-3807,CVE-2006-2782,CVE-2006-3677,CVE-2006-2786,CVE-2006-3811,CVE-2006-3802,CVE-2006-3812|http://www.redhat.com/support/errata/RHSA-2006-0594.html|Vendor Advisory
7|CVE-2006-3804,CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3808,CVE-2006-3677,CVE-2006-3113,CVE-2006-3801,CVE-2006-3811,CVE-2006-3809,CVE-2006-3803,CVE-2006-3812,CVE-2006-3802|http://www.redhat.com/support/errata/RHSA-2006-0608.html|Vendor Advisory
8|CVE-2006-2783,CVE-2006-2784,CVE-2006-3113,CVE-2006-3801,CVE-2006-2779,CVE-2006-3808,CVE-2006-2776,CVE-2006-2785,CVE-2006-2787,CVE-2006-2788,CVE-2006-3810,CVE-2006-3805,CVE-2006-2780,CVE-2006-2778,CVE-2006-3809,CVE-2006-3803,CVE-2006-3806,CVE-2006-3807,CVE-2006-2782,CVE-2006-3677,CVE-2006-2786,CVE-2006-3811,CVE-2006-3802,CVE-2006-3812|http://www.redhat.com/support/errata/RHSA-2006-0610.html|Vendor Advisory
9|CVE-2006-2783,CVE-2006-2784,CVE-2006-3113,CVE-2006-3801,CVE-2006-2779,CVE-2006-3804,CVE-2006-3808,CVE-2006-2776,CVE-2006-2785,CVE-2006-2787,CVE-2006-2788,CVE-2006-3810,CVE-2006-3805,CVE-2006-2780,CVE-2006-2778,CVE-2006-2781,CVE-2006-3809,CVE-2006-3803,CVE-2006-3806,CVE-2006-3807,CVE-2006-2782,CVE-2006-3677,CVE-2006-2786,CVE-2006-3811,CVE-2006-3802|http://www.redhat.com/support/errata/RHSA-2006-0611.html|Vendor Advisory
10|CVE-2006-3403|http://www.redhat.com/support/errata/RHSA-2006-0591.html|
11|CVE-2006-3404|http://www.redhat.com/support/errata/RHSA-2006-0598.html|
12|CVE-2006-1861,CVE-2006-0747,CVE-2006-3467,CVE-2006-2661|http://www.redhat.com/support/errata/RHSA-2006-0500.html|Patch,Vendor Advisory,Third Party Advisory
13|CVE-2006-3467|http://www.redhat.com/support/errata/RHSA-2006-0634.html|Vendor Advisory
14|CVE-2006-3467|http://www.redhat.com/support/errata/RHSA-2006-0635.html|Vendor Advisory
15|CVE-2007-2691,CVE-2006-3469,CVE-2008-2079,CVE-2006-4031|http://www.redhat.com/support/errata/RHSA-2008-0768.html|Third Party Advisory
16|CVE-2006-3311,CVE-2006-3588,CVE-2006-3587|http://www.redhat.com/support/errata/RHSA-2006-0674.html|
17|CVE-2006-3619|http://www.redhat.com/support/errata/RHSA-2007-0220.html|
18|CVE-2006-3694|http://www.redhat.com/support/errata/RHSA-2006-0604.html|Patch,Vendor Advisory
19|CVE-2006-3746|http://www.redhat.com/support/errata/RHSA-2006-0615.html|
20|CVE-2005-0605,CVE-2007-0243,CVE-2007-5461,CVE-2005-3964,CVE-2008-0128,CVE-2006-1329,CVE-2007-1358,CVE-2007-4465,CVE-2006-7195,CVE-2006-0254,CVE-2007-0450,CVE-2005-4838,CVE-2007-2788,CVE-2006-5752,CVE-2005-3510,CVE-2006-7197,CVE-2006-0898,CVE-2007-3382,CVE-2007-3385,CVE-2007-6388,CVE-2007-5961,CVE-2005-2090,CVE-2007-1349,CVE-2007-2449,CVE-2007-2435,CVE-2007-1355,CVE-2007-3304,CVE-2007-2450,CVE-2006-3835,CVE-2007-6306,CVE-2004-0885,CVE-2007-1860,CVE-2007-5000,CVE-2007-2789,CVE-2006-7196|http://www.redhat.com/support/errata/RHSA-2008-0261.html|Third Party Advisory
21|CVE-2006-3918|http://www.redhat.com/support/errata/RHSA-2006-0619.html|
22|CVE-2006-1168|http://www.redhat.com/support/errata/RHSA-2006-0663.html|
23|CVE-2006-1242,CVE-2006-0038,CVE-2006-0742,CVE-2006-0457,CVE-2006-2446,CVE-2006-1343,CVE-2006-2275,CVE-2005-3623,CVE-2006-1056,CVE-2006-2448,CVE-2006-1052,CVE-2006-2934,CVE-2006-1857,CVE-2005-3055,CVE-2006-0456|http://www.redhat.com/support/errata/RHSA-2006-0575.html|Patch,Not Applicable
24|CVE-2006-3083|http://www.redhat.com/support/errata/RHSA-2006-0612.html|Patch,Vendor Advisory
25|CVE-2006-3464,CVE-2006-3459,CVE-2006-3465,CVE-2006-3463,CVE-2006-3460,CVE-2006-3462,CVE-2006-3461|http://www.redhat.com/support/errata/RHSA-2006-0603.html|Vendor Advisory
26|CVE-2006-3464,CVE-2006-3459,CVE-2006-3465,CVE-2006-3463,CVE-2006-3460,CVE-2006-3462,CVE-2006-3461|http://www.redhat.com/support/errata/RHSA-2006-0648.html|Vendor Advisory
