|cve-ids|ex_url|types
0|CVE-2006-4253|https://bugzilla.mozilla.org/show_bug.cgi?id=348514|
1|CVE-2006-4568|https://bugzilla.mozilla.org/show_bug.cgi?id=343168|
2|CVE-2006-5453|https://bugzilla.mozilla.org/show_bug.cgi?id=206037|Patch
3|CVE-2006-5453|https://bugzilla.mozilla.org/show_bug.cgi?id=330555|Patch
4|CVE-2006-5453|https://bugzilla.mozilla.org/show_bug.cgi?id=355728|Patch
5|CVE-2006-5454|https://bugzilla.mozilla.org/show_bug.cgi?id=346086|Patch
6|CVE-2006-5454|https://bugzilla.mozilla.org/show_bug.cgi?id=346564|Patch
7|CVE-2006-5455|https://bugzilla.mozilla.org/show_bug.cgi?id=281181|Patch
8|CVE-2006-5633|https://bugzilla.mozilla.org/show_bug.cgi?id=358797|Exploit
9|CVE-2006-5462|https://bugzilla.mozilla.org/show_bug.cgi?id=356215|Patch
10|CVE-2006-5463|https://bugzilla.mozilla.org/show_bug.cgi?id=355655|
11|CVE-2006-5464|https://bugzilla.mozilla.org/show_bug.cgi?id=307809|Patch
12|CVE-2006-5464|https://bugzilla.mozilla.org/show_bug.cgi?id=310267|Patch
13|CVE-2006-5464|https://bugzilla.mozilla.org/show_bug.cgi?id=350370|Patch
14|CVE-2006-5464|https://bugzilla.mozilla.org/show_bug.cgi?id=351328|Patch
15|CVE-2006-5747|https://bugzilla.mozilla.org/show_bug.cgi?id=355569|
16|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=349527|
17|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=350238|
18|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=351116|
19|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=351973|
20|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=352271|
21|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=352606|
22|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=353165|
23|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=354145|
24|CVE-2006-5748|https://bugzilla.mozilla.org/show_bug.cgi?id=354151|
25|CVE-2006-6077|https://bugzilla.mozilla.org/show_bug.cgi?id=360493|Exploit
26|CVE-2004-0902|http://bugzilla.mozilla.org/show_bug.cgi?id=226669|
27|CVE-2004-0902|http://bugzilla.mozilla.org/show_bug.cgi?id=245066|
28|CVE-2004-0902|http://bugzilla.mozilla.org/show_bug.cgi?id=256316|
29|CVE-2004-0902|http://bugzilla.mozilla.org/show_bug.cgi?id=258005|
30|CVE-2004-0903|http://bugzilla.mozilla.org/show_bug.cgi?id=257314|Vendor Advisory
31|CVE-2004-1061|https://bugzilla.mozilla.org/show_bug.cgi?id=272620|
32|CVE-2005-0145|https://bugzilla.mozilla.org/show_bug.cgi?id=265176|Patch,Vendor Advisory
33|CVE-2005-0149|https://bugzilla.mozilla.org/show_bug.cgi?id=268107|Patch,Vendor Advisory
34|CVE-2005-0231|https://bugzilla.mozilla.org/show_bug.cgi?id=280056|Exploit,Vendor Advisory,Patch
35|CVE-2005-0143|https://bugzilla.mozilla.org/show_bug.cgi?id=257308|Patch,Vendor Advisory
36|CVE-2005-0592|https://bugzilla.mozilla.org/show_bug.cgi?id=241440|Vendor Advisory
37|CVE-2005-0593|https://bugzilla.mozilla.org/show_bug.cgi?id=258048|Vendor Advisory
38|CVE-2005-0593|https://bugzilla.mozilla.org/show_bug.cgi?id=268483|Vendor Advisory
39|CVE-2005-0593|https://bugzilla.mozilla.org/show_bug.cgi?id=276720|Vendor Advisory
40|CVE-2005-0593|https://bugzilla.mozilla.org/show_bug.cgi?id=277564|Vendor Advisory
41|CVE-2005-0141|https://bugzilla.mozilla.org/show_bug.cgi?id=249332|Vendor Advisory
42|CVE-2005-0142|https://bugzilla.mozilla.org/show_bug.cgi?id=251297|
43|CVE-2005-0144|https://bugzilla.mozilla.org/show_bug.cgi?id=262689|Vendor Advisory
44|CVE-2005-0146|https://bugzilla.mozilla.org/show_bug.cgi?id=265728|Vendor Advisory
45|CVE-2005-0147|https://bugzilla.mozilla.org/show_bug.cgi?id=267263|Vendor Advisory
46|CVE-2005-0148|https://bugzilla.mozilla.org/show_bug.cgi?id=263546|Vendor Advisory
47|CVE-2005-0150|https://bugzilla.mozilla.org/show_bug.cgi?id=265668|Patch,Vendor Advisory
48|CVE-2005-0230|https://bugzilla.mozilla.org/show_bug.cgi?id=279945|Vendor Advisory
49|CVE-2005-0232|https://bugzilla.mozilla.org/show_bug.cgi?id=280664|Vendor Advisory
50|CVE-2005-0402|https://bugzilla.mozilla.org/show_bug.cgi?id=284627|Patch
51|CVE-2005-0584|https://bugzilla.mozilla.org/show_bug.cgi?id=277574|Patch,Vendor Advisory
52|CVE-2005-0588|https://bugzilla.mozilla.org/show_bug.cgi?id=271209|Patch
53|CVE-2005-0589|https://bugzilla.mozilla.org/show_bug.cgi?id=270697|Patch
54|CVE-2005-0590|https://bugzilla.mozilla.org/show_bug.cgi?id=268059|Patch
55|CVE-2005-0591|https://bugzilla.mozilla.org/show_bug.cgi?id=260560|Patch
56|CVE-2005-0989|https://bugzilla.mozilla.org/show_bug.cgi?id=288688|
57|CVE-2005-1153|https://bugzilla.mozilla.org/show_bug.cgi?id=289204|
58|CVE-2005-1154|https://bugzilla.mozilla.org/show_bug.cgi?id=289675|Patch
59|CVE-2005-1155|https://bugzilla.mozilla.org/show_bug.cgi?id=290036|Patch
60|CVE-2005-1156,CVE-2005-1157|https://bugzilla.mozilla.org/show_bug.cgi?id=290037|Patch
