|cve-ids|ex_url|types
0|CVE-2006-1316|http://www.kb.cert.org/vuls/id/580036|US Government Resource
1|CVE-2006-0007|http://www.kb.cert.org/vuls/id/668564|US Government Resource
2|CVE-2006-0026|http://www.kb.cert.org/vuls/id/395588|Patch,US Government Resource
3|CVE-2006-0033|http://www.kb.cert.org/vuls/id/459388|US Government Resource
4|CVE-2006-1176|http://www.kb.cert.org/vuls/id/597721|US Government Resource
5|CVE-2006-1176|http://www.kb.cert.org/vuls/id/MIMG-6QKPVH|
6|CVE-2006-1178|http://www.kb.cert.org/vuls/id/372878|Patch,US Government Resource
7|CVE-2006-1178|http://www.kb.cert.org/vuls/id/JGEI-6RZPUT|
8|CVE-2006-1314|http://www.kb.cert.org/vuls/id/189140|US Government Resource
9|CVE-2006-1315|http://www.kb.cert.org/vuls/id/333636|US Government Resource
10|CVE-2006-2372|http://www.kb.cert.org/vuls/id/257164|US Government Resource
11|CVE-2006-2389|http://www.kb.cert.org/vuls/id/409316|US Government Resource
12|CVE-2006-3113|http://www.kb.cert.org/vuls/id/239124|US Government Resource,Third Party Advisory
13|CVE-2006-3357|http://www.kb.cert.org/vuls/id/159220|US Government Resource
14|CVE-2006-3392|http://www.kb.cert.org/vuls/id/999601|US Government Resource
15|CVE-2006-3403|http://www.kb.cert.org/vuls/id/313836|US Government Resource
16|CVE-2006-3453|http://www.kb.cert.org/vuls/id/167228|US Government Resource
17|CVE-2006-3470|http://www.kb.cert.org/vuls/id/577729|US Government Resource
18|CVE-2006-3529|http://www.kb.cert.org/vuls/id/294036|US Government Resource
19|CVE-2006-3587|http://www.kb.cert.org/vuls/id/474593|Patch,US Government Resource
20|CVE-2006-3590|http://www.kb.cert.org/vuls/id/936945|US Government Resource
21|CVE-2006-3595|http://www.kb.cert.org/vuls/id/205225|US Government Resource
22|CVE-2006-3677|http://www.kb.cert.org/vuls/id/670060|US Government Resource,Third Party Advisory
23|CVE-2006-3687|http://www.kb.cert.org/vuls/id/971705|US Government Resource
24|CVE-2006-3702,CVE-2006-2081,CVE-2006-2505|http://www.kb.cert.org/vuls/id/932124|US Government Resource
25|CVE-2006-3730|http://www.kb.cert.org/vuls/id/753044|US Government Resource
26|CVE-2006-3747|http://www.kb.cert.org/vuls/id/395412|US Government Resource
27|CVE-2006-3768|http://www.kb.cert.org/vuls/id/713092|US Government Resource
28|CVE-2006-3768|http://www.kb.cert.org/vuls/id/RGII-6TYN6M|
29|CVE-2006-3801|http://www.kb.cert.org/vuls/id/476724|US Government Resource,Third Party Advisory
30|CVE-2006-3803|http://www.kb.cert.org/vuls/id/265964|US Government Resource,Third Party Advisory
31|CVE-2006-3804|http://www.kb.cert.org/vuls/id/897540|US Government Resource,Third Party Advisory
32|CVE-2006-3805|http://www.kb.cert.org/vuls/id/876420|US Government Resource
33|CVE-2006-3806|http://www.kb.cert.org/vuls/id/655892|US Government Resource,Third Party Advisory
34|CVE-2006-3807|http://www.kb.cert.org/vuls/id/687396|US Government Resource,Third Party Advisory
35|CVE-2006-3810|http://www.kb.cert.org/vuls/id/911004|US Government Resource
36|CVE-2006-3811|http://www.kb.cert.org/vuls/id/527676|US Government Resource
37|CVE-2006-3812|http://www.kb.cert.org/vuls/id/398492|US Government Resource
38|CVE-2006-3838|http://www.kb.cert.org/vuls/id/513068|US Government Resource
39|CVE-2006-0392|http://www.kb.cert.org/vuls/id/527236|US Government Resource
40|CVE-2006-1473|http://www.kb.cert.org/vuls/id/575372|US Government Resource
41|CVE-2006-3083|http://www.kb.cert.org/vuls/id/580124|Patch,US Government Resource
42|CVE-2006-3084|http://www.kb.cert.org/vuls/id/401660|US Government Resource
43|CVE-2006-3438|http://www.kb.cert.org/vuls/id/683612|Patch,US Government Resource
44|CVE-2006-3439|http://www.kb.cert.org/vuls/id/650769|Patch,US Government Resource
45|CVE-2006-3440|http://www.kb.cert.org/vuls/id/908276|Patch,US Government Resource
46|CVE-2006-3441|http://www.kb.cert.org/vuls/id/794580|Patch,US Government Resource
47|CVE-2006-3443|http://www.kb.cert.org/vuls/id/337244|US Government Resource
48|CVE-2006-3449|http://www.kb.cert.org/vuls/id/884252|Patch,US Government Resource,Third Party Advisory
49|CVE-2006-3450|http://www.kb.cert.org/vuls/id/119180|Patch,US Government Resource
50|CVE-2006-3451|http://www.kb.cert.org/vuls/id/262004|Patch,US Government Resource
51|CVE-2006-3495|http://www.kb.cert.org/vuls/id/168020|US Government Resource
52|CVE-2006-3496|http://www.kb.cert.org/vuls/id/180692|US Government Resource
53|CVE-2006-3497|http://www.kb.cert.org/vuls/id/514740|US Government Resource
54|CVE-2006-3498|http://www.kb.cert.org/vuls/id/776628|US Government Resource
55|CVE-2006-3501|http://www.kb.cert.org/vuls/id/172244|US Government Resource
56|CVE-2006-3502|http://www.kb.cert.org/vuls/id/651844|US Government Resource
57|CVE-2006-3503|http://www.kb.cert.org/vuls/id/605908|US Government Resource
58|CVE-2006-3505|http://www.kb.cert.org/vuls/id/566132|US Government Resource
59|CVE-2006-3506|http://www.kb.cert.org/vuls/id/737204|US Government Resource
60|CVE-2006-3637|http://www.kb.cert.org/vuls/id/340060|Patch,US Government Resource
61|CVE-2006-1303,CVE-2006-1186,CVE-2005-2831,CVE-2005-1990,CVE-2006-3638,CVE-2005-2087,CVE-2005-2127|http://www.kb.cert.org/vuls/id/959049|US Government Resource,Third Party Advisory
62|CVE-2006-3639|http://www.kb.cert.org/vuls/id/252764|Patch,US Government Resource
63|CVE-2006-3643|http://www.kb.cert.org/vuls/id/927548|Patch,US Government Resource
64|CVE-2006-3648|http://www.kb.cert.org/vuls/id/411516|Patch,US Government Resource
65|CVE-2006-3649|http://www.kb.cert.org/vuls/id/159484|Patch,US Government Resource
66|CVE-2006-3869|http://www.kb.cert.org/vuls/id/821156|Patch,US Government Resource
67|CVE-2006-3961|http://www.kb.cert.org/vuls/id/481212|US Government Resource
68|CVE-2006-3992|http://www.kb.cert.org/vuls/id/230208|US Government Resource
69|CVE-2006-4022|http://www.kb.cert.org/vuls/id/824500|US Government Resource
70|CVE-2006-4082|http://www.kb.cert.org/vuls/id/199348|US Government Resource
71|CVE-2006-4112|http://www.kb.cert.org/vuls/id/699540|Patch,US Government Resource
72|CVE-2006-4128|http://www.kb.cert.org/vuls/id/647796|US Government Resource
73|CVE-2006-4133|http://www.kb.cert.org/vuls/id/259540|US Government Resource
74|CVE-2006-4201|http://www.kb.cert.org/vuls/id/673228|US Government Resource
75|CVE-2006-4221|http://www.kb.cert.org/vuls/id/380277|US Government Resource
76|CVE-2006-4235|http://www.kb.cert.org/vuls/id/697761|US Government Resource
77|CVE-2006-4330|http://www.kb.cert.org/vuls/id/808832|US Government Resource,Third Party Advisory
78|CVE-2006-4331|http://www.kb.cert.org/vuls/id/638376|US Government Resource
79|CVE-2006-4332|http://www.kb.cert.org/vuls/id/335656|US Government Resource
80|CVE-2006-4333|http://www.kb.cert.org/vuls/id/696896|US Government Resource
81|CVE-2006-4447|http://www.kb.cert.org/vuls/id/300368|US Government Resource
82|CVE-2006-0001|http://www.kb.cert.org/vuls/id/406236|US Government Resource
83|CVE-2006-0032|http://www.kb.cert.org/vuls/id/108884|US Government Resource
84|CVE-2006-2937|http://www.kb.cert.org/vuls/id/247744|Patch,US Government Resource
85|CVE-2006-3311|http://www.kb.cert.org/vuls/id/451380|US Government Resource
86|CVE-2006-3442|http://www.kb.cert.org/vuls/id/455516|US Government Resource
87|CVE-2006-3507|http://www.kb.cert.org/vuls/id/867796|US Government Resource
88|CVE-2006-3508|http://www.kb.cert.org/vuls/id/589540|US Government Resource
89|CVE-2006-3509|http://www.kb.cert.org/vuls/id/563492|US Government Resource
90|CVE-2006-3738|http://www.kb.cert.org/vuls/id/547300|US Government Resource
91|CVE-2006-4095|http://www.kb.cert.org/vuls/id/915404|Patch,US Government Resource
92|CVE-2006-4096|http://www.kb.cert.org/vuls/id/697164|Patch,US Government Resource
93|CVE-2006-4334|http://www.kb.cert.org/vuls/id/933712|US Government Resource
94|CVE-2006-4335|http://www.kb.cert.org/vuls/id/381508|US Government Resource
95|CVE-2006-4336|http://www.kb.cert.org/vuls/id/554780|US Government Resource
96|CVE-2006-4339,CVE-2006-5484,CVE-2006-5201|http://www.kb.cert.org/vuls/id/845620|US Government Resource,Third Party Advisory
97|CVE-2006-4343|http://www.kb.cert.org/vuls/id/386964|Patch,US Government Resource,Third Party Advisory
98|CVE-2006-4382|http://www.kb.cert.org/vuls/id/683700|US Government Resource
99|CVE-2006-4384|http://www.kb.cert.org/vuls/id/489836|US Government Resource
100|CVE-2006-4385|http://www.kb.cert.org/vuls/id/308204|US Government Resource
