|cve-ids|ex_url|types
0|CVE-2006-2388|http://www.zerodayinitiative.com/advisories/ZDI-06-022.html|Vendor Advisory
1|CVE-2006-3423|http://www.zerodayinitiative.com/advisories/ZDI-06-021.html|Vendor Advisory
2|CVE-2006-3677|http://www.zerodayinitiative.com/advisories/ZDI-06-025.html|Vendor Advisory
3|CVE-2006-3838|http://www.zerodayinitiative.com/advisories/ZDI-06-023.html|
4|CVE-2006-3838|http://www.zerodayinitiative.com/advisories/ZDI-06-024.html|
5|CVE-2006-3450|http://www.zerodayinitiative.com/advisories/ZDI-06-027.html|
6|CVE-2006-3451|http://www.zerodayinitiative.com/advisories/ZDI-06-026.html|
7|CVE-2006-4379|http://www.zerodayinitiative.com/advisories/ZDI-06-028.html|Patch
8|CVE-2006-5000|http://www.zerodayinitiative.com/advisories/ZDI-06-029.html|Vendor Advisory
9|CVE-2006-2387|http://www.zerodayinitiative.com/advisories/ZDI-06-033.html|VDB Entry,Third Party Advisory
10|CVE-2006-3435|http://www.zerodayinitiative.com/advisories/ZDI-06-032.html|
11|CVE-2006-3650|http://www.zerodayinitiative.com/advisories/ZDI-06-034.html|VDB Entry,Third Party Advisory
12|CVE-2006-5143|http://www.zerodayinitiative.com/advisories/ZDI-06-030.html|Patch,Vendor Advisory
13|CVE-2006-5143|http://www.zerodayinitiative.com/advisories/ZDI-06-031.html|Vendor Advisory
14|CVE-2006-5478|http://www.zerodayinitiative.com/advisories/ZDI-06-035.html|
15|CVE-2006-5478|http://www.zerodayinitiative.com/advisories/ZDI-06-036.html|
16|CVE-2006-4687|http://www.zerodayinitiative.com/advisories/ZDI-06-041.html|Vendor Advisory
17|CVE-2006-4704|http://www.zerodayinitiative.com/advisories/ZDI-06-047.html|
18|CVE-2006-5198|http://www.zerodayinitiative.com/advisories/ZDI-06-040.html|Vendor Advisory
19|CVE-2006-5487|http://www.zerodayinitiative.com/advisories/ZDI-06-039.html|Patch,Vendor Advisory
20|CVE-2006-5650|http://www.zerodayinitiative.com/advisories/ZDI-06-037.html|Vendor Advisory
