|cve-ids|ex_url|types
0|CVE-2006-0007|http://archives.neohapsis.com/archives/vulnwatch/2006-q3/0005.html|
1|CVE-2006-0026|http://archives.neohapsis.com/archives/bugtraq/2006-07/0316.html|
2|CVE-2006-2372|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0222.html|
3|CVE-2006-3360|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0065.html|Exploit
4|CVE-2006-3360|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0066.html|Exploit
5|CVE-2006-3615|http://archives.neohapsis.com/archives/bugtraq/2006-07/0191.html|
6|CVE-2006-3615|http://archives.neohapsis.com/archives/bugtraq/2006-07/0200.html|
7|CVE-2006-3662|http://archives.neohapsis.com/archives/bugtraq/2006-07/0096.html|Exploit
8|CVE-2006-3676|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0434.html|
9|CVE-2006-3679|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0242.html|
10|CVE-2006-3687|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0363.html|
11|CVE-2005-2006,CVE-2006-3733|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0424.html|
12|CVE-2006-3749,CVE-2006-3750,CVE-2006-3751|http://archives.neohapsis.com/archives/bugtraq/2006-07/0180.html|Exploit
13|CVE-2006-3763|http://archives.neohapsis.com/archives/bugtraq/2006-05/0497.html|Vendor Advisory
14|CVE-2006-3767|http://archives.neohapsis.com/archives/bugtraq/2006-08/0285.html|
15|CVE-2006-3835|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0467.html|Exploit,Patch
16|CVE-2006-3848|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0487.html|
17|CVE-2006-3848|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/att-0487/NDSA20060705.txt.asc|
18|CVE-2006-3906|http://archives.neohapsis.com/archives/bugtraq/2006-07/0531.html|
19|CVE-2006-3918|http://archives.neohapsis.com/archives/bugtraq/2006-05/0151.html|Exploit
20|CVE-2006-3918|http://archives.neohapsis.com/archives/bugtraq/2006-07/0425.html|Exploit
21|CVE-2006-3927,CVE-2006-3926|http://archives.neohapsis.com/archives/bugtraq/2006-07/0474.html|Exploit
22|CVE-2006-3745|http://archives.neohapsis.com/archives/fulldisclosure/2006-08/0600.html|
23|CVE-2006-3950|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0722.html|Exploit
24|CVE-2006-3960|http://archives.neohapsis.com/archives/fulldisclosure/2006-07/0720.html|
