|cve-ids|ex_url|types
0|CVE-2016-0253,CVE-2016-0268,CVE-2016-0272,CVE-2016-0274,CVE-2016-0276,CVE-2016-0275|http://www-01.ibm.com/support/docview.wss?uid=swg21977245|Patch,Vendor Advisory
1|CVE-2016-0286|http://www-01.ibm.com/support/docview.wss?uid=swg21986852|Patch,Vendor Advisory
2|CVE-2016-0235|http://www-01.ibm.com/support/docview.wss?uid=swg21981748|Vendor Advisory
3|CVE-2016-0237|http://www-01.ibm.com/support/docview.wss?uid=swg21981631|Vendor Advisory
4|CVE-2016-0250|http://www-01.ibm.com/support/docview.wss?uid=swg21977152|Patch,Vendor Advisory
5|CVE-2016-0261|http://www-01.ibm.com/support/docview.wss?uid=swg21981103|Patch,Vendor Advisory
6|CVE-2015-7453,CVE-2015-7440,CVE-2015-7471|http://www-01.ibm.com/support/docview.wss?uid=swg21982747|Patch,Vendor Advisory
7|CVE-2015-7463|http://www-01.ibm.com/support/docview.wss?uid=swg21973442|Patch,Vendor Advisory
8|CVE-2016-0223|http://www-01.ibm.com/support/docview.wss?uid=swg21977574|Patch,Vendor Advisory
9|CVE-2015-7449|http://www-01.ibm.com/support/docview.wss?uid=swg21985143|Patch,Vendor Advisory
10|CVE-2015-7458,CVE-2015-7460,CVE-2015-7461,CVE-2015-7459|http://www-01.ibm.com/support/docview.wss?uid=swg21980518|Patch,Vendor Advisory
11|CVE-2015-5039|http://www-01.ibm.com/support/docview.wss?uid=swg21976566|Vendor Advisory
12|CVE-2015-5045|http://www-01.ibm.com/support/docview.wss?uid=swg21982895|Vendor Advisory
13|CVE-2015-7401|http://www-01.ibm.com/support/docview.wss?uid=swg21977425|Patch,Vendor Advisory
14|CVE-2015-7423|http://www-01.ibm.com/support/docview.wss?uid=swg21971543|Patch,Vendor Advisory
15|CVE-2015-7424|http://www-01.ibm.com/support/docview.wss?uid=swg21971542|Patch,Vendor Advisory
16|CVE-2015-7432|http://www-01.ibm.com/support/docview.wss?uid=swg21974558|Patch,Vendor Advisory
17|CVE-2015-7433|http://www-01.ibm.com/support/docview.wss?uid=swg21974556|Patch,Vendor Advisory
18|CVE-2015-7434|http://www-01.ibm.com/support/docview.wss?uid=swg21974559|Patch,Vendor Advisory
19|CVE-2015-4954|http://www-01.ibm.com/support/docview.wss?uid=swg21972042|Patch,Vendor Advisory
20|CVE-2015-4987|http://www-01.ibm.com/support/docview.wss?uid=swg21981017|Vendor Advisory
21|CVE-2015-5016|http://www-01.ibm.com/support/docview.wss?uid=swg21971160|Patch,Vendor Advisory
22|CVE-2015-2009|http://www-01.ibm.com/support/docview.wss?uid=swg21965821|Broken Link
23|CVE-2015-4952|http://www-01.ibm.com/support/docview.wss?uid=swg21962602|Broken Link
24|CVE-2015-4953|http://www-01.ibm.com/support/docview.wss?uid=swg1IV81388|Vendor Advisory
25|CVE-2015-1975,CVE-2015-1972,CVE-2015-2019,CVE-2015-1974,CVE-2015-1959,CVE-2015-1978|http://www-01.ibm.com/support/docview.wss?uid=swg21960659|Patch,Vendor Advisory
26|CVE-2015-0172|http://www-01.ibm.com/support/docview.wss?uid=swg21699472|Vendor Advisory,Mitigation
27|CVE-2015-1957|http://www-01.ibm.com/support/docview.wss?uid=swg21960506|Patch,Vendor Advisory
28|CVE-2015-1952|http://www-01.ibm.com/support/docview.wss?uid=swg21883124|Patch,Vendor Advisory
29|CVE-2018-1445|http://www-01.ibm.com/support/docview.wss?uid=swg22015407|Vendor Advisory
30|CVE-2014-4782,CVE-2014-4781|http://www-01.ibm.com/support/docview.wss?uid=swg21693053|Patch,Vendor Advisory
31|CVE-2014-6108,CVE-2014-6112,CVE-2014-6109,CVE-2014-6111|http://www-01.ibm.com/support/docview.wss?uid=swg21698020|Patch,Vendor Advisory
32|CVE-2014-0883|http://www-01.ibm.com/support/docview.wss?uid=nas8N1019972|Patch,Vendor Advisory
33|CVE-2014-0912,CVE-2014-0927|http://www-01.ibm.com/support/docview.wss?uid=swg21674739|Patch,Vendor Advisory
34|CVE-2014-0931|http://www-01.ibm.com/support/docview.wss?uid=swg21668868|Patch,Vendor Advisory
35|CVE-2014-0950|http://www-01.ibm.com/support/docview.wss?uid=swg21675164|Patch,Vendor Advisory
36|CVE-2013-5391|http://www-01.ibm.com/support/docview.wss?uid=swg21665731|Vendor Advisory
37|CVE-2013-6739|http://www-01.ibm.com/support/docview.wss?uid=swg21663960|Patch,Vendor Advisory
38|CVE-2018-1502|http://www-01.ibm.com/support/docview.wss?uid=swg22014917|Patch,Vendor Advisory
39|CVE-2013-4040|https://www-01.ibm.com/support/docview.wss?uid=swg21672253|Patch,Vendor Advisory,Mitigation
40|CVE-2013-3018|http://www-01.ibm.com/support/docview.wss?uid=swg21672403|Vendor Advisory,Mitigation
41|CVE-2013-3023|http://www-01.ibm.com/support/docview.wss?uid=swg21672388|Vendor Advisory,Mitigation
42|CVE-2013-3024|http://www-01.ibm.com/support/docview.wss?&uid=swg21639553|Vendor Advisory
43|CVE-2016-0332,CVE-2016-0336,CVE-2016-0324,CVE-2016-0327,CVE-2016-0335|http://www-01.ibm.com/support/docview.wss?uid=swg21981438|Patch,Vendor Advisory
44|CVE-2015-7485,CVE-2015-7484,CVE-2016-0219,CVE-2015-7486,CVE-2015-7474|http://www-01.ibm.com/support/docview.wss?uid=swg21983720|Patch,Vendor Advisory
45|CVE-2016-0207|http://www-01.ibm.com/support/docview.wss?uid=swg21981322|Patch,Vendor Advisory
46|CVE-2016-0215|http://www-01.ibm.com/support/docview.wss?uid=swg21979986|Patch,Vendor Advisory
47|CVE-2017-1731|http://www-01.ibm.com/support/docview.wss?uid=swg22012345&myns=swgws&mynp=OCSSEQTP&mync=R&cm_sp=swgws-_-OCSSEQTP-_-R|Vendor Advisory
48|CVE-2016-0300|http://www-01.ibm.com/support/docview.wss?uid=swg21979760|Vendor Advisory
49|CVE-2016-0303|http://www-01.ibm.com/support/docview.wss?uid=swg21981591|Vendor Advisory
50|CVE-2016-0311|http://www-01.ibm.com/support/docview.wss?uid=swg21986853|Vendor Advisory
51|CVE-2016-0312|http://www-01.ibm.com/support/docview.wss?uid=swg21979762|Vendor Advisory
52|CVE-2016-0329|http://www-01.ibm.com/support/docview.wss?uid=swg21982629|Patch,Vendor Advisory
53|CVE-2016-0342|http://www-01.ibm.com/support/docview.wss?uid=swg21980252|Vendor Advisory
54|CVE-2012-2166|http://www-01.ibm.com/support/docview.wss?uid=ssg1S1004256|Vendor Advisory
55|CVE-2012-3331|http://www-01.ibm.com/support/docview.wss?uid=swg21613895|Vendor Advisory,Mitigation
56|CVE-2018-1383|http://www-01.ibm.com/support/docview.wss?uid=isg3T1026948|Vendor Advisory
57|CVE-2016-0343|http://www-01.ibm.com/support/docview.wss?uid=swg21980229|Vendor Advisory
58|CVE-2016-0344|http://www-01.ibm.com/support/docview.wss?uid=swg21980234|Vendor Advisory
59|CVE-2016-0345|http://www-01.ibm.com/support/docview.wss?uid=swg21980233|Vendor Advisory
60|CVE-2016-0348|http://www-01.ibm.com/support/docview.wss?uid=swg21980237|Vendor Advisory
61|CVE-2016-0351,CVE-2016-0367|http://www-01.ibm.com/support/docview.wss?uid=swg21989198|Patch,Vendor Advisory
62|CVE-2016-0366|http://www-01.ibm.com/support/docview.wss?uid=swg21986260|Patch,Vendor Advisory
63|CVE-2016-0369|http://www-01.ibm.com/support/docview.wss?uid=swg21988727|Patch,Vendor Advisory
64|CVE-2016-0291|http://www-01.ibm.com/support/docview.wss?uid=swg21985748|Vendor Advisory
65|CVE-2016-0295|http://www-01.ibm.com/support/docview.wss?uid=swg21985830|Vendor Advisory,Mitigation
66|CVE-2016-0299|http://www-01.ibm.com/support/docview.wss?uid=swg21981155|Vendor Advisory
67|CVE-2014-3057,CVE-2014-3054,CVE-2014-3055,CVE-2014-3056|http://www-01.ibm.com/support/docview.wss?uid=swg1PI18909|
68|CVE-2014-3057,CVE-2014-3054,CVE-2014-3055,CVE-2014-3056|http://www-01.ibm.com/support/docview.wss?uid=swg21677032|Vendor Advisory
69|CVE-2014-3020|http://www-01.ibm.com/support/docview.wss?uid=swg21679952|Vendor Advisory
