|cve-ids|ex_url|types
0|CVE-2018-10881,CVE-2017-18208,CVE-2018-1094,CVE-2018-5344,CVE-2018-9363,CVE-2018-5750,CVE-2018-1068,CVE-2018-10877,CVE-2018-1065,CVE-2018-1095,CVE-2018-8781,CVE-2018-1000026,CVE-2017-18344,CVE-2018-10883,CVE-2018-7757,CVE-2018-12232,CVE-2018-5391,CVE-2018-13405,CVE-2018-1000204,CVE-2018-1120,CVE-2018-10878,CVE-2018-5390,CVE-2018-10879,CVE-2018-1092,CVE-2018-10880,CVE-2018-10322,CVE-2018-1118,CVE-2018-10882,CVE-2017-13166,CVE-2018-7566,CVE-2018-11506,CVE-2017-16648,CVE-2018-1000200,CVE-2018-3639,CVE-2017-18075,CVE-2018-5848,CVE-2017-17806,CVE-2018-14619,CVE-2018-14641,CVE-2018-5803,CVE-2018-10940,CVE-2017-17805|https://access.redhat.com/errata/RHSA-2018:2948|Third Party Advisory
1|CVE-2018-10915,CVE-2018-10925,CVE-2018-1058,CVE-2017-15098,CVE-2018-1053,CVE-2017-15099|https://access.redhat.com/errata/RHSA-2018:2511|Third Party Advisory
2|CVE-2018-10915,CVE-2018-10925,CVE-2018-1058,CVE-2018-1053,CVE-2018-1115,CVE-2017-15098,CVE-2017-15099|https://access.redhat.com/errata/RHSA-2018:2566|Third Party Advisory
3|CVE-2018-1058,CVE-2018-10915,CVE-2018-1053,CVE-2018-10925|https://access.redhat.com/errata/RHSA-2018:3816|Third Party Advisory
4|CVE-2018-1063|https://access.redhat.com/errata/RHSA-2018:0913|
5|CVE-2018-5730,CVE-2019-1003001,CVE-2018-15688,CVE-2018-5729,CVE-2018-1000007,CVE-2018-1000122,CVE-2019-1003010,CVE-2017-16997,CVE-2018-18559,CVE-2019-1003004,CVE-2018-1000301,CVE-2018-18397,CVE-2018-7569,CVE-2018-7643,CVE-2019-3826,CVE-2019-1003014,CVE-2018-20615,CVE-2018-20102,CVE-2019-6116,CVE-2018-20103,CVE-2018-13033,CVE-2018-19475,CVE-2018-16540,CVE-2018-1060,CVE-2019-1003012,CVE-2018-10535,CVE-2018-10733,CVE-2018-6485,CVE-2018-16865,CVE-2018-10534,CVE-2018-1000120,CVE-2018-12910,CVE-2018-10372,CVE-2018-1113,CVE-2018-10373,CVE-2018-19477,CVE-2018-19476,CVE-2019-1003002,CVE-2017-18267,CVE-2018-8945,CVE-2018-1000865,CVE-2018-13988,CVE-2018-11236,CVE-2019-1003013,CVE-2018-1000121,CVE-2018-10767,CVE-2018-11237,CVE-2018-7208,CVE-2018-18311,CVE-2018-1000866,CVE-2018-7568,CVE-2018-1061,CVE-2018-16864,CVE-2019-1003000,CVE-2019-3818,CVE-2019-1003011,CVE-2018-10768,CVE-2018-7642,CVE-2019-3815,CVE-2019-1003003|https://access.redhat.com/errata/RHBA-2019:0327|Vendor Advisory,Third Party Advisory
6|CVE-2018-7569,CVE-2018-7643,CVE-2018-7208,CVE-2018-10534,CVE-2018-7568,CVE-2018-13033,CVE-2018-10372,CVE-2018-10373,CVE-2018-10535,CVE-2018-7642,CVE-2018-8945|https://access.redhat.com/errata/RHSA-2018:3032|Third Party Advisory
7|CVE-2018-1000115|https://access.redhat.com/errata/RHBA-2018:2140|Third Party Advisory
8|CVE-2017-12155,CVE-2018-1000115|https://access.redhat.com/errata/RHSA-2018:1593|Third Party Advisory
9|CVE-2017-12155,CVE-2018-1000115|https://access.redhat.com/errata/RHSA-2018:1627|Third Party Advisory
