|cve-ids|ex_url|types
0|CVE-2017-1654|http://www.ibm.com/support/docview.wss?uid=ssg1S1010869|Patch,Vendor Advisory
1|CVE-2017-1787|http://www.ibm.com/support/docview.wss?uid=swg22013961|Patch,Vendor Advisory
2|CVE-2018-1373|http://www.ibm.com/support/docview.wss?uid=swg22013750|Patch,Vendor Advisory
3|CVE-2017-1625|http://www.ibm.com/support/docview.wss?uid=swg22014284|Patch,Vendor Advisory
4|CVE-2018-1387|http://www.ibm.com/support/docview.wss?uid=swg22014035|Patch,Vendor Advisory
5|CVE-2018-1442|http://www.ibm.com/support/docview.wss?uid=swg22013500|Broken Link
6|CVE-2018-1443|http://www.ibm.com/support/docview.wss?uid=swg22014160|Vendor Advisory
7|CVE-2018-1443|http://www.ibm.com/support/docview.wss?uid=swg22014161|Vendor Advisory
8|CVE-2017-1741|http://www.ibm.com/support/docview.wss?uid=swg22012342|Patch,Vendor Advisory
9|CVE-2018-1386|http://www.ibm.com/support/docview.wss?uid=swg22012171|Vendor Advisory
10|CVE-2018-1435|http://www.ibm.com/support/docview.wss?uid=swg22014198|Patch,Vendor Advisory
11|CVE-2018-1437|http://www.ibm.com/support/docview.wss?uid=swg22014201|Patch,Vendor Advisory
12|CVE-2018-1441|http://www.ibm.com/support/docview.wss?uid=swg22013557|Patch,Vendor Advisory
13|CVE-2018-1444|https://www.ibm.com/support/docview.wss?uid=swg22014392|Patch,Vendor Advisory
14|CVE-2016-9711|http://www.ibm.com/support/docview.wss?uid=swg22014337|Vendor Advisory
15|CVE-2017-1571|http://www.ibm.com/support/docview.wss?uid=swg22012948|Vendor Advisory
16|CVE-2017-1677|http://www.ibm.com/support/docview.wss?uid=swg22012896|Vendor Advisory
17|CVE-2017-1788|http://www.ibm.com/support/docview.wss?uid=swg22012341|Vendor Advisory
18|CVE-2017-1789|http://www.ibm.com/support/docview.wss?uid=swg22014096|Vendor Advisory
19|CVE-2018-1426,CVE-2018-1427,CVE-2018-1428|http://www.ibm.com/support/docview.wss?uid=swg22013756|Vendor Advisory
20|CVE-2018-1448|http://www.ibm.com/support/docview.wss?uid=swg22014388|Vendor Advisory
21|CVE-2017-1524,CVE-2017-1629,CVE-2017-1602,CVE-2017-1762,CVE-2017-1655|http://www.ibm.com/support/docview.wss?uid=swg22014815|Patch,Vendor Advisory
22|CVE-2018-1429|http://www.ibm.com/support/docview.wss?uid=swg22014046|Patch,Vendor Advisory
23|CVE-2017-1705|http://www.ibm.com/support/docview.wss?uid=swg22014988|Patch,Vendor Advisory
24|CVE-2017-1747|http://www.ibm.com/support/docview.wss?uid=swg22012992|Patch,Vendor Advisory
25|CVE-2017-1756|http://www.ibm.com/support/docview.wss?uid=swg22010796|Patch,Vendor Advisory
26|CVE-2017-1765|http://www.ibm.com/support/docview.wss?uid=swg22011844|Patch,Vendor Advisory
27|CVE-2017-1766|http://www.ibm.com/support/docview.wss?uid=swg22011866|Patch,Vendor Advisory
28|CVE-2017-1767|http://www.ibm.com/support/docview.wss?uid=swg22012396|Patch,Vendor Advisory
29|CVE-2018-1384|http://www.ibm.com/support/docview.wss?uid=swg22012604|Vendor Advisory
30|CVE-2018-1390|http://www.ibm.com/support/docview.wss?uid=swg22014795|Patch,Vendor Advisory
31|CVE-2017-1624|http://www.ibm.com/support/docview.wss?uid=swg22015236|Patch,Vendor Advisory
