|cve-ids|ex_url|types
0|CVE-2018-7587,CVE-2018-7589,CVE-2018-7588|https://github.com/xiaoqx/pocs/tree/master/cimg|Exploit,Third Party Advisory
1|CVE-2018-7588|https://github.com/dtschump/CImg/issues/183|Third Party Advisory
2|CVE-2018-7589|https://github.com/dtschump/CImg/issues/184|Third Party Advisory
3|CVE-2018-7590|https://github.com/havok89/Hoosk/issues/45|Third Party Advisory
4|CVE-2018-7634|https://github.com/Enalean/tuleap/commit/0843c046eee54b16ec6a7753c575838212770189|Patch
5|CVE-2018-1065|https://github.com/torvalds/linux/commit/57ebd808a97d7c5b1e1afb937c2db22beba3c1f8|Patch,Third Party Advisory
6|CVE-2018-1066|https://github.com/torvalds/linux/commit/cabfb3680f78981d26c078a26e5c748531257ebb|Patch,Third Party Advisory
7|CVE-2018-7637,CVE-2018-7638,CVE-2018-7640,CVE-2018-7639,CVE-2018-7641|https://github.com/dtschump/CImg/issues/185|Exploit,Third Party Advisory
8|CVE-2018-7648|https://github.com/uclouvain/openjpeg/commit/cc3824767bde397fedb8a1ae4786a222ba860c8d|Patch,Vendor Advisory
9|CVE-2018-7648|https://github.com/uclouvain/openjpeg/issues/1088|Issue Tracking,Third Party Advisory
10|CVE-2015-0796|https://github.com/openSUSE/open-build-service/commit/474a3db19498765f0118ba3dbc0b1cc90b0097fc|Patch,Third Party Advisory
11|CVE-2018-7651|https://github.com/zkat/ssri/commit/d0ebcdc22cb5c8f47f89716d08b3518b2485d65d|Patch,Third Party Advisory
12|CVE-2018-7651|https://github.com/zkat/ssri/issues/10|Third Party Advisory
13|CVE-2018-7652|https://github.com/dotse/zonemaster-gui/commit/568e8db44930fda4563c1e708a2440909fd8e5fe|Patch,Third Party Advisory
14|CVE-2018-7652|https://github.com/dotse/zonemaster-gui/issues/217|Issue Tracking,Third Party Advisory
15|CVE-2018-7652|https://github.com/dotse/zonemaster-gui/pull/218|Patch,Third Party Advisory
16|CVE-2018-7652|https://github.com/dotse/zonemaster-gui/releases/tag/v1.0.11|Release Notes,Third Party Advisory
17|CVE-2017-18213|https://github.com/exponentcms/exponent-cms/releases/tag/v2.4.1patch6|Third Party Advisory
18|CVE-2018-7653|https://github.com/ponyma233/YzmCMS/blob/master/YzmCMS_3.6_bug.md|Third Party Advisory
19|CVE-2018-7560|https://github.com/myshenin/aws-lambda-multipart-parser/commit/56ccb03af4dddebc2b2defb348b6558783d5757e|Third Party Advisory
20|CVE-2017-18214|https://github.com/moment/moment/issues/4163|Issue Tracking,Third Party Advisory
21|CVE-2018-7662|https://github.com/CouchCMS/CouchCMS/issues/46|Exploit,Issue Tracking,Third Party Advisory
22|CVE-2018-7663|https://github.com/spencerdodd/public-writeups/blob/master/CVE-2018-7663/README.md|Exploit,Third Party Advisory
23|CVE-2018-7663|https://github.com/voten-co/voten/commit/ee6a322568166e28465da075159a6d4adbf74d53|Patch,Third Party Advisory
24|CVE-2018-1000115|https://github.com/memcached/memcached/commit/dbb7a8af90054bf4ef51f5814ef7ceb17d83d974|Patch,Third Party Advisory
25|CVE-2018-1000115|https://github.com/memcached/memcached/issues/348|Issue Tracking,Third Party Advisory
26|CVE-2018-1000115|https://github.com/memcached/memcached/wiki/ReleaseNotes156|Third Party Advisory
27|CVE-2017-18216|https://github.com/torvalds/linux/commit/853bc26a7ea39e354b9f8889ae7ad1492ffa28d2|Patch,Third Party Advisory
28|CVE-2017-18217|https://github.com/InvoicePlane/InvoicePlane/pull/542|Patch,Third Party Advisory
29|CVE-2017-18217|https://github.com/InvoicePlane/InvoicePlane/pull/551|Patch,Third Party Advisory
30|CVE-2017-18218|https://github.com/torvalds/linux/commit/27463ad99f738ed93c7c8b3e2e5bc8c4853a2ff2|Patch,Third Party Advisory
31|CVE-2018-7493|https://github.com/VerSprite/research/blob/master/advisories/VS-2018-007.md|Third Party Advisory
32|CVE-2018-7711|https://github.com/simplesamlphp/saml2/commit/4f6af7f69f29df8555a18b9bb7b646906b45924d|Patch
33|CVE-2018-7712,CVE-2018-7714,CVE-2018-7713|https://github.com/opencv/opencv/issues/10998|
34|CVE-2018-7712,CVE-2018-7714,CVE-2018-7713|https://github.com/xiaoqx/pocs/tree/master/opencv/dos-by-assert|Third Party Advisory
