|cve-ids|ex_url|types
0|CVE-2015-7892|https://code.google.com/p/google-security-research/issues/detail?id=493|Exploit,Third Party Advisory
1|CVE-2014-3607|https://code.google.com/archive/p/vt-middleware/issues/226|Third Party Advisory
2|CVE-2014-3607|https://code.google.com/archive/p/vt-middleware/issues/227|Third Party Advisory
3|CVE-2014-3607|https://code.google.com/archive/p/vt-middleware/issues/228|Third Party Advisory
4|CVE-2014-3162|https://code.google.com/p/chromium/issues/detail?id=393765|
5|CVE-2014-1373|https://code.google.com/p/google-security-research/issues/detail?id=22|Exploit
6|CVE-2014-1376|https://code.google.com/p/google-security-research/issues/detail?id=19|Exploit
7|CVE-2014-1377|https://code.google.com/p/google-security-research/issues/detail?id=17|Exploit
8|CVE-2014-1379|https://code.google.com/p/google-security-research/issues/detail?id=20|Exploit
9|CVE-2014-4611|https://code.google.com/p/lz4/issues/detail?id=52|Third Party Advisory
10|CVE-2014-4611|https://code.google.com/p/lz4/source/detail?r=118|Third Party Advisory
11|CVE-2014-3159|https://code.google.com/p/chromium/issues/detail?id=352083|
12|CVE-2014-3160|https://code.google.com/p/chromium/issues/detail?id=380885|
13|CVE-2014-3161|https://code.google.com/p/chromium/issues/detail?id=334204|
14|CVE-2014-5471,CVE-2014-5472|https://code.google.com/p/google-security-research/issues/detail?id=88|
15|CVE-2014-5119|https://code.google.com/p/google-security-research/issues/detail?id=96|Third Party Advisory
16|CVE-2010-5302,CVE-2010-5303|https://code.google.com/p/timthumb/source/detail?r=88|Patch
17|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=149871|
18|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=337572|
19|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=350782|
20|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=357452|
21|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=364062|
22|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=366687|
23|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=367991|
24|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=368978|
25|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=372410|
26|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=372413|
27|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=379656|
28|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=381031|
29|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=381244|
30|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=381521|
31|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382240|
32|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382241|
33|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382242|
34|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382243|
35|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382601|
36|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382606|
37|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382639|
38|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382656|
39|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=382820|
40|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=383703|
41|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=384662|
42|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=387016|
43|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=387315|
44|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=387371|
45|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=388771|
46|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=389216|
47|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=389280|
48|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=389285|
49|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=389316|
50|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=389570|
51|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=390176|
52|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=390304|
53|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=393938|
54|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=394026|
55|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=395972|
56|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=396255|
57|CVE-2014-3175|https://code.google.com/p/chromium/issues/detail?id=397258|
58|CVE-2009-5142|https://code.google.com/p/timthumb/issues/detail?id=49|Exploit
59|CVE-2009-5142|https://code.google.com/p/timthumb/source/detail?r=65|Patch
60|CVE-2014-3165|https://code.google.com/p/chromium/issues/detail?id=390174|
61|CVE-2014-3166|https://code.google.com/p/chromium/issues/detail?id=398925|Vendor Advisory
62|CVE-2014-3167|https://code.google.com/p/chromium/issues/detail?id=400950|
63|CVE-2014-4376|https://code.google.com/p/google-security-research/issues/detail?id=31|
64|CVE-2014-4416|https://code.google.com/p/google-security-research/issues/detail?id=34|
65|CVE-2014-4402|https://code.google.com/p/google-security-research/issues/detail?id=33|
66|CVE-2014-4394|https://code.google.com/p/google-security-research/issues/detail?id=28|
67|CVE-2014-4395|https://code.google.com/p/google-security-research/issues/detail?id=29|
68|CVE-2014-4400,CVE-2014-4401,CVE-2014-4399,CVE-2014-4397,CVE-2014-4396|https://code.google.com/p/google-security-research/issues/detail?id=30|
69|CVE-2014-4398|https://code.google.com/p/google-security-research/issues/detail?id=32|
70|CVE-2014-0556|https://code.google.com/p/google-security-research/issues/detail?id=46|
71|CVE-2014-3185|https://code.google.com/p/google-security-research/issues/detail?id=98|Patch
72|CVE-2014-3186|https://code.google.com/p/google-security-research/issues/detail?id=101|Exploit,Patch
73|CVE-2014-3179|https://code.google.com/p/chromium/issues/detail?id=396447|
74|CVE-2014-3179|https://code.google.com/p/chromium/issues/detail?id=402255|
75|CVE-2014-3179|https://code.google.com/p/chromium/issues/detail?id=403596|
76|CVE-2014-3181|https://code.google.com/p/google-security-research/issues/detail?id=100|Exploit
77|CVE-2014-3182|https://code.google.com/p/google-security-research/issues/detail?id=89|
78|CVE-2014-3183|https://code.google.com/p/google-security-research/issues/detail?id=90|Patch
79|CVE-2014-3184|https://code.google.com/p/google-security-research/issues/detail?id=91|Patch
80|CVE-2014-0568|https://code.google.com/p/google-security-research/issues/detail?id=94|
81|CVE-2014-3187|https://code.google.com/p/chromium/issues/detail?id=413831|
82|CVE-2014-3188|https://code.google.com/p/v8/source/detail?r=24125|
83|CVE-2014-3195|https://code.google.com/p/v8/source/detail?r=23144|
84|CVE-2014-3195|https://code.google.com/p/v8/source/detail?r=23268|
85|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=348333|
86|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=355438|
87|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=360433|
88|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=365141|
89|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=374052|
90|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=377416|
91|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=379458|
92|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=381696|
93|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=384365|
94|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=384891|
95|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=386728|
96|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=386729|
97|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=386730|
98|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387010|
99|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387011|
100|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387013|
101|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387014|
102|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387313|
103|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387506|
104|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387774|
105|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387775|
106|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387776|
107|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387777|
108|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387778|
109|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387779|
110|CVE-2014-3200|https://code.google.com/p/chromium/issues/detail?id=387780|
