|cve-ids|ex_url|types
0|CVE-2006-2194|http://www.ubuntu.com/usn/usn-310-1|
1|CVE-2006-2445,CVE-2006-0039,CVE-2006-2448,CVE-2006-2451|http://www.ubuntu.com/usn/usn-311-1|
2|CVE-2006-2935,CVE-2006-2934,CVE-2006-2936|http://www.ubuntu.com/usn/usn-331-1|Third Party Advisory
3|CVE-2006-2935,CVE-2006-2936,CVE-2006-4145,CVE-2006-4093,CVE-2006-2934,CVE-2006-3468,CVE-2006-3745|http://www.ubuntu.com/usn/usn-346-1|Third Party Advisory
4|CVE-2006-3804,CVE-2006-4340,CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-4565,CVE-2006-3113,CVE-2006-3811,CVE-2006-4571,CVE-2006-3809,CVE-2006-4570,CVE-2006-4566,CVE-2006-3803,CVE-2006-4253,CVE-2006-3812,CVE-2006-4567,CVE-2006-3802|http://www.ubuntu.com/usn/usn-350-1|
5|CVE-2006-4568,CVE-2006-3113,CVE-2006-3801,CVE-2006-4571,CVE-2006-4253,CVE-2006-3808,CVE-2006-4565,CVE-2006-4340,CVE-2006-3810,CVE-2006-3805,CVE-2006-3809,CVE-2006-3803,CVE-2006-3806,CVE-2006-3807,CVE-2006-3677,CVE-2006-4569,CVE-2006-3811,CVE-2006-4566,CVE-2006-3802,CVE-2006-4567,CVE-2006-3812|http://www.ubuntu.com/usn/usn-354-1|
6|CVE-2006-3376|http://www.ubuntu.com/usn/usn-333-1|
7|CVE-2006-3378|http://www.ubuntu.com/usn/usn-308-1|
8|CVE-2006-3403|http://www.ubuntu.com/usn/usn-314-1|
9|CVE-2006-3404|http://www.ubuntu.com/usn/usn-312-1|
10|CVE-2006-3467|http://www.ubuntu.com/usn/usn-324-1|
11|CVE-2006-3467|http://www.ubuntu.com/usn/usn-341-1|
12|CVE-2006-3469|http://www.ubuntu.com/usn/usn-321-1|
13|CVE-2006-3597|http://www.ubuntu.com/usn/usn-316-1|Exploit,Patch
14|CVE-2006-3600|http://www.ubuntu.com/usn/usn-318-1|Patch
15|CVE-2006-3626|http://www.ubuntu.com/usn/usn-319-2|
16|CVE-2006-3672|http://www.ubuntu.com/usn/usn-322-1|
17|CVE-2006-3681,CVE-2006-3682|http://www.ubuntu.com/usn/usn-360-1|
18|CVE-2006-3694|http://www.ubuntu.com/usn/usn-325-1|Patch
19|CVE-2006-3746|http://www.ubuntu.com/usn/usn-332-1|
20|CVE-2006-3747|http://www.ubuntu.com/usn/usn-328-1|
21|CVE-2006-4340,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3808,CVE-2006-4565,CVE-2006-4568,CVE-2006-3811,CVE-2006-4571,CVE-2006-4570,CVE-2006-3809,CVE-2006-2788|http://www.ubuntu.com/usn/usn-361-1|
22|CVE-2006-3815|http://www.ubuntu.com/usn/usn-326-1|
23|CVE-2007-6422,CVE-2008-0005,CVE-2007-6388,CVE-2007-5000,CVE-2006-3918,CVE-2007-3847,CVE-2007-4465,CVE-2007-6421|http://www.ubuntu.com/usn/usn-575-1|
24|CVE-2006-3084,CVE-2006-3083|http://www.ubuntu.com/usn/usn-334-1|
25|CVE-2006-3121|http://www.ubuntu.com/usn/usn-335-1|
26|CVE-2006-3464,CVE-2006-3459,CVE-2006-3465,CVE-2006-3463,CVE-2006-3460,CVE-2006-3462,CVE-2006-3461|http://www.ubuntu.com/usn/usn-330-1|
27|CVE-2006-3743,CVE-2006-3744|http://www.ubuntu.com/usn/usn-340-1|Patch
28|CVE-2006-4484,CVE-2006-4481,CVE-2006-4482,CVE-2006-4020|http://www.ubuntu.com/usn/usn-342-1|
29|CVE-2006-4227,CVE-2006-4031|http://www.ubuntu.com/usn/usn-338-1|
30|CVE-2006-4041|http://www.ubuntu.com/usn/usn-367-1|
31|CVE-2006-4144|http://www.ubuntu.com/usn/usn-337-1|
32|CVE-2006-4146|http://www.ubuntu.com/usn/usn-356-1|
33|CVE-2006-4192|http://www.ubuntu.com/usn/usn-521-1|
34|CVE-2006-4197|http://www.ubuntu.com/usn/usn-363-1|
35|CVE-2006-4340,CVE-2006-4565,CVE-2006-4568,CVE-2006-4569,CVE-2006-4571,CVE-2006-4566,CVE-2006-4253,CVE-2006-4567|http://www.ubuntu.com/usn/usn-351-1|
36|CVE-2006-4340,CVE-2006-4565,CVE-2006-4571,CVE-2006-4570,CVE-2006-4566,CVE-2006-4253,CVE-2006-4567|http://www.ubuntu.com/usn/usn-352-1|
37|CVE-2006-4625,CVE-2006-4812,CVE-2006-4485,CVE-2006-4486|http://www.ubuntu.com/usn/usn-362-1|
38|CVE-2006-2940,CVE-2006-4343,CVE-2006-2937,CVE-2006-3738|http://www.ubuntu.com/usn/usn-353-1|Patch,Vendor Advisory,Third Party Advisory
39|CVE-2006-2940|http://www.ubuntu.com/usn/usn-353-2|
