|cve-ids|ex_url|types
0|CVE-2006-3334,CVE-2006-5793|http://www.mandriva.com/security/advisories?name=MDKSA-2006:209|
1|CVE-2006-3334,CVE-2006-5793|http://www.mandriva.com/security/advisories?name=MDKSA-2006:210|
2|CVE-2006-3334,CVE-2006-5793|http://www.mandriva.com/security/advisories?name=MDKSA-2006:211|
3|CVE-2006-5793,CVE-2004-0421,CVE-2004-0598,CVE-2004-0597,CVE-2006-3334,CVE-2004-0599|http://www.mandriva.com/security/advisories?name=MDKSA-2006:212|
4|CVE-2004-0421,CVE-2004-0598,CVE-2004-0597,CVE-2006-3334,CVE-2004-0599|http://www.mandriva.com/security/advisories?name=MDKSA-2006:213|
5|CVE-2006-2194|http://www.mandriva.com/security/advisories?name=MDKSA-2006:119|
6|CVE-2006-2935,CVE-2006-2936,CVE-2006-1343,CVE-2006-1857,CVE-2006-1858,CVE-2006-2274,CVE-2006-0554,CVE-2006-3468,CVE-2006-3745,CVE-2006-1864,CVE-2006-0744,CVE-2006-1863|http://www.mandriva.com/security/advisories?name=MDKSA-2006:150|Broken Link
7|CVE-2006-2935,CVE-2006-2936,CVE-2006-2445,CVE-2006-2934,CVE-2006-3468,CVE-2006-3745,CVE-2006-1066,CVE-2006-1864,CVE-2006-1863|http://www.mandriva.com/security/advisories?name=MDKSA-2006:151|Broken Link
8|CVE-2006-2783,CVE-2006-2784,CVE-2006-3113,CVE-2006-3801,CVE-2006-2779,CVE-2006-3804,CVE-2006-3808,CVE-2006-2894,CVE-2006-2776,CVE-2006-2785,CVE-2006-2613,CVE-2006-2787,CVE-2006-2788,CVE-2006-3810,CVE-2006-3805,CVE-2006-2777,CVE-2006-2778,CVE-2006-2780,CVE-2006-3809,CVE-2006-3803,CVE-2006-2775,CVE-2006-3806,CVE-2006-3807,CVE-2006-2782,CVE-2006-3677,CVE-2006-2786,CVE-2006-3811,CVE-2006-3802,CVE-2006-3812|http://www.mandriva.com/security/advisories?name=MDKSA-2006:143|
9|CVE-2006-2783,CVE-2006-2784,CVE-2006-3113,CVE-2006-3801,CVE-2006-2779,CVE-2006-3804,CVE-2006-3808,CVE-2006-2894,CVE-2006-2776,CVE-2006-2785,CVE-2006-2613,CVE-2006-2787,CVE-2006-2788,CVE-2006-3810,CVE-2006-3805,CVE-2006-2777,CVE-2006-2778,CVE-2006-2780,CVE-2006-3809,CVE-2006-3803,CVE-2006-2775,CVE-2006-3806,CVE-2006-3807,CVE-2006-2782,CVE-2006-3677,CVE-2006-2786,CVE-2006-3811,CVE-2006-3802,CVE-2006-3812|http://www.mandriva.com/security/advisories?name=MDKSA-2006:145|
10|CVE-2006-3804,CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-2775,CVE-2006-3805,CVE-2006-2780,CVE-2006-2778,CVE-2006-2781,CVE-2006-2783,CVE-2006-3113,CVE-2006-3811,CVE-2006-2776,CVE-2006-3809,CVE-2006-2779,CVE-2006-3803,CVE-2006-2787,CVE-2006-3812,CVE-2006-3802|http://www.mandriva.com/security/advisories?name=MDKSA-2006:146|
11|CVE-2006-3376|http://www.mandriva.com/security/advisories?name=MDKSA-2006:132|
12|CVE-2006-3392|http://www.mandriva.com/security/advisories?name=MDKSA-2006:125|
13|CVE-2006-3403|http://www.mandriva.com/security/advisories?name=MDKSA-2006:120|
14|CVE-2006-3404|http://www.mandriva.com/security/advisories?name=MDKSA-2006:127|
15|CVE-2006-3467|http://www.mandriva.com/security/advisories?name=MDKSA-2006:129|
16|CVE-2006-3467|http://www.mandriva.com/security/advisories?name=MDKSA-2006:148|
17|CVE-2006-3600|http://www.mandriva.com/security/advisories?name=MDKSA-2006:126|
18|CVE-2006-3619|http://www.mandriva.com/security/advisories?name=MDVSA-2008:066|
19|CVE-2006-3626|http://www.mandriva.com/security/advisories?name=MDKSA-2006:124|
20|CVE-2006-3627,CVE-2006-3631,CVE-2006-3628,CVE-2006-3630,CVE-2006-3632,CVE-2006-3629|http://www.mandriva.com/security/advisories?name=MDKSA-2006:128|
21|CVE-2006-3672|http://www.mandriva.com/security/advisories?name=MDKSA-2006:130|
22|CVE-2006-3694|http://www.mandriva.com/security/advisories?name=MDKSA-2006:134|
23|CVE-2006-3746|http://www.mandriva.com/security/advisories?name=MDKSA-2006:141|
24|CVE-2006-3747|http://www.mandriva.com/security/advisories?name=MDKSA-2006:133|
25|CVE-2006-3815,CVE-2006-3121|http://www.mandriva.com/security/advisories?name=MDKSA-2006:142|
26|CVE-2006-3913|http://www.mandriva.com/security/advisories?name=MDKSA-2006:135|
27|CVE-2006-1168|http://www.mandriva.com/security/advisories?name=MDKSA-2006:140|
28|CVE-2011-2716,CVE-2006-1168|http://www.mandriva.com/security/advisories?name=MDVSA-2012:129|
