|cve-ids|ex_url|types
0|CVE-2006-3334|http://security.gentoo.org/glsa/glsa-200607-06.xml|
1|CVE-2006-0481,CVE-2004-0768,CVE-2008-1382,CVE-2006-3334,CVE-2008-3964|http://security.gentoo.org/glsa/glsa-200812-15.xml|
2|CVE-2006-2450|http://security.gentoo.org/glsa/glsa-200608-05.xml|
3|CVE-2006-2450|http://security.gentoo.org/glsa/glsa-200608-12.xml|
4|CVE-2006-2450|http://security.gentoo.org/glsa/glsa-200703-19.xml|
5|CVE-2006-3804,CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3808,CVE-2006-3677,CVE-2006-3113,CVE-2006-3801,CVE-2006-3811,CVE-2006-3809,CVE-2006-3803,CVE-2006-3812,CVE-2006-3802|http://security.gentoo.org/glsa/glsa-200608-02.xml|
6|CVE-2006-3804,CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3113,CVE-2006-3811,CVE-2006-3809,CVE-2006-3803,CVE-2006-3812,CVE-2006-3802|http://security.gentoo.org/glsa/glsa-200608-04.xml|
7|CVE-2006-3119|http://security.gentoo.org/glsa/glsa-200608-22.xml|
8|CVE-2006-3355|http://security.gentoo.org/glsa/glsa-200607-01.xml|Patch,Vendor Advisory
9|CVE-2006-3376|http://security.gentoo.org/glsa/glsa-200608-17.xml|
10|CVE-2006-4028,CVE-2006-3390,CVE-2006-3389|http://security.gentoo.org/glsa/glsa-200608-19.xml|
11|CVE-2006-3392|http://security.gentoo.org/glsa/glsa-200608-11.xml|
12|CVE-2006-3403|http://security.gentoo.org/glsa/glsa-200607-10.xml|
13|CVE-2006-3404|http://security.gentoo.org/glsa/glsa-200607-08.xml|
14|CVE-2006-3410,CVE-2006-3407,CVE-2006-3411,CVE-2006-3418,CVE-2006-3413,CVE-2006-3414,CVE-2006-3408,CVE-2006-3409,CVE-2006-3415,CVE-2006-3412,CVE-2006-3417,CVE-2006-3416,CVE-2006-3419,CVE-2006-0414|http://security.gentoo.org/glsa/glsa-200606-04.xml|Patch,Vendor Advisory
15|CVE-2006-3467|http://security.gentoo.org/glsa/glsa-200609-04.xml|
16|CVE-2006-3469|http://security.gentoo.org/glsa/glsa-200608-09.xml|
17|CVE-2006-3535,CVE-2006-3534|http://security.gentoo.org/glsa/glsa-200607-05.xml|Exploit,Patch
18|CVE-2006-3581,CVE-2006-3582|http://security.gentoo.org/glsa/glsa-200607-13.xml|
19|CVE-2006-3581,CVE-2006-3582|http://security.gentoo.org/glsa/glsa-200609-06.xml|
20|CVE-2006-3311,CVE-2006-3588,CVE-2006-3587|http://security.gentoo.org/glsa/glsa-200610-02.xml|
21|CVE-2006-3600|http://security.gentoo.org/glsa/glsa-200607-11.xml|
22|CVE-2007-4497,CVE-2007-5617,CVE-2007-4496,CVE-2007-1716,CVE-2006-3619,CVE-2006-4600,CVE-2007-0062,CVE-2007-0061,CVE-2004-0813,CVE-2007-0063,CVE-2006-4146|http://security.gentoo.org/glsa/glsa-200711-23.xml|Third Party Advisory
23|CVE-2006-3627,CVE-2006-3631,CVE-2006-3628,CVE-2006-3630,CVE-2006-3632,CVE-2006-3629|http://security.gentoo.org/glsa/glsa-200607-09.xml|
24|CVE-2006-3746|http://security.gentoo.org/glsa/glsa-200608-08.xml|
25|CVE-2006-3747|http://security.gentoo.org/glsa/glsa-200608-01.xml|
26|CVE-2006-3815,CVE-2006-3121|http://security.gentoo.org/glsa/glsa-200608-23.xml|
27|CVE-2006-1168|http://security.gentoo.org/glsa/glsa-200610-03.xml|
28|CVE-2006-3084,CVE-2006-3083|http://security.gentoo.org/glsa/glsa-200608-21.xml|
29|CVE-2006-3124|http://security.gentoo.org/glsa/glsa-200609-01.xml|
30|CVE-2006-3125|http://security.gentoo.org/glsa/glsa-200609-02.xml|Patch
31|CVE-2006-3743,CVE-2006-3744,CVE-2006-4144|http://security.gentoo.org/glsa/glsa-200609-14.xml|
32|CVE-2006-4018|http://security.gentoo.org/glsa/glsa-200608-13.xml|
33|CVE-2006-4020|http://security.gentoo.org/glsa/glsa-200608-28.xml|
34|CVE-2006-4041|http://security.gentoo.org/glsa/glsa-200608-10.xml|Patch
35|CVE-2006-4089|http://security.gentoo.org/glsa/glsa-200608-24.xml|
36|CVE-2006-4192|http://security.gentoo.org/glsa/glsa-200612-04.xml|
37|CVE-2006-4197|http://security.gentoo.org/glsa/glsa-200610-09.xml|
