|cve-ids|ex_url|types
0|CVE-2006-3379,CVE-2006-3380|http://jvn.jp/jp/JVN%2398836916/index.html|
1|CVE-2006-3578,CVE-2006-3579|http://jvn.jp/jp/JVN%2373368472/index.html|Patch
2|CVE-2006-3578,CVE-2006-3579|http://jvn.jp/jp/JVN%2376686161/index.html|Patch
3|CVE-2006-3694|http://jvn.jp/jp/JVN%2313947696/index.html|
4|CVE-2006-3694|http://jvn.jp/jp/JVN%2383768862/index.html|
5|CVE-2006-3756|http://jvn.jp/jp/JVN%2381108784/index.html|Third Party Advisory
6|CVE-2006-4165|http://jvn.jp/jp/JVN%2351301450/index.html|Patch
7|CVE-2006-4201|http://jvn.jp/niscc/NISCC-412866/|
8|CVE-2006-4211|http://jvn.jp/jp/JVN%2301137722/index.html|
9|CVE-2006-4212|http://jvn.jp/jp/JVN%2339103264/index.html|
10|CVE-2006-4344|http://jvn.jp/jp/JVN%2311048526/index.html|Patch
11|CVE-2006-4490,CVE-2006-4491|http://jvn.jp/jp/JVN%2390420168/index.html|Patch
12|CVE-2006-4492|http://jvn.jp/jp/JVN%2331125599/index.html|Patch
13|CVE-2006-4339|http://jvn.jp/en/jp/JVN51615542/index.html|
14|CVE-2006-4339|http://jvndb.jvn.jp/ja/contents/2012/JVNDB-2012-000079.html|
15|CVE-2006-4542|http://jvn.jp/jp/JVN%2399776858/index.html|Patch
16|CVE-2006-4964|http://jvn.jp/jp/JVN%2346630603/index.html|
17|CVE-2006-5080|http://jvn.jp/jp/JVN%2368295640/index.html|
18|CVE-2006-5175|http://jvn.jp/jp/JVN%2393484133/index.html|
19|CVE-2006-5424|http://jvn.jp/jp/JVN%2390815371/index.html|
20|CVE-2006-5593|http://jvn.jp/jp/JVN%2307235355/index.html|Patch
21|CVE-2006-5774|http://jvn.jp/jp/JVN%2388325166/index.html|
22|CVE-2006-6108|http://jvn.jp/jp/JVN%2361543834/index.html|
23|CVE-2006-6174|http://jvn.jp/jp/JVN%2347223461/index.html|
24|CVE-2006-6176|http://jvn.jp/jp/JVN%2321125043/index.html|
25|CVE-2006-6249|http://jvn.jp/jp/JVN%2308494205/index.html|
26|CVE-2006-6303|http://jvn.jp/jp/JVN%2384798830/index.html|
