|cve-ids|ex_url|types
0|CVE-2006-5745|http://www.iss.net/threats/239.html|
1|CVE-2006-4902|http://www.iss.net/threats/247.html|
2|CVE-2008-0015,CVE-2008-0020|http://www.iss.net/threats/329.html|Exploit
3|CVE-2009-3459|http://www.iss.net/threats/348.html|
4|CVE-2009-0895|http://www.iss.net/threats/356.html|
5|CVE-2009-0898|http://www.iss.net/threats/357.html|
6|CVE-2007-0066,CVE-2007-0069|http://www.iss.net/threats/282.html|
7|CVE-2006-5171|http://www.iss.net/threats/252.html|Patch,Vendor Advisory
8|CVE-2006-5172|http://www.iss.net/threats/253.html|
9|CVE-2006-7081|http://www.iss.net/security_center/static/10456.php|
10|CVE-2006-5272,CVE-2006-5271,CVE-2006-5274,CVE-2006-5273|http://www.iss.net/threats/269.html|
11|CVE-2006-5277|http://www.iss.net/threats/270.html|Broken Link
12|CVE-2006-5278|http://www.iss.net/threats/271.html|Broken Link
13|CVE-2007-0040|http://www.iss.net/threats/267.html|
14|CVE-2007-0060|http://www.iss.net/threats/272.html|Broken Link
15|CVE-2007-0063,CVE-2007-0062,CVE-2007-0061|http://www.iss.net/threats/275.html|Patch,Third Party Advisory
16|CVE-2007-0071|http://www.iss.net/threats/289.html|Broken Link
17|CVE-2006-5268|http://www.iss.net/threats/307.html|
18|CVE-2006-5269|http://www.iss.net/threats/308.html|
19|CVE-2007-0072,CVE-2007-0074,CVE-2007-0073|http://www.iss.net/threats/309.html|
20|CVE-2008-0014,CVE-2008-0012,CVE-2008-0013|http://www.iss.net/threats/310.html|
21|CVE-2008-0017|http://www.iss.net/threats/311.html|Broken Link
22|CVE-2002-1583|http://www.iss.net/security_center/static/9078.php|Patch,Vendor Advisory
23|CVE-2002-1581|http://www.iss.net/security_center/static/10490.php|Patch,Vendor Advisory
24|CVE-2002-1582|http://www.iss.net/security_center/static/10491.php|Patch,Vendor Advisory
25|CVE-2007-3895,CVE-2007-3901|http://www.iss.net/threats/280.html|
26|CVE-2006-0058|http://www.iss.net/threats/216.html|
27|CVE-2011-3140|http://www.iss.net/security_center/reference/vuln/HTTP_Parameter_Abuse.htm|
28|CVE-2004-1824|http://www.iss.net/security_center/static/10679.php|
29|CVE-2002-0626|http://www.iss.net/security_center/static/9347.php|Vendor Advisory
30|CVE-2002-0627|http://www.iss.net/security_center/static/9348.php|Vendor Advisory
31|CVE-2002-0629,CVE-2002-0628|http://www.iss.net/security_center/static/9349.php|Vendor Advisory
32|CVE-2002-0630|http://www.iss.net/security_center/static/9350.php|Vendor Advisory
33|CVE-2002-1386|http://www.iss.net/security_center/static/10608.php|
34|CVE-2002-1395|http://www.iss.net/security_center/static/10766.php|
35|CVE-2002-1395|http://www.iss.net/security_center/static/10767.php|
36|CVE-2003-0012|http://www.iss.net/security_center/static/10971.php|Vendor Advisory
37|CVE-2003-0013|http://www.iss.net/security_center/static/10970.php|
38|CVE-2003-0032|http://www.iss.net/security_center/static/10988.php|Vendor Advisory
39|CVE-2003-0002|http://www.iss.net/security_center/static/10318.php|Patch,Vendor Advisory
40|CVE-2002-0669|http://www.iss.net/security_center/static/9564.php|Vendor Advisory
41|CVE-2002-1160|http://www.iss.net/security_center/static/11254.php|Vendor Advisory
42|CVE-2002-1252|http://www.iss.net/security_center/static/10520.php|Patch,Vendor Advisory
43|CVE-2002-1348|http://www.iss.net/security_center/static/11266.php|Patch,Vendor Advisory
44|CVE-2002-1405|http://www.iss.net/security_center/static/9887.php|Patch,Vendor Advisory
45|CVE-2002-1508|http://www.iss.net/security_center/static/11288.php|Vendor Advisory
46|CVE-2003-0004|http://www.iss.net/security_center/static/11260.php|
47|CVE-2003-0018|http://www.iss.net/security_center/static/11249.php|Vendor Advisory
48|CVE-2003-0019|http://www.iss.net/security_center/static/11276.php|Patch,Vendor Advisory
49|CVE-2003-0062|http://www.iss.net/security_center/static/11282.php|Vendor Advisory
50|CVE-2003-0073|http://www.iss.net/security_center/static/11199.php|
51|CVE-2003-0074|http://www.iss.net/security_center/static/11193.php|
52|CVE-2003-0075|http://www.iss.net/security_center/static/11227.php|Vendor Advisory
53|CVE-2003-0076|http://www.iss.net/security_center/static/11246.php|Vendor Advisory
54|CVE-2003-1326|http://www.iss.net/security_center/static/11258.php|Vendor Advisory
55|CVE-2003-1328|http://www.iss.net/security_center/static/11259.php|Vendor Advisory
56|CVE-2002-0842|http://www.iss.net/security_center/static/11330.php|Vendor Advisory
57|CVE-2002-1337|http://www.iss.net/issEn/delivery/xforce/alertdetail.jsp?oid=21950|Patch,Vendor Advisory
58|CVE-2002-1337|http://www.iss.net/security_center/static/10748.php|
59|CVE-2002-1472|http://www.iss.net/security_center/static/10137.php|Patch,Vendor Advisory
60|CVE-2002-1510|http://www.iss.net/security_center/static/11389.php|Vendor Advisory
61|CVE-2002-1511|http://www.iss.net/security_center/static/11384.php|Vendor Advisory
62|CVE-2002-1529|http://www.iss.net/security_center/static/10319.php|Patch,Vendor Advisory
63|CVE-2002-1530|http://www.iss.net/security_center/static/10320.php|Patch,Vendor Advisory
64|CVE-2002-1531|http://www.iss.net/security_center/static/10321.php|Patch,Vendor Advisory
65|CVE-2002-1532|http://www.iss.net/security_center/static/10322.php|Patch,Vendor Advisory
66|CVE-2002-1533|http://www.iss.net/security_center/static/10219.php|Vendor Advisory
67|CVE-2002-1534|http://www.iss.net/security_center/static/10297.php|Vendor Advisory
68|CVE-2002-1535|http://www.iss.net/security_center/static/10363.php|
69|CVE-2002-1536|http://www.iss.net/security_center/static/10397.php|
70|CVE-2002-1537|http://www.iss.net/security_center/static/10489.php|Patch,Vendor Advisory
71|CVE-2002-1538|http://www.iss.net/security_center/static/10473.php|Patch,Vendor Advisory
72|CVE-2002-1539|http://www.iss.net/security_center/static/10488.php|Vendor Advisory
73|CVE-2002-1540|http://www.iss.net/security_center/static/10475.php|Patch,Vendor Advisory
74|CVE-2002-1541|http://www.iss.net/security_center/static/10466.php|Vendor Advisory
75|CVE-2002-1542|http://www.iss.net/security_center/static/10462.php|
76|CVE-2002-1543|http://www.iss.net/security_center/static/10458.php|Patch,Vendor Advisory
77|CVE-2002-1546|http://www.iss.net/security_center/static/10467.php|Vendor Advisory
78|CVE-2002-1547|http://www.iss.net/security_center/static/10528.php|Patch,Vendor Advisory
79|CVE-2002-1549|http://www.iss.net/security_center/static/10607.php|Vendor Advisory
80|CVE-2002-1553|http://www.iss.net/security_center/static/10505.php|Patch,Vendor Advisory
81|CVE-2002-1554|http://www.iss.net/security_center/static/10506.php|Patch,Vendor Advisory
82|CVE-2002-1555|http://www.iss.net/security_center/static/10507.php|Patch,Vendor Advisory
83|CVE-2002-1556|http://www.iss.net/security_center/static/10508.php|Patch,Vendor Advisory
84|CVE-2002-1557|http://www.iss.net/security_center/static/10509.php|Patch,Vendor Advisory
85|CVE-2002-1558|http://www.iss.net/security_center/static/10510.php|Patch,Vendor Advisory
86|CVE-2002-1559|http://www.iss.net/security_center/static/10518.php|Vendor Advisory
87|CVE-2002-1560|http://www.iss.net/security_center/static/10455.php|Vendor Advisory
88|CVE-2003-0009|http://www.iss.net/security_center/static/11425.php|Vendor Advisory
89|CVE-2003-0020|http://www.iss.net/security_center/static/11412.php|Broken Link
90|CVE-2003-0021,CVE-2003-0022|http://www.iss.net/security_center/static/11413.php|Vendor Advisory
91|CVE-2003-0023,CVE-2003-0024|http://www.iss.net/security_center/static/11416.php|Vendor Advisory
92|CVE-2003-0033|http://www.iss.net/issEn/delivery/xforce/alertdetail.jsp?oid=21951|Patch,Vendor Advisory
93|CVE-2003-0033|http://www.iss.net/security_center/static/10956.php|Patch,Vendor Advisory
94|CVE-2003-0049|http://www.iss.net/security_center/static/11333.php|Vendor Advisory
95|CVE-2003-0050|http://www.iss.net/security_center/static/11401.php|Vendor Advisory
96|CVE-2003-0051|http://www.iss.net/security_center/static/11402.php|Vendor Advisory
97|CVE-2003-0052|http://www.iss.net/security_center/static/11403.php|Vendor Advisory
98|CVE-2003-0053|http://www.iss.net/security_center/static/11404.php|Vendor Advisory
99|CVE-2003-0054|http://www.iss.net/security_center/static/11405.php|Vendor Advisory
100|CVE-2003-0055|http://www.iss.net/security_center/static/11406.php|Vendor Advisory
101|CVE-2003-0067,CVE-2003-0069,CVE-2003-0065,CVE-2003-0063,CVE-2003-0077,CVE-2003-0066,CVE-2003-0068,CVE-2003-0064,CVE-2003-0070|http://www.iss.net/security_center/static/11414.php|Vendor Advisory
102|CVE-2003-0079,CVE-2003-0071|http://www.iss.net/security_center/static/11415.php|Vendor Advisory
103|CVE-2003-0078|http://www.iss.net/security_center/static/11369.php|Vendor Advisory
104|CVE-2003-0088|http://www.iss.net/security_center/static/11332.php|Vendor Advisory
105|CVE-2003-0095|http://www.iss.net/security_center/static/11328.php|Vendor Advisory
106|CVE-2003-0096|http://www.iss.net/security_center/static/11325.php|
107|CVE-2003-0096|http://www.iss.net/security_center/static/11326.php|
108|CVE-2003-0096|http://www.iss.net/security_center/static/11327.php|Vendor Advisory
109|CVE-2003-0097|http://www.iss.net/security_center/static/11343.php|Vendor Advisory
110|CVE-2003-0098|http://www.iss.net/security_center/static/11334.php|Broken Link
111|CVE-2003-0099|http://www.iss.net/security_center/static/11491.php|Vendor Advisory
112|CVE-2003-0100|http://www.iss.net/security_center/static/11373.php|Vendor Advisory
113|CVE-2003-0101|http://www.iss.net/security_center/static/11390.php|Vendor Advisory
114|CVE-2003-0103|http://www.iss.net/security_center/static/11421.php|
115|CVE-2003-0104|http://www.iss.net/issEn/delivery/xforce/alertdetail.jsp?oid=21999|Patch,Vendor Advisory
116|CVE-2003-0104|http://www.iss.net/security_center/static/10962.php|Patch,Vendor Advisory
117|CVE-2003-0107|http://www.iss.net/security_center/static/11381.php|Vendor Advisory
118|CVE-2003-0108|http://www.iss.net/security_center/static/11434.php|Vendor Advisory
119|CVE-2003-0109|http://www.iss.net/issEn/delivery/xforce/alertdetail.jsp?oid=22029|Patch,Vendor Advisory
120|CVE-2003-0109|http://www.iss.net/security_center/static/11533.php|Patch,Vendor Advisory
121|CVE-2003-0120|http://www.iss.net/security_center/static/11439.php|
122|CVE-2002-1143|http://www.iss.net/security_center/static/10008.php|Broken Link
123|CVE-2002-1143|http://www.iss.net/security_center/static/10155.php|Broken Link
124|CVE-2002-1406|http://www.iss.net/security_center/static/9847.php|Patch,Vendor Advisory
125|CVE-2002-1408|http://www.iss.net/security_center/static/9814.php|Patch,Vendor Advisory
126|CVE-2002-1409|http://www.iss.net/security_center/static/9818.php|Patch,Vendor Advisory
127|CVE-2002-1410|http://www.iss.net/security_center/static/9697.php|Vendor Advisory
128|CVE-2002-1411|http://www.iss.net/security_center/static/9414.php|Vendor Advisory
129|CVE-2002-1413|http://www.iss.net/security_center/static/9928.php|Patch,Vendor Advisory
130|CVE-2002-1414|http://www.iss.net/security_center/static/9786.php|
131|CVE-2002-1415|http://www.iss.net/security_center/static/9924.php|Vendor Advisory
132|CVE-2002-1416|http://www.iss.net/security_center/static/9925.php|Vendor Advisory
133|CVE-2002-1417|http://www.iss.net/security_center/static/9910.php|Patch,Vendor Advisory
134|CVE-2002-1418|http://www.iss.net/security_center/static/9911.php|Patch,Vendor Advisory
135|CVE-2002-1419|http://www.iss.net/security_center/static/9868.php|Patch,Vendor Advisory
136|CVE-2002-1420|http://www.iss.net/security_center/static/9809.php|Patch,Vendor Advisory
137|CVE-2002-1421|http://www.iss.net/security_center/static/9912.php|Patch,Vendor Advisory
138|CVE-2002-1422|http://www.iss.net/security_center/static/9901.php|Patch,Vendor Advisory
139|CVE-2002-1423|http://www.iss.net/security_center/static/9896.php|Patch,Vendor Advisory
140|CVE-2002-1424|http://www.iss.net/security_center/static/9747.php|Exploit,Vendor Advisory,Patch
141|CVE-2002-1425|http://www.iss.net/security_center/static/9748.php|Patch,Vendor Advisory
142|CVE-2002-1426|http://www.iss.net/security_center/static/9708.php|Vendor Advisory
143|CVE-2002-1427|http://www.iss.net/security_center/static/9696.php|Vendor Advisory
144|CVE-2002-1428|http://www.iss.net/security_center/static/9720.php|Vendor Advisory
145|CVE-2002-1429|http://www.iss.net/security_center/static/9739.php|Vendor Advisory
146|CVE-2002-1430|http://www.iss.net/security_center/static/9723.php|Exploit,Vendor Advisory,Patch
147|CVE-2002-1431|http://www.iss.net/security_center/static/9324.php|Vendor Advisory
148|CVE-2002-1432|http://www.iss.net/security_center/static/9816.php|Patch,Vendor Advisory
149|CVE-2002-1433|http://www.iss.net/security_center/static/9904.php|Patch,Vendor Advisory
150|CVE-2002-1434|http://www.iss.net/security_center/static/9905.php|Patch,Vendor Advisory
151|CVE-2002-1435|http://www.iss.net/security_center/static/9947.php|Patch,Vendor Advisory
152|CVE-2002-1436|http://www.iss.net/security_center/static/9916.php|Patch,Vendor Advisory
153|CVE-2002-1437|http://www.iss.net/security_center/static/9915.php|Patch,Vendor Advisory
154|CVE-2002-1438|http://www.iss.net/security_center/static/9917.php|Patch,Vendor Advisory
155|CVE-2002-1439|http://www.iss.net/security_center/static/9846.php|Patch,Vendor Advisory
156|CVE-2002-1440|http://www.iss.net/security_center/static/9864.php|Vendor Advisory
157|CVE-2002-1441|http://www.iss.net/security_center/static/9888.php|Vendor Advisory
158|CVE-2002-1441|http://www.iss.net/security_center/static/9889.php|Vendor Advisory
159|CVE-2002-1441|http://www.iss.net/security_center/static/9890.php|Vendor Advisory
160|CVE-2002-1464|http://www.iss.net/security_center/static/9835.php|Vendor Advisory
161|CVE-2002-1465|http://www.iss.net/security_center/static/9836.php|Vendor Advisory
162|CVE-2002-1467|http://www.iss.net/security_center/static/9797.php|Patch,Vendor Advisory
163|CVE-2002-1469|http://www.iss.net/security_center/static/9913.php|Patch,Vendor Advisory
164|CVE-2002-1470|http://www.iss.net/security_center/static/9775.php|Vendor Advisory
165|CVE-2002-1471|http://www.iss.net/security_center/static/10292.php|Patch,Vendor Advisory
166|CVE-2002-1473|http://www.iss.net/security_center/static/9992.php|Patch,Vendor Advisory
167|CVE-2002-1476|http://www.iss.net/security_center/static/10159.php|Patch,Vendor Advisory
168|CVE-2002-1477|http://www.iss.net/security_center/static/10048.php|Patch,Vendor Advisory
169|CVE-2002-1478|http://www.iss.net/security_center/static/10050.php|Patch,Vendor Advisory
170|CVE-2002-1479|http://www.iss.net/security_center/static/10049.php|Patch,Vendor Advisory
171|CVE-2002-1480|http://www.iss.net/security_center/static/10060.php|Patch,Vendor Advisory
172|CVE-2002-1481|http://www.iss.net/security_center/static/10065.php|Patch,Vendor Advisory
173|CVE-2002-1482|http://www.iss.net/security_center/static/10068.php|Patch,Vendor Advisory
174|CVE-2002-1483|http://www.iss.net/security_center/static/10123.php|Patch,Vendor Advisory
175|CVE-2002-1484|http://www.iss.net/security_center/static/10136.php|Exploit,Vendor Advisory
176|CVE-2002-1486|http://www.iss.net/security_center/static/10150.php|
177|CVE-2002-1486|http://www.iss.net/security_center/static/10151.php|Vendor Advisory
178|CVE-2002-1486|http://www.iss.net/security_center/static/10163.php|Vendor Advisory
179|CVE-2002-1487|http://www.iss.net/security_center/static/10161.php|Vendor Advisory
180|CVE-2002-1488|http://www.iss.net/security_center/static/10162.php|Vendor Advisory
181|CVE-2002-1489|http://www.iss.net/security_center/static/10124.php|Patch,Vendor Advisory
182|CVE-2002-1489|http://www.iss.net/security_center/static/10391.php|Vendor Advisory
183|CVE-2002-1490|http://www.iss.net/security_center/static/10115.php|Patch,Vendor Advisory
184|CVE-2002-1491|http://www.iss.net/security_center/static/10129.php|Patch,Vendor Advisory
185|CVE-2002-1492|http://www.iss.net/security_center/static/10131.php|Patch,Vendor Advisory
186|CVE-2002-1494|http://www.iss.net/security_center/static/10029.php|Vendor Advisory
187|CVE-2002-1495|http://www.iss.net/security_center/static/10152.php|Patch,Vendor Advisory
188|CVE-2002-1496|http://www.iss.net/security_center/static/10160.php|Patch,Vendor Advisory
189|CVE-2002-1498|http://www.iss.net/security_center/static/9981.php|Patch,Vendor Advisory
190|CVE-2002-1499|http://www.iss.net/security_center/static/10000.php|Vendor Advisory
191|CVE-2002-1500|http://www.iss.net/security_center/static/10114.php|Patch,Vendor Advisory
192|CVE-2002-1501|http://www.iss.net/security_center/static/10096.php|Patch,Vendor Advisory
193|CVE-2002-1502|http://www.iss.net/security_center/static/10078.php|Vendor Advisory
194|CVE-2002-1503|http://www.iss.net/security_center/static/10036.php|Patch,Vendor Advisory
195|CVE-2002-1504|http://www.iss.net/security_center/static/10051.php|Vendor Advisory
196|CVE-2002-1505|http://www.iss.net/security_center/static/10069.php|Vendor Advisory
197|CVE-2002-1506|http://www.iss.net/security_center/static/9980.php|Patch,Vendor Advisory
198|CVE-2002-1507|http://www.iss.net/security_center/static/10128.php|Vendor Advisory
199|CVE-2002-1512|http://www.iss.net/security_center/static/10101.php|Vendor Advisory
200|CVE-2002-1513|http://www.iss.net/security_center/static/10236.php|Patch,Vendor Advisory
201|CVE-2002-1514|http://www.iss.net/security_center/static/10196.php|Vendor Advisory
202|CVE-2002-1515|http://www.iss.net/security_center/static/10237.php|Patch,Vendor Advisory
203|CVE-2002-1516|http://www.iss.net/security_center/static/10272.php|Patch,Vendor Advisory
204|CVE-2002-1517|http://www.iss.net/security_center/static/10275.php|Patch,Vendor Advisory
205|CVE-2002-1518|http://www.iss.net/security_center/static/10276.php|Patch,Vendor Advisory
206|CVE-2002-1519|http://www.iss.net/security_center/static/10217.php|Patch,Vendor Advisory
207|CVE-2002-1520|http://www.iss.net/security_center/static/10218.php|Patch,Vendor Advisory
208|CVE-2002-1521|http://www.iss.net/security_center/static/10198.php|Vendor Advisory
209|CVE-2002-1522|http://www.iss.net/security_center/static/10286.php|Vendor Advisory
210|CVE-2002-1523|http://www.iss.net/security_center/static/10366.php|Vendor Advisory
211|CVE-2002-1524|http://www.iss.net/security_center/static/10228.php|Vendor Advisory
212|CVE-2002-1525|http://www.iss.net/security_center/static/10225.php|Vendor Advisory
213|CVE-2002-1526,CVE-2002-1527|http://www.iss.net/security_center/static/10205.php|
214|CVE-2002-1527|http://www.iss.net/security_center/static/10204.php|Vendor Advisory
215|CVE-2002-1528|http://www.iss.net/security_center/static/10350.php|Vendor Advisory
216|CVE-2003-0154|http://www.iss.net/security_center/static/9920.php|
217|CVE-2003-0111|http://www.iss.net/security_center/static/11751.php|Patch,Vendor Advisory
218|CVE-2003-0115|http://www.iss.net/security_center/static/11848.php|Vendor Advisory
219|CVE-2003-0233|http://www.iss.net/security_center/static/11854.php|Vendor Advisory
220|CVE-2002-1454|http://www.iss.net/security_center/static/9862.php|Vendor Advisory
221|CVE-2002-1457|http://www.iss.net/security_center/static/9837.php|Patch,Vendor Advisory
222|CVE-2002-1459,CVE-2002-1458|http://www.iss.net/security_center/static/9838.php|Patch,Vendor Advisory
223|CVE-2002-1460|http://www.iss.net/security_center/static/9839.php|Patch,Vendor Advisory
224|CVE-2002-1461|http://www.iss.net/security_center/static/9817.php|Vendor Advisory
225|CVE-2002-1462|http://www.iss.net/security_center/static/9858.php|Vendor Advisory
226|CVE-2003-0400|http://www.iss.net/security_center/static/12075.php|Patch,Vendor Advisory
227|CVE-2003-0401|http://www.iss.net/security_center/static/12074.php|Vendor Advisory
228|CVE-2003-0402|http://www.iss.net/security_center/static/12073.php|Vendor Advisory
229|CVE-2003-0403|http://www.iss.net/security_center/static/12072.php|Vendor Advisory
230|CVE-2003-0404|http://www.iss.net/security_center/static/12071.php|Vendor Advisory
231|CVE-2003-0405|http://www.iss.net/security_center/static/12070.php|Vendor Advisory
232|CVE-2003-0406|http://www.iss.net/security_center/static/12083.php|Vendor Advisory
233|CVE-2003-0407|http://www.iss.net/security_center/static/12087.php|Vendor Advisory
234|CVE-2003-0408|http://www.iss.net/security_center/static/12131.php|Patch,Vendor Advisory
