|cve-ids|ex_url|types
0|CVE-2006-3334|http://sourceforge.net/project/shownotes.php?group_id=5624&release_id=428123|
1|CVE-2006-2450|http://libvncserver.cvs.sourceforge.net/libvncserver/libvncserver/libvncserver/auth.c?r1=1.11&r2=1.14&diff_format=u|Patch
2|CVE-2006-2450|http://sourceforge.net/project/shownotes.php?release_id=431724&group_id=32584|Patch
3|CVE-2006-3485|http://sourceforge.net/forum/forum.php?forum_id=586734|
4|CVE-2006-3581|http://adplug.cvs.sourceforge.net/adplug/adplug/src/dtm.cpp?view=log#rev1.17|
5|CVE-2006-3582|http://adplug.cvs.sourceforge.net/adplug/adplug/src/cff.cpp?r1=1.16&r2=1.17|
6|CVE-2006-3671|http://sourceforge.net/project/shownotes.php?release_id=432119|Patch
7|CVE-2006-3788,CVE-2006-3789|http://svn.sourceforge.net/viewcvs.cgi/ufo2000/trunk/src/multiplay.cpp?view=log|
8|CVE-2006-3790,CVE-2006-3791,CVE-2006-3788|http://svn.sourceforge.net/viewcvs.cgi/ufo2000/trunk/src/server_transport.cpp?view=log|
9|CVE-2006-3792|http://svn.sourceforge.net/viewcvs.cgi/ufo2000/trunk/src/server_protocol.cpp?view=log|
10|CVE-2006-3816|http://krusader.sourceforge.net/phpBB/viewtopic.php?p=7965|Patch
11|CVE-2006-3908|http://gnelib.cvs.sourceforge.net/gnelib/gnelib/src/ConsoleStreambuf.cpp?r1=1.8&r2=1.9&sortby=date|
12|CVE-2006-3124|http://sourceforge.net/project/shownotes.php?release_id=442126|Patch
13|CVE-2006-3993|https://svn.sourceforge.net/svnroot/tsep/tsep-svn/trunk/delivery/include/copyright.php|Exploit
14|CVE-2006-4003|http://sourceforge.net/project/shownotes.php?release_id=436594&group_id=128058|Patch
15|CVE-2006-4055|http://sourceforge.net/forum/forum.php?forum_id=597790|
16|CVE-2006-4055|http://sourceforge.net/forum/forum.php?thread_id=1546639&forum_id=369628|
17|CVE-2006-4056|http://sourceforge.net/project/shownotes.php?release_id=437760&group_id=172286|Patch
18|CVE-2006-4198|http://sourceforge.net/forum/forum.php?forum_id=601184|
19|CVE-2006-4211,CVE-2006-4212|http://sourceforge.net/tracker/index.php?func=detail&aid=1540643&group_id=9444&atid=309444|
20|CVE-2006-4262|http://sourceforge.net/mailarchive/forum.php?thread_id=30266760&forum_id=33500|
21|CVE-2006-4262|http://sourceforge.net/mailarchive/forum.php?thread_id=30266761&forum_id=33500|
22|CVE-2006-2940,CVE-2006-4343,CVE-2006-2937,CVE-2006-5794,CVE-2006-3738,CVE-2006-4924|http://sourceforge.net/project/shownotes.php?release_id=461863&group_id=69227|Broken Link
