|cve-ids|ex_url|types
0|CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3808,CVE-2006-3677,CVE-2006-3113,CVE-2006-3801,CVE-2006-3811,CVE-2006-3809,CVE-2006-3803,CVE-2006-3812,CVE-2006-3802|https://usn.ubuntu.com/327-1/|
1|CVE-2006-3804,CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3113,CVE-2006-3811,CVE-2006-3809,CVE-2006-3803,CVE-2006-3812,CVE-2006-3802|https://usn.ubuntu.com/329-1/|
2|CVE-2006-3458|https://usn.ubuntu.com/317-1/|
3|CVE-2006-3626|https://usn.ubuntu.com/319-1/|
4|CVE-2006-5461|https://usn.ubuntu.com/380-1/|
5|CVE-2004-1058|https://usn.ubuntu.com/38-1/|
6|CVE-2004-1267,CVE-2004-1270,CVE-2004-1269,CVE-2004-1125,CVE-2004-1268|https://usn.ubuntu.com/50-1/|
7|CVE-2004-1184,CVE-2004-1185,CVE-2004-1186|https://usn.ubuntu.com/68-1/|
8|CVE-2005-0102|https://usn.ubuntu.com/69-1/|
9|CVE-2004-0983|https://usn.ubuntu.com/20-1/|
10|CVE-2004-1010|https://usn.ubuntu.com/18-1/|
11|CVE-2005-0767,CVE-2005-0384,CVE-2005-0736|https://usn.ubuntu.com/95-1/|
12|CVE-2005-0605|https://usn.ubuntu.com/92-1/|
13|CVE-2005-0605|https://usn.ubuntu.com/97-1/|
14|CVE-2005-0626|https://usn.ubuntu.com/93-1/|
15|CVE-2004-2014,CVE-2004-1488,CVE-2004-1487|https://usn.ubuntu.com/145-1/|
16|CVE-2005-0718|https://usn.ubuntu.com/111-1/|
17|CVE-2005-0977,CVE-2005-0749,CVE-2005-0400|https://usn.ubuntu.com/103-1/|
18|CVE-2005-1043,CVE-2005-1042|https://usn.ubuntu.com/112-1/|
19|CVE-2005-0106|https://usn.ubuntu.com/113-1/|
20|CVE-2005-0448|https://usn.ubuntu.com/94-1/|
21|CVE-2005-0449|https://usn.ubuntu.com/82-1/|
22|CVE-2005-0664|https://usn.ubuntu.com/91-1/|
23|CVE-2005-0710,CVE-2005-0711,CVE-2005-0709|https://usn.ubuntu.com/96-1/|
24|CVE-2005-0769|https://usn.ubuntu.com/98-1/|
25|CVE-2005-2549,CVE-2005-2550,CVE-2005-0806|https://usn.ubuntu.com/166-1/|
26|CVE-2005-0866|https://usn.ubuntu.com/100-1/|
27|CVE-2005-0990|https://usn.ubuntu.com/104-1/|
