|cve-ids|ex_url|types
0|CVE-2019-13672|https://crbug.com/965067|Vendor Advisory,Permissions Required
1|CVE-2019-5841|https://crbug.com/969588|Vendor Advisory,Permissions Required
2|CVE-2019-5843|https://crbug.com/939316|Vendor Advisory,Permissions Required
3|CVE-2019-13725|https://crbug.com/1025067|Vendor Advisory,Permissions Required
4|CVE-2019-13726|https://crbug.com/1027152|Vendor Advisory,Permissions Required
5|CVE-2019-13727|https://crbug.com/944619|Vendor Advisory,Permissions Required
6|CVE-2019-13728|https://crbug.com/1024758|Vendor Advisory,Permissions Required
7|CVE-2019-13729|https://crbug.com/1025489|Vendor Advisory,Permissions Required
8|CVE-2019-13730|https://crbug.com/1028862|Permissions Required
9|CVE-2019-13732|https://crbug.com/1023817|Vendor Advisory,Permissions Required
10|CVE-2019-13734|https://crbug.com/1025466|Vendor Advisory,Permissions Required
11|CVE-2019-13735|https://crbug.com/1025468|Vendor Advisory,Permissions Required
12|CVE-2019-13736|https://crbug.com/1020899|Vendor Advisory,Permissions Required
13|CVE-2019-13737|https://crbug.com/1013882|Vendor Advisory,Permissions Required
14|CVE-2019-13738|https://crbug.com/1017441|Vendor Advisory,Permissions Required
15|CVE-2019-13739|https://crbug.com/824715|Patch,Vendor Advisory
16|CVE-2019-13740|https://crbug.com/1005596|Vendor Advisory,Permissions Required
17|CVE-2019-13741|https://crbug.com/1011950|Vendor Advisory,Permissions Required
18|CVE-2019-13742|https://crbug.com/1017564|Vendor Advisory,Permissions Required
19|CVE-2019-13743|https://crbug.com/754304|Vendor Advisory,Permissions Required
20|CVE-2019-13744|https://crbug.com/853670|Vendor Advisory,Permissions Required
21|CVE-2019-13745|https://crbug.com/990867|Vendor Advisory,Permissions Required
22|CVE-2019-13746|https://crbug.com/999932|Vendor Advisory,Permissions Required
23|CVE-2019-13747|https://crbug.com/1018528|Vendor Advisory,Permissions Required
24|CVE-2019-13748|https://crbug.com/993706|Patch,Vendor Advisory
25|CVE-2019-13749|https://crbug.com/1010765|Permissions Required
26|CVE-2019-13750|https://crbug.com/1025464|Permissions Required
27|CVE-2019-13751|https://crbug.com/1025465|Permissions Required
28|CVE-2019-13752|https://crbug.com/1025470|Permissions Required
29|CVE-2019-13753|https://crbug.com/1025471|Permissions Required
30|CVE-2019-13754|https://crbug.com/442579|Permissions Required
31|CVE-2019-13755|https://crbug.com/696208|Permissions Required
32|CVE-2019-13756|https://crbug.com/708595|Permissions Required
33|CVE-2019-13757|https://crbug.com/884693|Permissions Required
34|CVE-2019-13758|https://crbug.com/979441|Permissions Required
35|CVE-2019-13759|https://crbug.com/901789|Exploit,Vendor Advisory,Issue Tracking
36|CVE-2019-13761|https://crbug.com/1002687|Permissions Required
37|CVE-2019-13762|https://crbug.com/1004212|Permissions Required
38|CVE-2019-13763|https://crbug.com/1011600|Permissions Required
39|CVE-2019-13764|https://crbug.com/1028863|Permissions Required
40|CVE-2017-15386|https://crbug.com/752003|Exploit,Issue Tracking,Third Party Advisory
41|CVE-2017-15387|https://crbug.com/756040|Permissions Required
42|CVE-2017-15388|https://crbug.com/756563|Exploit,Issue Tracking,Third Party Advisory
43|CVE-2017-15389|https://crbug.com/739621|Issue Tracking,Third Party Advisory
44|CVE-2017-15390|https://crbug.com/750239|Issue Tracking,Third Party Advisory
45|CVE-2017-15391|https://crbug.com/598265|Issue Tracking,Third Party Advisory
46|CVE-2017-15392|https://crbug.com/714401|Issue Tracking,Third Party Advisory
47|CVE-2017-15393|https://crbug.com/732751|Issue Tracking,Third Party Advisory
48|CVE-2017-15394|https://crbug.com/745580|Issue Tracking,Third Party Advisory
49|CVE-2017-15395|https://crbug.com/759457|Issue Tracking,Third Party Advisory
50|CVE-2017-15397|https://crbug.com/627300|Vendor Advisory
51|CVE-2017-15400|https://crbug.com/777215|Patch,Vendor Advisory
52|CVE-2017-5124|https://crbug.com/762930|Permissions Required
53|CVE-2017-5125|https://crbug.com/749147|Exploit,Issue Tracking,Third Party Advisory
54|CVE-2017-5126|https://crbug.com/760455|Issue Tracking,Third Party Advisory
55|CVE-2017-5127|https://crbug.com/765384|Exploit,Issue Tracking,Third Party Advisory
56|CVE-2017-5128|https://crbug.com/765469|Issue Tracking,Third Party Advisory
57|CVE-2017-5129|https://crbug.com/765495|Issue Tracking,Third Party Advisory
58|CVE-2017-5130|https://crbug.com/722079|Third Party Advisory
59|CVE-2017-5131|https://crbug.com/744109|Issue Tracking,Third Party Advisory
60|CVE-2017-5132|https://crbug.com/718858|Exploit,Issue Tracking,Third Party Advisory
61|CVE-2017-5133|https://crbug.com/762106|Third Party Advisory
62|CVE-2014-3171|https://crbug.com/390928|
63|CVE-2014-3172|https://crbug.com/367567|
64|CVE-2014-3173|https://crbug.com/376951|
65|CVE-2014-3174|https://crbug.com/389219|
66|CVE-2014-3175|https://crbug.com/406143|
67|CVE-2014-3177,CVE-2014-3176|https://crbug.com/386988|
68|CVE-2014-3168|https://crbug.com/369860|
69|CVE-2014-3169|https://crbug.com/387389|
70|CVE-2014-3170|https://crbug.com/390624|
71|CVE-2014-3178|https://crbug.com/401362|
72|CVE-2014-3179|https://crbug.com/411014|
73|CVE-2014-3188|https://crbug.com/416449|
74|CVE-2014-3189|https://crbug.com/398384|
75|CVE-2014-3190|https://crbug.com/400476|Exploit
76|CVE-2014-3191|https://crbug.com/402407|Exploit
77|CVE-2014-3192|https://crbug.com/403276|Issue Tracking,Third Party Advisory
78|CVE-2014-3193|https://crbug.com/399655|
79|CVE-2014-3194|https://crbug.com/401115|Patch
80|CVE-2014-3195|https://crbug.com/403409|Patch
81|CVE-2014-3196|https://crbug.com/338538|
82|CVE-2014-3197|https://crbug.com/396544|
83|CVE-2014-3198|https://crbug.com/415307|
84|CVE-2014-3199|https://crbug.com/395411|
85|CVE-2014-3201|https://crbug.com/406593|
86|CVE-2011-1793|http://crbug.com/67923|Vendor Advisory
87|CVE-2011-1794|http://crbug.com/78327|Vendor Advisory
88|CVE-2011-1795|http://crbug.com/78948|Vendor Advisory
89|CVE-2011-1796|http://crbug.com/79055|Vendor Advisory
90|CVE-2011-1798|http://crbug.com/79595|Vendor Advisory
91|CVE-2019-5754|https://crbug.com/914497|Exploit,Vendor Advisory,Issue Tracking
92|CVE-2019-5755|https://crbug.com/913296|Exploit,Vendor Advisory,Patch,Issue Tracking
93|CVE-2019-5756|https://crbug.com/895152|Exploit,Vendor Advisory,Issue Tracking
94|CVE-2019-5757|https://crbug.com/915469|Exploit,Vendor Advisory,Issue Tracking
95|CVE-2019-5758|https://crbug.com/913970|Exploit,Vendor Advisory,Issue Tracking
96|CVE-2019-5759|https://crbug.com/912211|Vendor Advisory,Issue Tracking
97|CVE-2019-5760|https://crbug.com/912074|Permissions Required,Vendor Advisory,Issue Tracking
98|CVE-2019-5761|https://crbug.com/904714|Exploit,Vendor Advisory,Issue Tracking
99|CVE-2019-5762|https://crbug.com/900552|Exploit,Vendor Advisory,Issue Tracking
100|CVE-2019-5763|https://crbug.com/914731|Vendor Advisory,Issue Tracking
101|CVE-2019-5764|https://crbug.com/913246|Vendor Advisory,Issue Tracking
102|CVE-2019-5765|https://crbug.com/922627|Permissions Required,Vendor Advisory,Issue Tracking
103|CVE-2019-5766|https://crbug.com/907047|Exploit,Vendor Advisory,Issue Tracking
104|CVE-2019-5767|https://crbug.com/902427|Exploit,Vendor Advisory,Patch,Issue Tracking
105|CVE-2019-5768|https://crbug.com/805557|Exploit,Vendor Advisory,Issue Tracking
106|CVE-2019-5769|https://crbug.com/913975|Exploit,Vendor Advisory,Issue Tracking
107|CVE-2019-5770|https://crbug.com/908749|Exploit,Vendor Advisory,Issue Tracking
108|CVE-2019-5771|https://crbug.com/904265|Exploit,Vendor Advisory,Issue Tracking
109|CVE-2019-5772|https://crbug.com/908292|Exploit,Vendor Advisory,Patch,Issue Tracking
110|CVE-2019-5773|https://crbug.com/917668|Exploit,Vendor Advisory,Issue Tracking
111|CVE-2019-5774|https://crbug.com/904182|Exploit,Vendor Advisory,Patch,Issue Tracking
112|CVE-2019-5775|https://crbug.com/896722|Exploit,Vendor Advisory,Patch,Issue Tracking
113|CVE-2019-5776|https://crbug.com/863663|Exploit,Vendor Advisory,Issue Tracking
114|CVE-2019-5777|https://crbug.com/849421|Exploit,Vendor Advisory,Issue Tracking
115|CVE-2019-5778|https://crbug.com/918470|Permissions Required,Vendor Advisory,Issue Tracking
116|CVE-2019-5779|https://crbug.com/904219|Exploit,Vendor Advisory,Patch,Issue Tracking
117|CVE-2019-5780|https://crbug.com/891697|Exploit,Vendor Advisory,Issue Tracking
118|CVE-2019-5781|https://crbug.com/896725|Exploit,Vendor Advisory,Patch,Issue Tracking
119|CVE-2019-5782|https://crbug.com/906043|Permissions Required,Vendor Advisory,Issue Tracking
120|CVE-2019-5783|https://crbug.com/895081|Exploit,Vendor Advisory,Issue Tracking
121|CVE-2019-5787|https://crbug.com/913964|Permissions Required
122|CVE-2019-5788|https://crbug.com/925864|Exploit,Third Party Advisory
123|CVE-2019-5789|https://crbug.com/921581|Exploit,Third Party Advisory
124|CVE-2019-5790|https://crbug.com/914736|Exploit,Third Party Advisory
125|CVE-2019-5791|https://crbug.com/926651|Exploit,Third Party Advisory
126|CVE-2019-5792|https://crbug.com/914983|Exploit,Third Party Advisory
127|CVE-2019-5793|https://crbug.com/937487|Permissions Required
128|CVE-2019-5794|https://crbug.com/935175|Exploit,Third Party Advisory
129|CVE-2019-5795|https://crbug.com/919643|Exploit,Third Party Advisory
130|CVE-2019-5796|https://crbug.com/918861|Exploit,Third Party Advisory
131|CVE-2019-5798|https://crbug.com/883596|Exploit,Third Party Advisory
132|CVE-2019-5799|https://crbug.com/905301|Vendor Advisory,Issue Tracking
133|CVE-2019-5800|https://crbug.com/894228|Exploit,Vendor Advisory,Issue Tracking
134|CVE-2019-5801|https://crbug.com/921390|Exploit,Vendor Advisory,Issue Tracking
135|CVE-2019-5802|https://crbug.com/632514|Permissions Required,Vendor Advisory,Issue Tracking
136|CVE-2019-5803|https://crbug.com/909865|Exploit,Vendor Advisory,Issue Tracking
137|CVE-2019-5804|https://crbug.com/933004|Permissions Required,Vendor Advisory,Issue Tracking
138|CVE-2016-1660|https://crbug.com/574802|
139|CVE-2016-1661|https://crbug.com/601629|
140|CVE-2016-1662|https://crbug.com/603732|
141|CVE-2016-1663|https://crbug.com/603987|
142|CVE-2016-1664|https://crbug.com/597322|
143|CVE-2016-1665|https://crbug.com/606181|
144|CVE-2016-1666|https://crbug.com/607652|
145|CVE-2016-1667|https://crbug.com/605766|Permissions Required
146|CVE-2016-1668|https://crbug.com/605910|Permissions Required
147|CVE-2016-1669|https://crbug.com/606115|
148|CVE-2016-1670|https://crbug.com/578882|Permissions Required
149|CVE-2016-1671|https://crbug.com/586657|
150|CVE-2016-1672|https://crbug.com/590118|Permissions Required
151|CVE-2016-1673|https://crbug.com/597532|Permissions Required
152|CVE-2016-1674|https://crbug.com/598165|Permissions Required
153|CVE-2016-1675|https://crbug.com/600182|Permissions Required
154|CVE-2016-1676|https://crbug.com/604901|Permissions Required
155|CVE-2016-1677|https://crbug.com/602970|Permissions Required
156|CVE-2016-1678|https://crbug.com/595259|Permissions Required
157|CVE-2016-1679|https://crbug.com/606390|Permissions Required
158|CVE-2016-1680|https://crbug.com/589848|Permissions Required
159|CVE-2016-1681|https://crbug.com/613160|Permissions Required
160|CVE-2016-1682|https://crbug.com/579801|Permissions Required
161|CVE-2016-1683|https://crbug.com/583156|Permissions Required
162|CVE-2016-1684|https://crbug.com/583171|
163|CVE-2016-1685|https://crbug.com/601362|Permissions Required
164|CVE-2016-1686|https://crbug.com/603518|Permissions Required
165|CVE-2016-1687|https://crbug.com/603748|Permissions Required
