|cve-ids|ex_url|types
0|CVE-2006-3318,CVE-2006-3317|http://www.vupen.com/english/advisories/2006/2593|Vendor Advisory
1|CVE-2006-3319|http://www.vupen.com/english/advisories/2006/2597|
2|CVE-2006-3320|http://www.vupen.com/english/advisories/2006/2568|
3|CVE-2006-3322|http://www.vupen.com/english/advisories/2006/2592|
4|CVE-2006-3323|http://www.vupen.com/english/advisories/2006/2567|
5|CVE-2006-3325,CVE-2006-3324|http://www.vupen.com/english/advisories/2006/2569|
6|CVE-2006-3326|http://www.vupen.com/english/advisories/2006/2599|
7|CVE-2006-3327|http://www.vupen.com/english/advisories/2006/2534|
8|CVE-2006-3328|http://www.vupen.com/english/advisories/2006/2570|
9|CVE-2006-3330|http://www.vupen.com/english/advisories/2006/2589|
10|CVE-2006-3331|http://www.vupen.com/english/advisories/2006/2571|
11|CVE-2006-3334|http://www.vupen.com/english/advisories/2006/2585|
12|CVE-2007-6336,CVE-2005-3352,CVE-2007-3847,CVE-2007-6203,CVE-2008-0993,CVE-2008-0047,CVE-2007-4560,CVE-2007-6388,CVE-2006-3334,CVE-2007-4510,CVE-2008-0996,CVE-2007-5269,CVE-2008-0998,CVE-2008-1000,CVE-2007-6421,CVE-2007-1745,CVE-2007-3378,CVE-2008-0995,CVE-2007-6335,CVE-2008-0046,CVE-2008-0058,CVE-2007-0897,CVE-2008-0055,CVE-2007-1662,CVE-2007-4768,CVE-2008-0056,CVE-2007-5267,CVE-2007-5901,CVE-2008-0060,CVE-2007-4767,CVE-2007-1661,CVE-2007-1659,CVE-2008-0596,CVE-2008-0988,CVE-2007-1997,CVE-2008-0059,CVE-2008-0048,CVE-2008-0990,CVE-2007-3725,CVE-2007-6109,CVE-2007-2445,CVE-2007-5268,CVE-2007-5266,CVE-2008-0049,CVE-2005-4077,CVE-2008-0987,CVE-2008-0989,CVE-2008-0997,CVE-2007-2799,CVE-2007-0898,CVE-2007-4752,CVE-2008-0044,CVE-2006-5793,CVE-2008-0882,CVE-2007-5000,CVE-2008-0006,CVE-2008-0318,CVE-2008-0054,CVE-2008-0062,CVE-2008-0053,CVE-2006-3747,CVE-2008-0994,CVE-2008-0005,CVE-2008-0999,CVE-2007-4887,CVE-2006-6481,CVE-2008-0057,CVE-2007-3799,CVE-2008-0063,CVE-2007-6429,CVE-2007-4568,CVE-2007-1660,CVE-2007-4766,CVE-2008-0992,CVE-2007-5958,CVE-2007-4990,CVE-2007-5971,CVE-2008-0728,CVE-2007-6427,CVE-2008-0052,CVE-2008-0045,CVE-2008-0050,CVE-2007-6428,CVE-2007-5795,CVE-2008-0051,CVE-2007-6337|http://www.vupen.com/english/advisories/2008/0924/references|Vendor Advisory,Permissions Required,Third Party Advisory
13|CVE-2006-1540,CVE-2006-2389,CVE-2006-1316|http://www.vupen.com/english/advisories/2006/2756|Vendor Advisory
14|CVE-2006-0033,CVE-2006-0007|http://www.vupen.com/english/advisories/2006/2757|Vendor Advisory
15|CVE-2006-0026|http://www.vupen.com/english/advisories/2006/2752|
16|CVE-2006-0817,CVE-2006-0818|http://www.vupen.com/english/advisories/2006/2825|
17|CVE-2006-0817|http://www.vupen.com/english/advisories/2006/2826|
18|CVE-2006-1176|http://www.vupen.com/english/advisories/2006/2698|
19|CVE-2006-1178|http://www.vupen.com/english/advisories/2006/3080|
20|CVE-2006-1300|http://www.vupen.com/english/advisories/2006/2751|
21|CVE-2006-3059,CVE-2006-1308,CVE-2006-1306,CVE-2006-2388,CVE-2006-1309,CVE-2006-1302,CVE-2006-1304,CVE-2006-1301|http://www.vupen.com/english/advisories/2006/2755|Vendor Advisory
22|CVE-2006-1315,CVE-2006-1314|http://www.vupen.com/english/advisories/2006/2753|
23|CVE-2006-2372|http://www.vupen.com/english/advisories/2006/2754|
24|CVE-2006-2450|http://www.vupen.com/english/advisories/2006/2797|
25|CVE-2006-2451|http://www.vupen.com/english/advisories/2006/2699|Vendor Advisory
26|CVE-2006-2481,CVE-2005-3618,CVE-2005-3620|http://www.vupen.com/english/advisories/2006/3075|Vendor Advisory,Permissions Required,Third Party Advisory
27|CVE-2006-2910|http://www.vupen.com/english/advisories/2006/2667|
28|CVE-2006-2917|http://www.vupen.com/english/advisories/2006/2730|
29|CVE-2006-2935|http://www.vupen.com/english/advisories/2006/2680|Broken Link
30|CVE-2006-2936|http://www.vupen.com/english/advisories/2006/2841|Vendor Advisory
31|CVE-2006-3804,CVE-2006-3810,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-3808,CVE-2006-3677,CVE-2006-3113,CVE-2006-3801,CVE-2006-3811,CVE-2006-3809,CVE-2006-3803,CVE-2006-3802|http://www.vupen.com/english/advisories/2006/2998|Vendor Advisory
32|CVE-2006-1942,CVE-2006-5462,CVE-2006-4568,CVE-2006-5463,CVE-2006-1993,CVE-2006-2783,CVE-2006-3113,CVE-2006-3801,CVE-2006-4571,CVE-2006-2784,CVE-2006-2779,CVE-2006-1723,CVE-2006-4253,CVE-2006-1729,CVE-2006-3808,CVE-2006-4565,CVE-2006-0748,CVE-2006-1728,CVE-2006-2776,CVE-2006-2785,CVE-2006-2787,CVE-2006-1730,CVE-2006-4340,CVE-2006-3810,CVE-2006-5464,CVE-2006-3805,CVE-2006-4339,CVE-2006-5748,CVE-2006-1727,CVE-2006-2777,CVE-2006-2778,CVE-2006-2780,CVE-2006-1529,CVE-2006-3809,CVE-2006-3803,CVE-2006-1530,CVE-2006-1726,CVE-2006-2775,CVE-2006-3806,CVE-2006-3807,CVE-2006-1725,CVE-2006-2782,CVE-2006-3677,CVE-2006-4569,CVE-2006-2786,CVE-2006-3811,CVE-2006-1724,CVE-2006-1531,CVE-2006-4566,CVE-2006-5747,CVE-2006-3802,CVE-2006-4567,CVE-2006-3812|http://www.vupen.com/english/advisories/2006/3748|Vendor Advisory,Permissions Required,Third Party Advisory
33|CVE-2006-0295,CVE-2006-0296,CVE-2006-1045,CVE-2006-0298,CVE-2006-2783,CVE-2006-3113,CVE-2006-3801,CVE-2006-0297,CVE-2006-0294,CVE-2006-1723,CVE-2006-2779,CVE-2006-3804,CVE-2006-0299,CVE-2006-3808,CVE-2006-0748,CVE-2006-1728,CVE-2006-2776,CVE-2006-2787,CVE-2006-1730,CVE-2006-3810,CVE-2006-1727,CVE-2006-3805,CVE-2006-2780,CVE-2006-2778,CVE-2006-2781,CVE-2006-1529,CVE-2006-3809,CVE-2006-3803,CVE-2006-0884,CVE-2006-1530,CVE-2006-1726,CVE-2006-2775,CVE-2006-3806,CVE-2006-3807,CVE-2006-0292,CVE-2006-2786,CVE-2006-3811,CVE-2006-1724,CVE-2006-1531,CVE-2006-0293,CVE-2006-3802|http://www.vupen.com/english/advisories/2006/3749|Vendor Advisory,Permissions Required,Third Party Advisory
