|cve-ids|ex_url|types
0|CVE-2006-2450|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=376824|Patch
1|CVE-2006-3404|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=377049|
2|CVE-2006-3469|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=375694|
3|CVE-2006-3746|http://bugs.debian.org/cgi-bin/bugreport.cgi/gnupg.CVE-2006-3746.diff?bug=381204;msg=15;att=1|
4|CVE-2006-3122|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=380273|
5|CVE-2006-3123|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=371076|
6|CVE-2006-4030,CVE-2005-2734,CVE-2006-0330|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=325285|
7|CVE-2006-3126|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=382474|Patch
8|CVE-2006-4758|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=388120|
9|CVE-2006-5063|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=389361|
10|CVE-2006-4248|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=396277|
11|CVE-2006-4980|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=391589|
12|CVE-2006-5778,CVE-2006-6008|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=384454|Patch
13|CVE-2006-5791,CVE-2006-5790|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=392016|
14|CVE-2006-5869|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=356988|
15|CVE-2006-6318|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=397875|Patch
16|CVE-2006-6329,CVE-2006-6330,CVE-2006-6600,CVE-2006-6328,CVE-2006-6331|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=%23400582|Exploit
17|CVE-2006-6331|http://bugs.debian.org/cgi-bin/bugreport.cgi/11_missed_security_fixes.dpatch?bug=400582;msg=71;att=1|Patch
18|CVE-2006-6614|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=402644|Exploit
19|CVE-2006-6681,CVE-2006-6684,CVE-2006-6683,CVE-2006-6679,CVE-2006-6682|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=394454|Patch,Vendor Advisory,Third Party Advisory
20|CVE-2006-6692,CVE-2006-6693|http://bugs.debian.org/cgi-bin/bugreport.cgi/zabbix.security.patch?bug=391388;msg=5;att=1|Exploit
21|CVE-2006-6692,CVE-2006-6693|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=391388|Exploit
22|CVE-2006-6841,CVE-2006-6839,CVE-2006-6840|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=405980|
23|CVE-2004-0770|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=263282&archive=yes|
24|CVE-2004-0987|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=278384|
25|CVE-2004-1170|http://bugs.debian.org/283134|
26|CVE-2004-1177|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=287555|Patch
27|CVE-2005-0117|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=289784|Vendor Advisory
28|CVE-2005-0362,CVE-2005-0363|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=294488|Vendor Advisory
29|CVE-2005-0625,CVE-2005-0624|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=295407|Vendor Advisory
30|CVE-2004-1488,CVE-2004-1487|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=261755|Exploit,Vendor Advisory
31|CVE-2005-0080|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=285839|
32|CVE-2005-0337|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=267837|Vendor Advisory
33|CVE-2005-0866|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=291376|
34|CVE-2005-0870|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=301118|
35|CVE-2005-0990|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=302412|Vendor Advisory
36|CVE-2005-1228|http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=305255|Patch
37|CVE-2018-5730,CVE-2018-5729|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=891869|Third Party Advisory
38|CVE-2018-7738|https://bugs.debian.org/892179|Patch,Third Party Advisory
39|CVE-2018-7753|https://bugs.debian.org/892252|Third Party Advisory
40|CVE-2018-7867,CVE-2018-7868,CVE-2018-7873,CVE-2018-7874,CVE-2018-7877,CVE-2018-7870,CVE-2018-7869,CVE-2018-7872,CVE-2018-7875,CVE-2018-7876,CVE-2018-7866,CVE-2018-7871|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=892260|Mailing List,Issue Tracking,Third Party Advisory
41|CVE-2018-9240|https://bugs.debian.org/894724|Third Party Advisory
42|CVE-2018-1000156|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=894667#19|Issue Tracking,Third Party Advisory
43|CVE-2017-0359|https://bugs.debian.org/854723|Exploit,Patch,Third Party Advisory
44|CVE-2017-0372|https://bugs.debian.org/861585|Third Party Advisory
45|CVE-2017-18265|https://bugs.debian.org/875829|Mailing List,Issue Tracking
46|CVE-2018-10992|https://bugs.debian.org/898373|Issue Tracking,Third Party Advisory
47|CVE-2018-11319|https://bugs.debian.org/894736|Exploit,Issue Tracking,Third Party Advisory
48|CVE-2015-0841|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=781043|Issue Tracking,Third Party Advisory
49|CVE-2019-19905|https://bugs.debian.org/947005|Patch,Issue Tracking,Third Party Advisory
50|CVE-2019-19920|https://bugs.debian.org/946829#24|Patch,Mailing List,Third Party Advisory
51|CVE-2019-3467|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=946797|Exploit,Patch,Mailing List,Third Party Advisory
52|CVE-2019-3467|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=947459|Mailing List,Third Party Advisory
53|CVE-2012-5645|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=696306|Issue Tracking,Third Party Advisory
54|CVE-2014-1858,CVE-2014-1859|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=737778|Patch,Mailing List,Issue Tracking,Third Party Advisory
55|CVE-2014-6027|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=759574|Exploit,Issue Tracking,Third Party Advisory
56|CVE-2014-9485|https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=774321|Mailing List,Third Party Advisory
