|cve-ids|ex_url|types
0|CVE-2006-3113|http://www.mozilla.org/security/announce/2006/mfsa2006-46.html|Vendor Advisory
1|CVE-2006-3677|http://www.mozilla.org/security/announce/2006/mfsa2006-45.html|Vendor Advisory
2|CVE-2006-3801|http://www.mozilla.org/security/announce/2006/mfsa2006-44.html|
3|CVE-2006-3802|http://www.mozilla.org/security/announce/2006/mfsa2006-47.html|Vendor Advisory
4|CVE-2006-3803|http://www.mozilla.org/security/announce/2006/mfsa2006-48.html|
5|CVE-2006-3804|http://www.mozilla.org/security/announce/2006/mfsa2006-49.html|Vendor Advisory
6|CVE-2006-3805,CVE-2006-3806|http://www.mozilla.org/security/announce/2006/mfsa2006-50.html|Vendor Advisory
7|CVE-2006-3807|http://www.mozilla.org/security/announce/2006/mfsa2006-51.html|Vendor Advisory
8|CVE-2006-3808|http://www.mozilla.org/security/announce/2006/mfsa2006-52.html|Vendor Advisory
9|CVE-2006-3809|http://www.mozilla.org/security/announce/2006/mfsa2006-53.html|Vendor Advisory
10|CVE-2006-3810|http://www.mozilla.org/security/announce/2006/mfsa2006-54.html|Vendor Advisory
11|CVE-2006-3811|http://www.mozilla.org/security/announce/2006/mfsa2006-55.html|Vendor Advisory
12|CVE-2006-3812|http://www.mozilla.org/security/announce/2006/mfsa2006-56.html|
13|CVE-2006-4253|http://www.mozilla.org/security/announce/2006/mfsa2006-59.html|
14|CVE-2006-4340,CVE-2006-5462|http://www.mozilla.org/security/announce/2006/mfsa2006-60.html|Patch
15|CVE-2006-4340,CVE-2006-5462|http://www.mozilla.org/security/announce/2006/mfsa2006-66.html|Patch
16|CVE-2006-4565,CVE-2006-4566|http://www.mozilla.org/security/announce/2006/mfsa2006-57.html|Vendor Advisory
17|CVE-2006-4567|http://www.mozilla.org/security/announce/2006/mfsa2006-58.html|Exploit
18|CVE-2006-4568|http://www.mozilla.org/security/announce/2006/mfsa2006-61.html|Vendor Advisory
19|CVE-2006-4569|http://www.mozilla.org/security/announce/2006/mfsa2006-62.html|Vendor Advisory
20|CVE-2006-4570|http://www.mozilla.org/security/announce/2006/mfsa2006-63.html|Vendor Advisory
21|CVE-2006-4571|http://www.mozilla.org/security/announce/2006/mfsa2006-64.html|Vendor Advisory
22|CVE-2006-5463|http://www.mozilla.org/security/announce/2006/mfsa2006-67.html|Patch
23|CVE-2006-5747,CVE-2006-5748,CVE-2006-5464|http://www.mozilla.org/security/announce/2006/mfsa2006-65.html|Patch,Vendor Advisory
24|CVE-2007-0045,CVE-2007-0996,CVE-2007-0995,CVE-2006-6077|http://www.mozilla.org/security/announce/2007/mfsa2007-02.html|Patch,Vendor Advisory
25|CVE-2006-6499,CVE-2006-6498,CVE-2006-6497|http://www.mozilla.org/security/announce/2006/mfsa2006-68.html|Vendor Advisory
26|CVE-2006-6500|http://www.mozilla.org/security/announce/2006/mfsa2006-69.html|Vendor Advisory
27|CVE-2006-6501|http://www.mozilla.org/security/announce/2006/mfsa2006-70.html|Vendor Advisory
28|CVE-2006-6502|http://www.mozilla.org/security/announce/2006/mfsa2006-71.html|Vendor Advisory
29|CVE-2006-6503|http://www.mozilla.org/security/announce/2006/mfsa2006-72.html|Vendor Advisory
30|CVE-2006-6504|http://www.mozilla.org/security/announce/2006/mfsa2006-73.html|Vendor Advisory
31|CVE-2006-6505|http://www.mozilla.org/security/announce/2006/mfsa2006-74.html|
32|CVE-2006-6506|http://www.mozilla.org/security/announce/2006/mfsa2006-75.html|
33|CVE-2006-6507|http://www.mozilla.org/security/announce/2006/mfsa2006-76.html|
34|CVE-2004-0903,CVE-2004-0902,CVE-2004-0908,CVE-2004-0904,CVE-2004-0909,CVE-2004-0905,CVE-2004-0907,CVE-2004-0906|http://www.mozilla.org/projects/security/known-vulnerabilities.html#mozilla1.7.3|Vendor Advisory
35|CVE-2005-0145|http://www.mozilla.org/security/announce/mfsa2005-07.html|Patch,Vendor Advisory
36|CVE-2005-0149|http://www.mozilla.org/security/announce/mfsa2005-11.html|Patch,Vendor Advisory
37|CVE-2005-0231|http://www.mozilla.org/security/announce/mfsa2005-26.html|Exploit,Vendor Advisory,Patch
38|CVE-2005-0233|http://www.mozilla.org/security/announce/mfsa2005-29.html|Exploit,Vendor Advisory,Patch
39|CVE-2005-0143|http://www.mozilla.org/security/announce/mfsa2005-03.html|Patch,Vendor Advisory
40|CVE-2005-0585|http://www.mozilla.org/security/announce/mfsa2005-23.html|Patch,Vendor Advisory
41|CVE-2005-0587|http://www.mozilla.org/security/announce/mfsa2005-21.html|Vendor Advisory
42|CVE-2005-0592|http://www.mozilla.org/security/announce/mfsa2005-15.html|Vendor Advisory
43|CVE-2005-0593|http://www.mozilla.org/security/announce/mfsa2005-14.html|
44|CVE-2005-0752|http://www.mozilla.org/security/announce/mfsa2005-34.html|
45|CVE-2005-0141|http://www.mozilla.org/security/announce/mfsa2005-01.html|Vendor Advisory
46|CVE-2005-0142|http://www.mozilla.org/security/announce/mfsa2005-02.html|Vendor Advisory
47|CVE-2005-0144|http://www.mozilla.org/security/announce/mfsa2005-04.html|Vendor Advisory
48|CVE-2005-0146|http://www.mozilla.org/security/announce/mfsa2005-08.html|Vendor Advisory
49|CVE-2005-0147|http://www.mozilla.org/security/announce/mfsa2005-09.html|Vendor Advisory
50|CVE-2005-0148|http://www.mozilla.org/security/announce/mfsa2005-10.html|Vendor Advisory
51|CVE-2005-0150|http://www.mozilla.org/security/announce/mfsa2005-12.html|Patch,Vendor Advisory
52|CVE-2005-0230|http://www.mozilla.org/security/announce/mfsa2005-25.html|Patch
53|CVE-2005-0527,CVE-2005-0232|http://www.mozilla.org/security/announce/mfsa2005-27.html|Vendor Advisory
54|CVE-2005-0255|http://www.mozilla.org/security/announce/mfsa2005-18.html|Vendor Advisory
55|CVE-2005-0399|http://www.mozilla.org/security/announce/mfsa2005-30.html|Vendor Advisory
56|CVE-2005-0401|http://www.mozilla.org/security/announce/mfsa2005-32.html|
57|CVE-2005-0402|http://www.mozilla.org/security/announce/mfsa2005-31.html|Vendor Advisory
58|CVE-2005-0578|http://www.mozilla.org/security/announce/mfsa2005-28.html|Vendor Advisory
59|CVE-2005-0584|http://www.mozilla.org/security/announce/mfsa2005-24.html|
60|CVE-2005-0586|http://www.mozilla.org/security/announce/mfsa2005-22.html|Vendor Advisory
61|CVE-2005-0588|http://www.mozilla.org/security/announce/mfsa2005-20.html|
62|CVE-2005-0589|http://www.mozilla.org/security/announce/mfsa2005-19.html|Vendor Advisory
63|CVE-2005-0590|http://www.mozilla.org/security/announce/mfsa2005-17.html|Vendor Advisory
64|CVE-2005-0591|http://www.mozilla.org/security/announce/mfsa2005-16.html|
65|CVE-2005-0989|http://www.mozilla.org/security/announce/mfsa2005-33.html|Vendor Advisory
66|CVE-2005-1153|http://www.mozilla.org/security/announce/mfsa2005-35.html|Vendor Advisory
67|CVE-2005-1154|http://www.mozilla.org/security/announce/mfsa2005-36.html|Vendor Advisory
68|CVE-2005-1155|http://www.mozilla.org/security/announce/mfsa2005-37.html|Vendor Advisory
69|CVE-2005-1156,CVE-2005-1157|http://www.mozilla.org/security/announce/mfsa2005-38.html|Vendor Advisory
70|CVE-2005-1158|http://www.mozilla.org/security/announce/mfsa2005-39.html|Vendor Advisory
71|CVE-2005-1159|http://www.mozilla.org/security/announce/mfsa2005-40.html|Vendor Advisory
72|CVE-2005-1160|http://www.mozilla.org/security/announce/mfsa2005-41.html|Vendor Advisory
73|CVE-2014-1565|http://www.mozilla.org/security/announce/2014/mfsa2014-70.html|Vendor Advisory
74|CVE-2014-1566|http://www.mozilla.org/security/announce/2014/mfsa2014-71.html|Vendor Advisory
75|CVE-2014-1567|http://www.mozilla.org/security/announce/2014/mfsa2014-72.html|Vendor Advisory
76|CVE-2014-1554,CVE-2014-1553,CVE-2014-1562|http://www.mozilla.org/security/announce/2014/mfsa2014-67.html|Vendor Advisory
77|CVE-2014-1563|http://www.mozilla.org/security/announce/2014/mfsa2014-68.html|Vendor Advisory
78|CVE-2014-1564|http://www.mozilla.org/security/announce/2014/mfsa2014-69.html|Vendor Advisory
79|CVE-2014-1568|http://www.mozilla.org/security/announce/2014/mfsa2014-73.html|Vendor Advisory
80|CVE-2014-1575,CVE-2014-1574|http://www.mozilla.org/security/announce/2014/mfsa2014-74.html|Vendor Advisory
81|CVE-2014-1576|http://www.mozilla.org/security/announce/2014/mfsa2014-75.html|Vendor Advisory
82|CVE-2014-1577|http://www.mozilla.org/security/announce/2014/mfsa2014-76.html|Vendor Advisory
83|CVE-2014-1578|http://www.mozilla.org/security/announce/2014/mfsa2014-77.html|Vendor Advisory
84|CVE-2014-1580|http://www.mozilla.org/security/announce/2014/mfsa2014-78.html|Vendor Advisory
85|CVE-2014-1581|http://www.mozilla.org/security/announce/2014/mfsa2014-79.html|Vendor Advisory
86|CVE-2014-1582,CVE-2014-1584|http://www.mozilla.org/security/announce/2014/mfsa2014-80.html|Vendor Advisory
87|CVE-2014-1583|http://www.mozilla.org/security/announce/2014/mfsa2014-82.html|Vendor Advisory
88|CVE-2014-1586,CVE-2014-1585|http://www.mozilla.org/security/announce/2014/mfsa2014-81.html|Vendor Advisory
89|CVE-2014-8632,CVE-2014-8631|http://www.mozilla.org/security/announce/2014/mfsa2014-91.html|Vendor Advisory
90|CVE-2014-1588,CVE-2014-1587|http://www.mozilla.org/security/announce/2014/mfsa2014-83.html|Vendor Advisory
91|CVE-2014-1589|http://www.mozilla.org/security/announce/2014/mfsa2014-84.html|Vendor Advisory
92|CVE-2014-1590|http://www.mozilla.org/security/announce/2014/mfsa2014-85.html|Vendor Advisory
93|CVE-2014-1591|http://www.mozilla.org/security/announce/2014/mfsa2014-86.html|Vendor Advisory
94|CVE-2014-1592|http://www.mozilla.org/security/announce/2014/mfsa2014-87.html|Vendor Advisory
95|CVE-2014-1593|http://www.mozilla.org/security/announce/2014/mfsa2014-88.html|Vendor Advisory
96|CVE-2014-1594|http://www.mozilla.org/security/announce/2014/mfsa2014-89.html|Vendor Advisory
97|CVE-2014-1595|http://www.mozilla.org/security/announce/2014/mfsa2014-90.html|Vendor Advisory
98|CVE-2013-0744|http://www.mozilla.org/security/announce/2013/mfsa2013-05.html|Vendor Advisory
99|CVE-2013-0745|http://www.mozilla.org/security/announce/2013/mfsa2013-08.html|Vendor Advisory
100|CVE-2013-0746|http://www.mozilla.org/security/announce/2013/mfsa2013-09.html|Vendor Advisory
101|CVE-2013-0747|http://www.mozilla.org/security/announce/2013/mfsa2013-10.html|Vendor Advisory
102|CVE-2013-0748|http://www.mozilla.org/security/announce/2013/mfsa2013-11.html|Vendor Advisory
103|CVE-2013-0749,CVE-2013-0769,CVE-2013-0770|http://www.mozilla.org/security/announce/2013/mfsa2013-01.html|Vendor Advisory
104|CVE-2013-0750|http://www.mozilla.org/security/announce/2013/mfsa2013-12.html|Vendor Advisory
105|CVE-2013-0751|http://www.mozilla.org/security/announce/2013/mfsa2013-06.html|Vendor Advisory
106|CVE-2013-0752|http://www.mozilla.org/security/announce/2013/mfsa2013-13.html|Vendor Advisory
107|CVE-2013-0753|http://www.mozilla.org/security/announce/2013/mfsa2013-16.html|Vendor Advisory
108|CVE-2013-0754|http://www.mozilla.org/security/announce/2013/mfsa2013-17.html|Vendor Advisory
109|CVE-2013-0755|http://www.mozilla.org/security/announce/2013/mfsa2013-18.html|Vendor Advisory
110|CVE-2013-0756|http://www.mozilla.org/security/announce/2013/mfsa2013-19.html|Vendor Advisory
111|CVE-2013-0757|http://www.mozilla.org/security/announce/2013/mfsa2013-14.html|Vendor Advisory
112|CVE-2013-0758|http://www.mozilla.org/security/announce/2013/mfsa2013-15.html|Vendor Advisory
113|CVE-2013-0759|http://www.mozilla.org/security/announce/2013/mfsa2013-04.html|Vendor Advisory
114|CVE-2013-0761,CVE-2013-0771,CVE-2013-0763,CVE-2013-0760,CVE-2013-0766,CVE-2012-5829,CVE-2013-0762,CVE-2013-0767|http://www.mozilla.org/security/announce/2013/mfsa2013-02.html|Vendor Advisory
115|CVE-2013-0764|http://www.mozilla.org/security/announce/2013/mfsa2013-07.html|Vendor Advisory
116|CVE-2013-0768|http://www.mozilla.org/security/announce/2013/mfsa2013-03.html|Vendor Advisory
117|CVE-2013-0765|http://www.mozilla.org/security/announce/2013/mfsa2013-23.html|Vendor Advisory,Third Party Advisory
118|CVE-2013-0772|http://www.mozilla.org/security/announce/2013/mfsa2013-22.html|Patch,Vendor Advisory
119|CVE-2013-0773|http://www.mozilla.org/security/announce/2013/mfsa2013-24.html|Vendor Advisory
120|CVE-2013-0774|http://www.mozilla.org/security/announce/2013/mfsa2013-25.html|Vendor Advisory
121|CVE-2013-0775|http://www.mozilla.org/security/announce/2013/mfsa2013-26.html|Vendor Advisory
122|CVE-2013-0776|http://www.mozilla.org/security/announce/2013/mfsa2013-27.html|Vendor Advisory
123|CVE-2013-0778,CVE-2013-0779,CVE-2013-0777,CVE-2013-0781,CVE-2013-0780,CVE-2013-0782|http://www.mozilla.org/security/announce/2013/mfsa2013-28.html|Vendor Advisory
124|CVE-2013-0784,CVE-2013-0783|http://www.mozilla.org/security/announce/2013/mfsa2013-21.html|Vendor Advisory
125|CVE-2009-0773,CVE-2009-0774,CVE-2009-0772,CVE-2009-0771|http://www.mozilla.org/security/announce/2009/mfsa2009-07.html|Vendor Advisory
126|CVE-2009-0775|http://www.mozilla.org/security/announce/2009/mfsa2009-08.html|
127|CVE-2009-0776|http://www.mozilla.org/security/announce/2009/mfsa2009-09.html|Vendor Advisory
128|CVE-2009-0777|http://www.mozilla.org/security/announce/2009/mfsa2009-11.html|Vendor Advisory
129|CVE-2009-1044|http://www.mozilla.org/security/announce/2009/mfsa2009-13.html|Patch,Vendor Advisory
130|CVE-2009-1169|http://www.mozilla.org/security/announce/2009/mfsa2009-12.html|Patch,Vendor Advisory
131|CVE-2009-1305,CVE-2009-1304,CVE-2009-1302,CVE-2009-1303|http://www.mozilla.org/security/announce/2009/mfsa2009-14.html|Vendor Advisory
132|CVE-2009-1306|http://www.mozilla.org/security/announce/2009/mfsa2009-16.html|Vendor Advisory
133|CVE-2009-1307|http://www.mozilla.org/security/announce/2009/mfsa2009-17.html|Vendor Advisory
134|CVE-2009-1308|http://www.mozilla.org/security/announce/2009/mfsa2009-18.html|Vendor Advisory
135|CVE-2009-1309|http://www.mozilla.org/security/announce/2009/mfsa2009-19.html|Vendor Advisory
136|CVE-2009-1310|http://www.mozilla.org/security/announce/2009/mfsa2009-20.html|Vendor Advisory
137|CVE-2009-1311|http://www.mozilla.org/security/announce/2009/mfsa2009-21.html|Vendor Advisory
138|CVE-2009-1312|http://www.mozilla.org/security/announce/2009/mfsa2009-22.html|Vendor Advisory
139|CVE-2009-1313|http://www.mozilla.org/security/announce/2009/mfsa2009-23.html|
140|CVE-2009-2468,CVE-2009-1194|http://www.mozilla.org/security/announce/2009/mfsa2009-36.html|Vendor Advisory
141|CVE-2009-1392,CVE-2009-1832,CVE-2009-1833|http://www.mozilla.org/security/announce/2009/mfsa2009-24.html|Vendor Advisory
142|CVE-2009-1834|http://www.mozilla.org/security/announce/2009/mfsa2009-25.html|Vendor Advisory
143|CVE-2009-1835|http://www.mozilla.org/security/announce/2009/mfsa2009-26.html|Vendor Advisory
144|CVE-2009-1836|http://www.mozilla.org/security/announce/2009/mfsa2009-27.html|Vendor Advisory
145|CVE-2009-1837|http://www.mozilla.org/security/announce/2009/mfsa2009-28.html|Vendor Advisory
146|CVE-2009-1838|http://www.mozilla.org/security/announce/2009/mfsa2009-29.html|Vendor Advisory
147|CVE-2009-1839|http://www.mozilla.org/security/announce/2009/mfsa2009-30.html|Vendor Advisory
148|CVE-2009-1840|http://www.mozilla.org/security/announce/2009/mfsa2009-31.html|Vendor Advisory
149|CVE-2009-1841|http://www.mozilla.org/security/announce/2009/mfsa2009-32.html|Vendor Advisory
150|CVE-2009-2210|http://www.mozilla.org/security/announce/2009/mfsa2009-33.html|Patch,Vendor Advisory
151|CVE-2009-0689|http://www.mozilla.org/security/announce/2009/mfsa2009-59.html|Vendor Advisory
152|CVE-2009-2408|http://www.mozilla.org/security/announce/2009/mfsa2009-42.html|Vendor Advisory
