|cve-ids|ex_url|types
0|CVE-2006-3404|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102720-1|
1|CVE-2006-3404|http://sunsolve.sun.com/search/document.do?assetkey=1-66-200070-1|
2|CVE-2006-1861,CVE-2006-0747,CVE-2006-3467,CVE-2006-2661|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102705-1|Broken Link
3|CVE-2006-3606|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102503-1|Patch
4|CVE-2006-3664|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102462-1|Patch
5|CVE-2006-3728|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102344-1|Patch
6|CVE-2005-3352,CVE-2005-3357,CVE-2006-3747|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102662-1|
7|CVE-2005-3352,CVE-2006-3747|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102663-1|
8|CVE-2006-3781|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102485-1|Vendor Advisory
9|CVE-2006-3782|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102512-1|Patch,Vendor Advisory
10|CVE-2006-3783|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102286-1|
11|CVE-2006-3804,CVE-2006-3806,CVE-2006-3807,CVE-2006-3805,CVE-2006-2777,CVE-2006-2778,CVE-2006-1728|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102763-1|Broken Link
12|CVE-2006-3811|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102971-1|
13|CVE-2006-3825|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102509-1|Patch
14|CVE-2007-1355,CVE-2007-2450,CVE-2002-2006,CVE-2006-3835,CVE-2007-5461,CVE-2003-0866,CVE-2007-0450,CVE-2005-2090,CVE-2007-1358,CVE-2005-3164,CVE-2005-3510|http://sunsolve.sun.com/search/document.do?assetkey=1-26-239312-1|Broken Link
15|CVE-2006-3920|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102206-1|Patch
16|CVE-2006-3921|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102521-1|Patch
17|CVE-2006-3941|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102322-1|Patch
18|CVE-2006-3464,CVE-2006-3459,CVE-2006-3465,CVE-2006-3463,CVE-2006-3460,CVE-2006-2193,CVE-2006-3462,CVE-2006-3461|http://sunsolve.sun.com/search/document.do?assetkey=1-26-103160-1|
19|CVE-2006-3464,CVE-2006-3459,CVE-2006-3465,CVE-2006-3463,CVE-2006-3460,CVE-2006-2193,CVE-2006-3462,CVE-2006-3461|http://sunsolve.sun.com/search/document.do?assetkey=1-66-201331-1|
20|CVE-2006-3968|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102543-1|Patch
21|CVE-2006-4049|http://sunsolve.sun.com/search/document.do?assetkey=1-26-101924-1|
22|CVE-2006-4117|http://sunsolve.sun.com/search/document.do?assetkey=1-26-102554-1|
