|cve-ids|ex_url|types
0|CVE-2006-3656|http://packetstormsecurity.org/0607-exploits/mspp-poc3.txt|
1|CVE-2006-3683|http://packetstormsecurity.org/0606-exploits/flipper.txt|
2|CVE-2006-3822,CVE-2006-3823|http://www.packetstormsecurity.org/0607-exploits/geoauctionsSQL.txt|Exploit
3|CVE-2006-4318|http://packetstormsecurity.org/0608-exploits/wftpd_exp.c|
4|CVE-2006-4533|http://packetstormsecurity.org/0608-exploits/plume-1.0.6.txt|
5|CVE-2006-5113|http://packetstormsecurity.org/0610-exploits/Exporia-0.3.0.txt|
6|CVE-2006-5507|http://packetstormsecurity.org/0610-exploits/Derdirigent.txt|
7|CVE-2005-0116|http://packetstormsecurity.org/0501-exploits/AWStatsVulnAnalysis.pdf|
8|CVE-2012-0941|http://packetstormsecurity.org/files/109168/VL-144.txt|Exploit,VDB Entry,Third Party Advisory
9|CVE-2011-2944|http://packetstormsecurity.org/files/110166/The-Uploader-2.0.4-Eng-Ita-Remote-File-Upload.html|Exploit
10|CVE-2012-1503|http://packetstormsecurity.org/files/117564/Movable-Type-Pro-5.13en-Cross-Site-Scripting.html|Exploit
11|CVE-2012-1417|http://packetstormsecurity.org/files/110320/yealink-xss.txt|Exploit
12|CVE-2012-0984|http://packetstormsecurity.org/files/111958/XOOPS-2.5.4-Cross-Site-Scripting.html|Exploit
13|CVE-2012-4234|http://packetstormsecurity.org/files/116057/Phorum-5.2.18-Cross-Site-Scripting.html|Exploit
14|CVE-2012-4768|http://packetstormsecurity.org/files/116408/wpdownloadmonitor3357-xss.txt|Exploit
15|CVE-2012-6508,CVE-2012-6509,CVE-2012-6510|http://packetstormsecurity.org/files/112226/Car-Portal-CMS-3.0-CSRF-XSS-Shell-Upload.html|Exploit
16|CVE-2012-6511,CVE-2012-6512|http://packetstormsecurity.org/files/112086/WordPress-Organizer-1.2.1-Cross-Site-Scripting-Path-Disclosure.html|VDB Entry,Exploit,Third Party Advisory
17|CVE-2012-6514|http://packetstormsecurity.org/files/112235/Joomla-nBill-Lite-Cross-Site-Scripting.html|Exploit
18|CVE-2012-6507|http://packetstormsecurity.org/files/112106/ChurchCMS-0.0.1-SQL-Injection.html|Exploit
19|CVE-2012-6517,CVE-2012-6519,CVE-2012-6518|http://packetstormsecurity.org/files/112224/DIY-CMS-1.0-Poll-XSS-CSRF-SQL-Injection.html|Exploit
20|CVE-2012-6521|http://packetstormsecurity.org/files/115253/Elefant-CMS-1.2.0-Cross-Site-Scripting.html|Exploit
21|CVE-2012-6526|http://packetstormsecurity.org/files/108756/vastalfreelance-sql.txt|Exploit
22|CVE-2012-6529|http://packetstormsecurity.org/files/view/108474/marinetcmsroomid-sql.txt|Exploit
23|CVE-2008-6515,CVE-2008-6495|http://packetstormsecurity.org/0812-exploits/yappang-xss.txt|Exploit
24|CVE-2008-6500|http://packetstormsecurity.org/0812-exploits/aspshoppingcart-xss.txt|Exploit
25|CVE-2007-5543,CVE-2007-5542|http://packetstormsecurity.org/0710-advisories/mirandaim-overflows.txt|
26|CVE-2009-0969|http://packetstormsecurity.org/0903-exploits/phpfox1621-xsrf.txt|Exploit
27|CVE-2008-6609,CVE-2008-6610|http://packetstormsecurity.org/0812-exploits/phpcksec-xssdisclose.txt|Exploit
28|CVE-2009-1190|http://www.packetstormsecurity.org/hitb06/DAY_1_-_Marc_Schoenefeld_-_Pentesting_Java_J2EE.pdf|Exploit
29|CVE-2008-6779|http://packetstormsecurity.org/0810-exploits/phpnukesarkilar-sql.txt|Exploit
30|CVE-2009-1561|http://packetstormsecurity.org/0904-exploits/linksysadmin-passwd.txt|Exploit
31|CVE-2008-6840|http://packetstormsecurity.org/0807-exploits/vwebmail-rfi.txt|Exploit
32|CVE-2008-6847|http://packetstormsecurity.org/0812-exploits/preaspjob-xsscm.txt|Exploit
33|CVE-2009-2308|http://packetstormsecurity.org/0906-exploits/punbbaffiliations-blindsql.txt|Exploit
34|CVE-2009-2308|http://packetstormsecurity.org/0906-exploits/punbbaffiliationsin-blindsql.txt|Exploit
35|CVE-2009-2362|http://packetstormsecurity.org/0907-exploits/audioplus-overflow.txt|
36|CVE-2009-2363|http://packetstormsecurity.org/0907-exploits/audiopluspls-overflow.txt|
37|CVE-2009-2436|http://packetstormsecurity.org/0907-exploits/myphpdating10-sql.txt|Exploit
