|cve-ids|ex_url|types
0|CVE-2006-3473|http://drupal.org/node/72177|Patch
1|CVE-2006-3570|http://drupal.org/node/72846|Patch
2|CVE-2006-4002|http://drupal.org/node/76748|Patch,Vendor Advisory
3|CVE-2006-4107|http://drupal.org/node/77537|Patch,Vendor Advisory
4|CVE-2006-4108,CVE-2006-4109|http://drupal.org/node/77756|Patch,Vendor Advisory
5|CVE-2006-4120|http://drupal.org/node/77538|Patch,Vendor Advisory
6|CVE-2006-4120|http://drupal.org/node/77753|Patch,Vendor Advisory
7|CVE-2006-4356,CVE-2006-4355|http://drupal.org/node/80087|Patch
8|CVE-2006-4360|http://drupal.org/node/80084|Patch
9|CVE-2006-4646|http://drupal.org/node/82527|Patch
10|CVE-2006-4717|http://drupal.org/node/83064|Patch,Vendor Advisory
11|CVE-2006-4821|http://drupal.org/node/83954|Patch
12|CVE-2006-4947|http://drupal.org/node/85050|Patch,Vendor Advisory
13|CVE-2006-4949|http://drupal.org/node/85048|
14|CVE-2006-5475|http://drupal.org/node/88826|
15|CVE-2006-5477,CVE-2006-5476|http://drupal.org/node/88828|Patch,Vendor Advisory
16|CVE-2006-5608|http://drupal.org/node/91358|Patch
17|CVE-2006-6386|http://drupal.org/node/101540|Patch,Vendor Advisory
18|CVE-2006-6528,CVE-2006-6529|http://drupal.org/node/102614|Patch,Vendor Advisory
19|CVE-2006-6531,CVE-2006-6530|http://drupal.org/node/102605|Patch,Vendor Advisory
20|CVE-2006-6646|http://drupal.org/node/103943|Patch
21|CVE-2006-6647|http://drupal.org/node/103958|Patch
22|CVE-2005-0682|http://drupal.org/drupal-4.5.2|Patch,Vendor Advisory
23|CVE-2005-0682|http://drupal.org/files/drupal-4.5-xss-fix.patch|Patch
24|CVE-2017-6931,CVE-2017-6928,CVE-2017-6932,CVE-2017-6930,CVE-2017-6926,CVE-2017-6929,CVE-2017-6927|https://www.drupal.org/sa-core-2018-001|Mitigation,Vendor Advisory
25|CVE-2018-7600|https://groups.drupal.org/security/faq-2018-002|Vendor Advisory
26|CVE-2018-7600|https://www.drupal.org/sa-core-2018-002|Vendor Advisory
27|CVE-2014-5170|https://www.drupal.org/node/2312655|Vendor Advisory
28|CVE-2014-5170|https://www.drupal.org/node/2312769|Vendor Advisory
29|CVE-2018-9205|https://www.drupal.org/project/avatar_uploader|Vendor Advisory,Release Notes
30|CVE-2018-9205|https://www.drupal.org/project/avatar_uploader/issues/2957966|Vendor Advisory
31|CVE-2014-1399,CVE-2014-1398,CVE-2014-1400|https://www.drupal.org/node/2169595|Patch,Vendor Advisory
32|CVE-2018-9861|https://www.drupal.org/sa-core-2018-003|Third Party Advisory
33|CVE-2019-19826|https://www.drupal.org/project/views_dynamic_fields/issues/3056600|Vendor Advisory
34|CVE-2014-9503,CVE-2014-9504,CVE-2014-9502|https://www.drupal.org/node/2394979|Vendor Advisory,Mitigation
35|CVE-2014-9503,CVE-2014-9504,CVE-2014-9502|https://www.drupal.org/node/2395045|Patch,Vendor Advisory
36|CVE-2014-5456|https://www.drupal.org/node/2323983|Patch
37|CVE-2014-5456|https://www.drupal.org/node/2324681|Patch,Vendor Advisory
38|CVE-2014-5179|https://www.drupal.org/node/2308503|Vendor Advisory
39|CVE-2014-5265,CVE-2014-5267,CVE-2014-5266|https://www.drupal.org/SA-CORE-2014-004|Patch,Vendor Advisory
40|CVE-2014-5250,CVE-2014-5249|https://www.drupal.org/node/2316023|
41|CVE-2014-5250,CVE-2014-5249|https://www.drupal.org/node/2316025|
42|CVE-2014-5250,CVE-2014-5249|https://www.drupal.org/node/2316717|Patch,Vendor Advisory
43|CVE-2014-5169|https://www.drupal.org/node/2311887|Patch
44|CVE-2014-5169|https://www.drupal.org/node/2312609|Vendor Advisory
45|CVE-2014-8078|https://drupal.org/node/2231671|Vendor Advisory
46|CVE-2014-8078|https://www.drupal.org/node/2231191|Patch
47|CVE-2014-8078|https://www.drupal.org/node/2231197|Patch
48|CVE-2014-8078|https://www.drupal.org/node/2231199|Patch
49|CVE-2014-8079|https://drupal.org/node/2194135|Vendor Advisory
50|CVE-2014-8079|https://www.drupal.org/node/2193987|Patch
51|CVE-2014-7978|https://www.drupal.org/node/2236251|Patch
52|CVE-2014-7978|https://www.drupal.org/node/2236797|Vendor Advisory
53|CVE-2014-7979|https://drupal.org/node/2236811|Vendor Advisory
54|CVE-2014-7979|https://www.drupal.org/node/2236255|Patch
55|CVE-2014-7980|http://drupal.org/node/2254925|Patch
56|CVE-2014-7980|https://www.drupal.org/node/2254835|Patch
57|CVE-2014-7980|https://www.drupal.org/node/2254837|Patch
58|CVE-2014-8378|https://www.drupal.org/node/2320027|Patch
59|CVE-2014-8378|https://www.drupal.org/node/2320613|Vendor Advisory
60|CVE-2014-8379|https://www.drupal.org/node/2324777|Patch
61|CVE-2014-8379|https://www.drupal.org/node/2324813|Vendor Advisory
62|CVE-2014-8075|https://www.drupal.org/node/2184845|Vendor Advisory
63|CVE-2014-8076|http://drupal.org/node/2248145|Vendor Advisory
64|CVE-2014-8076|https://www.drupal.org/node/2248095|Patch
65|CVE-2014-8077|https://www.drupal.org/node/2210619|Patch
66|CVE-2014-8077|https://www.drupal.org/node/2210621|Patch
67|CVE-2014-8077|https://www.drupal.org/node/2211381|Vendor Advisory
68|CVE-2013-4594|https://drupal.org/node/2128345|Patch
69|CVE-2013-4594|https://drupal.org/node/2129373|Vendor Advisory
70|CVE-2013-7406,CVE-2013-7407|https://www.drupal.org/node/2044173|Vendor Advisory
71|CVE-2014-8743|https://drupal.org/node/2200453|Vendor Advisory
72|CVE-2014-8743|https://www.drupal.org/node/2013653|Patch
73|CVE-2014-8744|https://www.drupal.org/node/2220545|Patch
74|CVE-2014-8744|https://www.drupal.org/node/2221481|Vendor Advisory
75|CVE-2014-8745|http://drupal.org/node/2248077|
76|CVE-2014-8745|https://www.drupal.org/node/2247919|Patch
77|CVE-2014-8745|https://www.drupal.org/node/2247921|Patch
78|CVE-2014-8746|https://www.drupal.org/node/2236259|Patch
79|CVE-2014-8746|https://www.drupal.org/node/2236821|Vendor Advisory
80|CVE-2014-8747|https://www.drupal.org/node/2194777|Patch
81|CVE-2014-8747|https://www.drupal.org/node/2194877|Vendor Advisory
82|CVE-2014-8748|https://drupal.org/node/2179085|Vendor Advisory
83|CVE-2014-8748|https://www.drupal.org/node/2172167|Patch
84|CVE-2014-8317|https://drupal.org/node/2194621|Vendor Advisory
85|CVE-2014-8317|https://www.drupal.org/node/2194011|Patch
86|CVE-2014-8317|https://www.drupal.org/node/2194013|Patch
87|CVE-2014-8318|https://drupal.org/node/2194671|Vendor Advisory
88|CVE-2014-8318|https://www.drupal.org/node/2194175|Patch
89|CVE-2014-8318|https://www.drupal.org/node/2194181|Patch
90|CVE-2014-8318|https://www.drupal.org/node/2194183|Patch
91|CVE-2014-8319|https://drupal.org/node/2194809|Vendor Advisory
92|CVE-2014-8319|https://www.drupal.org/node/2194401|Patch
93|CVE-2014-8320|https://drupal.org/node/2231665|Vendor Advisory
94|CVE-2014-8320,CVE-2014-7870|https://www.drupal.org/node/2231531|Patch
