|cve-ids|ex_url|types
0|CVE-2006-4028|http://wordpress.org/development/2006/07/wordpress-204/|Patch
1|CVE-2006-4208|http://trac.wordpress.org/changeset/4095|
2|CVE-2006-5705|http://trac.wordpress.org/changeset/4226|
3|CVE-2006-5705|http://wordpress.org/development/2006/10/205-ronan/|Patch
4|CVE-2006-6016|http://trac.wordpress.org/ticket/3142|
5|CVE-2006-6017|http://trac.wordpress.org/ticket/2591|
6|CVE-2006-6808|http://trac.wordpress.org/changeset/4665|
7|CVE-2005-1102|http://wordpress.org/support/topic.php?id=30721|Patch,Vendor Advisory
8|CVE-2018-7433,CVE-2020-36176,CVE-2018-12636|https://wordpress.org/plugins/better-wp-security/#developers|Product,Release Notes,Third Party Advisory
9|CVE-2018-7204|https://plugins.trac.wordpress.org/changeset/1823035/file-manager|Patch,Third Party Advisory
10|CVE-2018-7204|https://wordpress.org/plugins/file-manager/#developers|Third Party Advisory
11|CVE-2018-0546|https://plugins.trac.wordpress.org/changeset/1742744/|Third Party Advisory
12|CVE-2018-0546,CVE-2018-20978,CVE-2015-9330,CVE-2018-0547,CVE-2015-9331,CVE-2015-9329,CVE-2017-18567|https://wordpress.org/plugins/wp-all-import/#developers|Release Notes,Third Party Advisory
13|CVE-2018-0547|https://plugins.trac.wordpress.org/changeset/1827741/|Third Party Advisory
14|CVE-2014-10387,CVE-2016-10930,CVE-2019-7299,CVE-2014-10390,CVE-2019-15331,CVE-2018-1000131,CVE-2014-10389,CVE-2014-10388,CVE-2014-10391|https://wordpress.org/plugins/wp-support-plus-responsive-ticket-system/#developers|Release Notes,Third Party Advisory
15|CVE-2018-8711,CVE-2018-8710|https://wordpress.org/plugins/woocommerce-products-filter/#developers|Release Notes
16|CVE-2018-8729|https://plugins.trac.wordpress.org/changeset/1836276|Patch,Third Party Advisory
17|CVE-2016-10890,CVE-2018-8729,CVE-2016-10891|https://wordpress.org/plugins/aryo-activity-log/#developers|Release Notes,Third Party Advisory
18|CVE-2014-2274|https://wordpress.org/plugins/subscribe-to-comments-reloaded/#developers|Third Party Advisory
19|CVE-2014-2550|https://wordpress.org/plugins/disable-comments/#developers|Product,Third Party Advisory
20|CVE-2015-9297,CVE-2018-0576,CVE-2018-9020,CVE-2012-6716,CVE-2019-16523,CVE-2013-7478,CVE-2018-13137,CVE-2013-7479,CVE-2015-9299,CVE-2015-9300,CVE-2013-7477,CVE-2013-7480,CVE-2015-9298|https://wordpress.org/plugins/events-manager/#developers|Release Notes,Product,Vendor Advisory,Third Party Advisory
21|CVE-2014-6604|https://plugins.trac.wordpress.org/changeset/993564/subscribe2|Release Notes,Third Party Advisory
22|CVE-2015-9339,CVE-2015-9338,CVE-2015-9340,CVE-2015-9341,CVE-2018-9844,CVE-2020-10564,CVE-2018-9172|https://wordpress.org/plugins/wp-file-upload/#developers|Vendor Advisory,Release Notes,Third Party Advisory
23|CVE-2019-11185,CVE-2018-18460,CVE-2018-11105,CVE-2018-9864,CVE-2017-18507,CVE-2019-12498,CVE-2017-18508,CVE-2019-14950,CVE-2016-10879,CVE-2014-10386|https://wordpress.org/plugins/wp-live-chat-support/#developers|Patch,Release Notes,Product,Vendor Advisory,Third Party Advisory
24|CVE-2015-4557|https://plugins.trac.wordpress.org/changeset/1178744/nextend-twitter-connect|Third Party Advisory
25|CVE-2014-6412|https://core.trac.wordpress.org/ticket/28633|Vendor Advisory,Issue Tracking
26|CVE-2018-10100,CVE-2018-10101,CVE-2018-10102|https://codex.wordpress.org/Version_4.9.5|Vendor Advisory
27|CVE-2018-10100|https://core.trac.wordpress.org/changeset/42892|Vendor Advisory
28|CVE-2018-10100,CVE-2018-10101,CVE-2018-10102|https://wordpress.org/news/2018/04/wordpress-4-9-5-security-and-maintenance-release/|Vendor Advisory,Third Party Advisory
29|CVE-2018-10101|https://core.trac.wordpress.org/changeset/42894|Patch,Vendor Advisory
30|CVE-2018-10102|https://core.trac.wordpress.org/changeset/42893|Patch,Third Party Advisory
31|CVE-2018-7747|https://wordpress.org/plugins/caldera-forms/#developers|Product,Release Notes
32|CVE-2020-36155,CVE-2018-0585,CVE-2018-20965,CVE-2019-14945,CVE-2018-10234,CVE-2020-36156,CVE-2020-36157,CVE-2018-0587,CVE-2015-9304,CVE-2018-0586,CVE-2018-0590,CVE-2020-36170,CVE-2019-14947,CVE-2018-10233,CVE-2020-6859,CVE-2018-17866,CVE-2018-0588,CVE-2018-0589,CVE-2019-14946,CVE-2016-10872|https://wordpress.org/plugins/ultimate-member/#developers|Release Notes,Product,Vendor Advisory,Third Party Advisory
33|CVE-2018-10309|https://wordpress.org/plugins/responsive-cookie-consent/#developers|Third Party Advisory
34|CVE-2018-10310|https://wordpress.org/plugins/uk-cookie-consent/#developers|Product,Release Notes
35|CVE-2014-5014|https://wordpress.org/plugins/wordpress-flash-uploader/changelog/|Release Notes
36|CVE-2014-5014|https://wordpress.org/support/topic/vulnerability-discovered-2/|Issue Tracking
37|CVE-2018-10504,CVE-2019-11590,CVE-2019-10866|https://wordpress.org/plugins/form-maker/#developers|Release Notes,Third Party Advisory
38|CVE-2015-9538,CVE-2015-9537,CVE-2016-10889,CVE-2015-9228,CVE-2019-14314,CVE-2018-1000172,CVE-2018-7586|https://wordpress.org/plugins/nextgen-gallery/#developers|Vendor Advisory,Release Notes,Third Party Advisory
39|CVE-2018-10371|https://wordpress.org/plugins/wf-cookie-consent/#developers|Release Notes,Third Party Advisory
40|CVE-2016-10878,CVE-2015-9309,CVE-2015-9305,CVE-2015-9308,CVE-2018-0577,CVE-2015-9307|https://wordpress.org/plugins/wp-google-map-plugin/#developers|Release Notes,Exploit,Vendor Advisory,Third Party Advisory
41|CVE-2018-0578|https://wordpress.org/plugins/pixelyoursite/#developers|Third Party Advisory
42|CVE-2018-0579|https://wordpress.org/plugins/wonderm00ns-simple-facebook-open-graph-tags/#developers|Third Party Advisory
43|CVE-2018-11366|https://plugins.trac.wordpress.org/changeset/1878502/loginizer|Patch
44|CVE-2018-11366|https://wordpress.org/plugins/loginizer/#developers|Release Notes
45|CVE-2019-19589|https://wordpress.org/plugins/pdf-embedder/#developers|Release Notes
46|CVE-2013-5978|http://wordpress.org/plugins/cart66-lite/changelog|Release Notes,Third Party Advisory
47|CVE-2019-19198|https://wordpress.org/plugins/scoutnet-kalender/#developers|Vendor Advisory,Release Notes
48|CVE-2019-17599,CVE-2019-9575|https://wordpress.org/plugins/quiz-master-next/#developers|Product,Release Notes,Third Party Advisory
49|CVE-2019-6011,CVE-2019-6012|https://wordpress.org/plugins/wpdatatables/|Third Party Advisory
50|CVE-2019-6027|https://wordpress.org/plugins/wp-spell-check/|Product,Vendor Advisory,Release Notes
51|CVE-2019-6029,CVE-2019-6030|https://wordpress.org/plugins/wp-custom-body-class/|Vendor Advisory,Release Notes
52|CVE-2019-20042,CVE-2019-20043,CVE-2019-16781,CVE-2019-20041,CVE-2019-16780|https://wordpress.org/news/2019/12/wordpress-5-3-1-security-and-maintenance-release/|Release Notes,Vendor Advisory,Third Party Advisory
53|CVE-2019-20042|https://core.trac.wordpress.org/changeset/46894/trunk|Patch
54|CVE-2019-20043|https://core.trac.wordpress.org/changeset/46893/trunk|Patch
55|CVE-2014-4525|http://wordpress.org/plugins/ebay-feeds-for-wordpress/changelog|Release Notes
56|CVE-2014-4567|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=839986%40video-comments-webcam-recorder&old=686438%40video-comments-webcam-recorder|Patch
57|CVE-2014-4536|http://wordpress.org/plugins/infusionsoft/changelog|Release Notes
58|CVE-2018-3810,CVE-2018-3811|https://wordpress.org/plugins/smart-google-code-inserter/#developers|Release Notes,Third Party Advisory
59|CVE-2017-18010|https://wordpress.org/plugins/smart-marketing-for-wp/#developers|Release Notes,Third Party Advisory
60|CVE-2017-18011|https://wordpress.org/support/topic/affiliate-ads-for-clickbank-products-1-3-xss/|Exploit,Third Party Advisory
61|CVE-2017-18012|https://plugins.svn.wordpress.org/z-url-preview/trunk/readme.txt|Vendor Advisory,Release Notes
62|CVE-2017-18012|https://wordpress.org/plugins/z-url-preview/#developers|Release Notes
63|CVE-2017-18012|https://wordpress.org/support/topic/z-url-preview-1-6-1-cross-site-scripting/|Exploit,Vendor Advisory,Issue Tracking
64|CVE-2017-18015|https://wordpress.org/plugins/share-this-image/#developers|Release Notes
65|CVE-2017-18015|https://wordpress.org/support/topic/share-this-image-1-03-cross-site-scripting/|Exploit,Issue Tracking
66|CVE-2018-5212|https://wordpress.org/support/topic/stored-xss-bug-at-the-latest-version-of-simple-download-monitor/|Broken Link
67|CVE-2018-5214|https://wordpress.org/support/topic/stored-xss-bug-at-the-latest-version-of-add-link-to-facebook/|Broken Link
68|CVE-2014-8336,CVE-2014-8335|https://wordpress.org/plugins/wp-dbmanager/#developers|Third Party Advisory
69|CVE-2018-5285,CVE-2018-5284|https://wordpress.org/support/topic/stored-xss-csrf-bug-at-the-latest-version-of-imageinject/|Broken Link
70|CVE-2018-5292|https://wordpress.org/support/topic/xss-lfi-bugs-at-the-latest-version-of-gd-rating-system/|Broken Link
71|CVE-2018-5310|https://wordpress.org/plugins/media-from-ftp/#developers|Product,Release Notes
72|CVE-2018-5310|https://wordpress.org/support/topic/any-directory-traversal-bugs-at-the-latest-version-of-media-from-ftp/|Broken Link
73|CVE-2018-5311|https://wordpress.org/support/topic/stored-xss-bugs-at-the-latest-version-of-easy-custom-auto-excerpt/|Broken Link
74|CVE-2018-5312|https://wordpress.org/support/topic/stored-xss-bugs-at-the-latest-version-of-tabs-responsive/|Broken Link
75|CVE-2018-5316|https://wordpress.org/plugins/sagepay-server-gateway-for-woocommerce/#developers|Third Party Advisory
76|CVE-2018-5316|https://wordpress.org/support/topic/sagepay-server-gateway-for-woocommerce-1-0-7-cross-site-scripting/#post-9792337|Third Party Advisory
77|CVE-2017-2216,CVE-2019-15889,CVE-2017-18032,CVE-2017-2217|https://wordpress.org/plugins/download-manager/#developers|Patch,Release Notes,Product,Vendor Advisory,Third Party Advisory
78|CVE-2018-5776|https://codex.wordpress.org/Version_4.9.2|Product,Vendor Advisory
79|CVE-2018-5776|https://wordpress.org/news/2018/01/wordpress-4-9-2-security-and-maintenance-release/|Vendor Advisory,Release Notes
80|CVE-2018-6015,CVE-2019-13569,CVE-2019-14364,CVE-2018-0602|https://wordpress.org/plugins/email-subscribers/#developers|Vendor Advisory,Release Notes,Third Party Advisory
81|CVE-2018-6357|https://wordpress.org/plugins/acurax-social-media-widget/#developers|Third Party Advisory
82|CVE-2018-6194,CVE-2018-6195|https://plugins.trac.wordpress.org/changeset/1807349/wp-splashing-images|Patch,Vendor Advisory
83|CVE-2018-6465|https://wordpress.org/plugins/propertyhive/#developers|Vendor Advisory,Release Notes
84|CVE-2018-6465|https://wordpress.org/support/topic/wordpress-propertyhive-1-4-14-cross-site-scripting/|Third Party Advisory
85|CVE-2018-0511|https://plugins.trac.wordpress.org/changeset/1802137/#file1|Patch,Third Party Advisory
86|CVE-2018-6891|https://wordpress.org/plugins/bookly-responsive-appointment-booking-tool/#developers|Release Notes,Third Party Advisory
87|CVE-2020-36173,CVE-2017-18574,CVE-2020-8594,CVE-2019-15025,CVE-2018-19287,CVE-2020-12462,CVE-2020-36175,CVE-2018-20981,CVE-2018-19796,CVE-2018-20980,CVE-2018-7280,CVE-2018-16308,CVE-2020-36174|https://wordpress.org/plugins/ninja-forms/#developers|Release Notes,Issue Tracking,Product,Vendor Advisory,Third Party Advisory
88|CVE-2014-4520|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=904684%40dmca-watermarker&old=549072%40dmca-watermarker|Exploit,Patch
89|CVE-2014-4521|http://wordpress.org/plugins/dsidxpress/changelog|
90|CVE-2014-4524|http://wordpress.org/plugins/easy-post-types/changelog|Patch
91|CVE-2014-4524|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=842687%40easy-post-types&old=806912%40easy-post-types&sfp_email=&sfph_mail=|
92|CVE-2014-4527|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=843064%40envialosimple-email-marketing-y-newsletters-gratis&old=839677%40envialosimple-email-marketing-y-newsletters-gratis&sfp_email=&sfph_mail=|
93|CVE-2014-4547|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=848542%40rezgo-online-booking&old=748531%40rezgo-online-booking&sfp_email=&sfph_mail=#file500|
94|CVE-2014-4549|http://wordpress.org/plugins/sagepay-direct-for-woocommerce-payment-gateway/changelog|Patch
95|CVE-2014-4554|http://wordpress.org/plugins/ss-downloads/changelog|Patch
96|CVE-2014-4600|http://plugins.svn.wordpress.org/wp-ultimate-email-marketer/trunk/Readme.txt|
97|CVE-2014-4532|http://wordpress.org/plugins/garagesale/changelog|Patch
98|CVE-2014-4568|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=839990%40video-posts-webcam-recorder&old=686450%40video-posts-webcam-recorder&sfp_email=&sfph_mail=|
99|CVE-2014-4569|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=833654%40videowhisper-live-streaming-integration&old=833649%40videowhisper-live-streaming-integration&sfp_email=&sfph_mail=|Exploit,Patch
100|CVE-2014-4570|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=839980%40videowhisper-video-presentation&old=600781%40videowhisper-video-presentation&sfp_email=&sfph_mail=#file4|
101|CVE-2014-4574|http://wordpress.org/plugins/webengage/changelog|Patch
102|CVE-2014-4574|https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=844373%40webengage&old=788585%40webengage&sfp_email=&sfph_mail=|
103|CVE-2014-4594|http://wordpress.org/plugins/wp-responsive-preview/changelog|Patch
