|cve-ids|ex_url|types
0|CVE-2006-4339|http://jvndb.jvn.jp/ja/contents/2012/JVNDB-2012-000079.html|
1|CVE-2014-7257|http://jvndb.jvn.jp/ja/contents/2014/JVNDB-2014-000142.html|VDB Entry,Third Party Advisory
2|CVE-2015-2981|http://jvndb.jvn.jp/en/contents/2015/JVNDB-2015-000111.html|VDB Entry,Third Party Advisory
3|CVE-2014-3884|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000058|Vendor Advisory
4|CVE-2014-3885|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000059|Vendor Advisory
5|CVE-2014-3886|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000060|Vendor Advisory
6|CVE-2014-3889|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000065|Patch,Vendor Advisory
7|CVE-2014-3890|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000066|Patch
8|CVE-2014-3891|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000071|
9|CVE-2014-1980|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000092|
10|CVE-2014-3901|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000097|Vendor Advisory
11|CVE-2014-3902|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000098|
12|CVE-2014-3903|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000100|
13|CVE-2014-3904|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000095|Vendor Advisory
14|CVE-2014-3905|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000096|Vendor Advisory
15|CVE-2014-3906|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000099|
16|CVE-2014-3907|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000101|
17|CVE-2014-3908|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000102|
18|CVE-2014-3898|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000091|Vendor Advisory
19|CVE-2014-3899|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000085|
20|CVE-2014-3900|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000093|
21|CVE-2014-5239|http://jvndb.jvn.jp/jvndb/JVNDB-2014-000086|Vendor Advisory
