|cve-ids|ex_url|types
0|CVE-2017-15519|https://security.netapp.com/advisory/ntap-20180306-0001/|Vendor Advisory,Mitigation
1|CVE-2018-7170,CVE-2018-7183,CVE-2018-7184,CVE-2018-7185,CVE-2018-7182|https://security.netapp.com/advisory/ntap-20180626-0001/|Third Party Advisory
2|CVE-2016-8612|https://security.netapp.com/advisory/ntap-20180601-0005/|Third Party Advisory
3|CVE-2018-1050,CVE-2018-1057|https://security.netapp.com/advisory/ntap-20180313-0001/|Third Party Advisory
4|CVE-2018-1302,CVE-2018-1303,CVE-2018-1301,CVE-2017-15710,CVE-2017-15715,CVE-2018-1283,CVE-2018-1312|https://security.netapp.com/advisory/ntap-20180601-0004/|Third Party Advisory
5|CVE-2018-8048,CVE-2019-15587|https://security.netapp.com/advisory/ntap-20191122-0003/|
6|CVE-2018-0733,CVE-2018-0739|https://security.netapp.com/advisory/ntap-20180330-0002/|Third Party Advisory
7|CVE-2018-3066,CVE-2018-3071,CVE-2018-3079,CVE-2018-3065,CVE-2018-3073,CVE-2018-3054,CVE-2018-3062,CVE-2018-3074,CVE-2018-3080,CVE-2017-5645,CVE-2018-3070,CVE-2018-3084,CVE-2018-2598,CVE-2018-3081,CVE-2018-3077,CVE-2018-3056,CVE-2018-3075,CVE-2018-0739,CVE-2018-3078,CVE-2017-0379,CVE-2018-3067,CVE-2018-3058,CVE-2018-3060,CVE-2018-3061,CVE-2018-3064,CVE-2018-3082,CVE-2018-2767,CVE-2018-3063|https://security.netapp.com/advisory/ntap-20180726-0002/|Patch,Third Party Advisory
8|CVE-2018-1327|https://security.netapp.com/advisory/ntap-20180330-0001/|Third Party Advisory
9|CVE-2017-5703|https://security.netapp.com/advisory/ntap-20180924-0004/|
10|CVE-2017-5130,CVE-2017-18258|https://security.netapp.com/advisory/ntap-20190719-0001/|
11|CVE-2018-0737|https://security.netapp.com/advisory/ntap-20180726-0003/|
12|CVE-2018-2779,CVE-2018-2762,CVE-2018-2805,CVE-2018-2766,CVE-2018-2839,CVE-2018-2846,CVE-2018-2773,CVE-2018-2759,CVE-2018-2782,CVE-2018-2816,CVE-2018-2818,CVE-2018-2817,CVE-2018-2813,CVE-2018-2755,CVE-2016-9878,CVE-2018-2819,CVE-2018-2877,CVE-2018-2761,CVE-2018-2787,CVE-2018-2758,CVE-2018-2771,CVE-2018-2769,CVE-2018-2778,CVE-2018-2781,CVE-2018-2776,CVE-2018-2780,CVE-2018-2777,CVE-2018-2786,CVE-2017-3737,CVE-2018-2810,CVE-2018-2812,CVE-2018-2775,CVE-2018-2784|https://security.netapp.com/advisory/ntap-20180419-0002/|Third Party Advisory
13|CVE-2018-2783,CVE-2018-2796,CVE-2018-2800,CVE-2018-2826,CVE-2018-2811,CVE-2018-2798,CVE-2018-2799,CVE-2018-2815,CVE-2018-2795,CVE-2018-2825,CVE-2018-2794,CVE-2018-2814,CVE-2018-2790,CVE-2018-2797|https://security.netapp.com/advisory/ntap-20180419-0001/|Third Party Advisory
14|CVE-2018-5486|https://security.netapp.com/advisory/ntap-20180425-0001/|Vendor Advisory,Mitigation
15|CVE-2018-10548,CVE-2018-10546,CVE-2018-10547,CVE-2018-10545,CVE-2018-10549|https://security.netapp.com/advisory/ntap-20180607-0003/|Third Party Advisory
16|CVE-2018-1413,CVE-2017-1428,CVE-2017-1784,CVE-2017-1783,CVE-2018-1842,CVE-2017-1779,CVE-2017-1427|https://security.netapp.com/advisory/ntap-20190329-0003/|Broken Link
17|CVE-2018-1413,CVE-2017-1428,CVE-2017-1784,CVE-2017-1783,CVE-2018-1842,CVE-2017-1779,CVE-2017-1427|https://security.netapp.com/advisory/ntap-20190401-0003/|Third Party Advisory
18|CVE-2018-8897|https://security.netapp.com/advisory/ntap-20180927-0002/|
