|cve-ids|ex_url|types
0|CVE-2014-5044|http://www.openwall.com/lists/oss-security/2014/07/24/1|Mailing List,Third Party Advisory
1|CVE-2014-5044|http://www.openwall.com/lists/oss-security/2014/07/31/6|Mailing List,Third Party Advisory
2|CVE-2014-7271,CVE-2014-7272|http://www.openwall.com/lists/oss-security/2014/10/06/4|Mailing List,Issue Tracking,Third Party Advisory
3|CVE-2018-7290|http://www.openwall.com/lists/oss-security/2018/03/08/5|Mailing List,Third Party Advisory
4|CVE-2016-5314|http://www.openwall.com/lists/oss-security/2016/06/15/1|Mailing List
5|CVE-2016-5314|http://www.openwall.com/lists/oss-security/2016/06/15/9|Mailing List
6|CVE-2016-5314|http://www.openwall.com/lists/oss-security/2016/06/30/3|Mailing List
7|CVE-2018-7858|http://www.openwall.com/lists/oss-security/2018/03/09/1|Patch,Mailing List,Third Party Advisory
8|CVE-2018-1000085|http://www.openwall.com/lists/oss-security/2017/09/29/4|Patch,Mailing List,Issue Tracking,Third Party Advisory
9|CVE-2018-8741|http://www.openwall.com/lists/oss-security/2018/03/17/2|Mailing List,Third Party Advisory
10|CVE-2014-2885,CVE-2014-2884|http://www.openwall.com/lists/oss-security/2014/04/17/7|Mailing List,Issue Tracking
11|CVE-2014-5443|http://www.openwall.com/lists/oss-security/2014/08/24/3|Mailing List
12|CVE-2014-5450|http://www.openwall.com/lists/oss-security/2014/08/25/1|Mailing List
13|CVE-2018-5233|http://www.openwall.com/lists/oss-security/2018/03/15/1|Exploit,Mailing List,Third Party Advisory
14|CVE-2014-2032,CVE-2014-2031|http://www.openwall.com/lists/oss-security/2014/02/19/15|Mailing List
15|CVE-2017-15710|http://www.openwall.com/lists/oss-security/2018/03/24/8|Mailing List,Third Party Advisory
16|CVE-2017-15715|http://www.openwall.com/lists/oss-security/2018/03/24/6|Mailing List,Third Party Advisory
17|CVE-2018-1283|http://www.openwall.com/lists/oss-security/2018/03/24/4|Mailing List,Third Party Advisory
18|CVE-2018-1301|http://www.openwall.com/lists/oss-security/2018/03/24/2|Mailing List,Third Party Advisory
19|CVE-2018-1302|http://www.openwall.com/lists/oss-security/2018/03/24/5|Mailing List,Third Party Advisory
20|CVE-2018-1303|http://www.openwall.com/lists/oss-security/2018/03/24/3|Mailing List,Third Party Advisory
21|CVE-2018-1312|http://www.openwall.com/lists/oss-security/2018/03/24/7|Mailing List,Third Party Advisory
22|CVE-2014-2312|http://www.openwall.com/lists/oss-security/2014/03/08/4|Mailing List,Third Party Advisory
23|CVE-2014-2312|http://www.openwall.com/lists/oss-security/2014/03/09/2|Mailing List,Third Party Advisory
24|CVE-2018-8718|http://www.openwall.com/lists/oss-security/2018/03/26/3|Mailing List,Third Party Advisory
25|CVE-2018-8048|http://www.openwall.com/lists/oss-security/2018/03/19/5|Mailing List,Third Party Advisory
26|CVE-2014-5028|http://www.openwall.com/lists/oss-security/2014/07/22/12|Mailing List,Third Party Advisory
27|CVE-2014-5169,CVE-2014-5170|http://www.openwall.com/lists/oss-security/2014/07/31/4|Mailing List,Third Party Advisory
28|CVE-2014-3539|http://www.openwall.com/lists/oss-security/2015/02/07/1|Mailing List,Third Party Advisory
29|CVE-2013-6876|http://www.openwall.com/lists/oss-security/2014/06/03/11|Mailing List,Third Party Advisory
30|CVE-2014-1226|http://www.openwall.com/lists/oss-security/2014/06/03/13|Mailing List,Third Party Advisory
31|CVE-2014-1399,CVE-2014-1398,CVE-2014-1400|http://www.openwall.com/lists/oss-security/2014/01/09/3|Mailing List,Third Party Advisory
32|CVE-2014-3114|http://www.openwall.com/lists/oss-security/2014/05/01/11|Mailing List,Third Party Advisory
33|CVE-2014-3999|http://www.openwall.com/lists/oss-security/2014/06/14/1|Mailing List
