|cve-ids|ex_url|types
0|CVE-2006-2451|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=195902|
1|CVE-2006-2933|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=177755|
2|CVE-2006-2935|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=197670|Issue Tracking,Third Party Advisory
3|CVE-2006-2936|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=197610|
4|CVE-2006-3467|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=190593|
5|CVE-2006-3468|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=199172|
6|CVE-2006-3626|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=198973|
7|CVE-2006-3746|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=200502|Exploit
8|CVE-2006-1168|https://bugzilla.redhat.com/show_bug.cgi?id=728536|
9|CVE-2006-2446|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=192779|Patch
10|CVE-2006-4146|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=204841|Patch
11|CVE-2006-4192|https://bugzilla.redhat.com/show_bug.cgi?id=497154|
12|CVE-2006-4262|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=203645|Patch,Vendor Advisory
13|CVE-2006-4484|https://bugzilla.redhat.com/show_bug.cgi?id=431568|
14|CVE-2006-4335,CVE-2006-4337,CVE-2006-4338,CVE-2006-4336,CVE-2006-4334|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=204676|
15|CVE-2006-4535|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=204460|
16|CVE-2006-4924|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=207955|Patch,Vendor Advisory
17|CVE-2006-3741|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=204360|Patch
18|CVE-2006-4342|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=205618|Exploit
19|CVE-2006-4811|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=210742|
20|CVE-2006-4813|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=207463|Patch
21|CVE-2006-4980|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=208162|
22|CVE-2006-4997|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=206265|
23|CVE-2006-5170|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=207286|
24|CVE-2006-5456|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=210921|Patch
25|CVE-2006-5633|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=213237|Exploit
26|CVE-2006-5466|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=212833|Exploit
27|CVE-2006-5815,CVE-2006-6171,CVE-2006-6170|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=214820|Vendor Advisory
28|CVE-2006-5989|https://bugzilla.redhat.com/bugzilla/attachment.cgi?id=136650|
29|CVE-2006-5989|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=206736|
30|CVE-2006-6097|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=216937|Exploit
31|CVE-2006-6106|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=218602|
32|CVE-2006-6303|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=218287|Patch
33|CVE-2006-6698|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=219279|Exploit
34|CVE-2004-0884|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=134657|
35|CVE-2004-1057|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=137821|Patch,Vendor Advisory
36|CVE-2005-0449,CVE-2004-1058,CVE-2004-1333,CVE-2005-0384,CVE-2005-0815,CVE-2005-0749,CVE-2005-0400,CVE-2005-0750|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=152532|Patch,Vendor Advisory
37|CVE-2004-0966|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=136323|
38|CVE-2004-0967|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=136321|
39|CVE-2004-0968|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=136318|
40|CVE-2004-0969|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=136313|
41|CVE-2004-0971|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=136304|
42|CVE-2004-0972|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=136308|
43|CVE-2004-0975|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=136302|
44|CVE-2004-0977|http://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=136300|
45|CVE-2005-0398|https://bugzilla.redhat.com/bugzilla/attachment.cgi?id=109966&action=view|Patch,Vendor Advisory
46|CVE-2005-1043|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=154025|Vendor Advisory
47|CVE-2005-0086|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=145527|
48|CVE-2005-0135|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=148868|Patch
49|CVE-2005-0238|https://bugzilla.redhat.com/beta/show_bug.cgi?id=147399|Patch,Vendor Advisory
50|CVE-2005-0399|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=150877|Vendor Advisory
51|CVE-2005-0706|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=152919|
52|CVE-2005-1042|https://bugzilla.redhat.com/bugzilla/show_bug.cgi?id=154021|
53|CVE-2005-1061|https://bugzilla.redhat.com/bugzilla-old/show_bug.cgi?id=137502|
54|CVE-2010-2322,CVE-2010-0831,CVE-2005-1080|https://bugzilla.redhat.com/show_bug.cgi?id=594497|
55|CVE-2010-2322,CVE-2010-0831,CVE-2005-1080|https://bugzilla.redhat.com/show_bug.cgi?id=601823|
56|CVE-2018-1065|https://bugzilla.redhat.com/show_bug.cgi?id=1547824|Issue Tracking,Third Party Advisory
57|CVE-2018-1066|https://bugzilla.redhat.com/show_bug.cgi?id=1539599|Issue Tracking,Third Party Advisory
58|CVE-2017-15130|https://bugzilla.redhat.com/show_bug.cgi?id=1532356|Issue Tracking,Third Party Advisory
59|CVE-2018-1058|https://bugzilla.redhat.com/show_bug.cgi?id=1547044|Issue Tracking,Third Party Advisory
60|CVE-2018-1063|https://bugzilla.redhat.com/show_bug.cgi?id=1550122|Vendor Advisory,Mitigation,Issue Tracking
61|CVE-2018-1062|https://bugzilla.redhat.com/show_bug.cgi?id=1549944|Issue Tracking,Third Party Advisory
62|CVE-2018-5729|https://bugzilla.redhat.com/show_bug.cgi?id=1551083|Patch,Issue Tracking,Third Party Advisory
63|CVE-2018-5730|https://bugzilla.redhat.com/show_bug.cgi?id=1551082|Patch,Issue Tracking,Third Party Advisory
64|CVE-2018-7170|https://bugzilla.redhat.com/show_bug.cgi?id=1550214|Issue Tracking,Third Party Advisory
65|CVE-2018-1054|https://bugzilla.redhat.com/show_bug.cgi?id=1537314|Patch,Issue Tracking
66|CVE-2014-5044|https://bugzilla.redhat.com/show_bug.cgi?id=1122812|Patch,Issue Tracking,Third Party Advisory
67|CVE-2017-12174|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2017-12174|Vendor Advisory,Issue Tracking
68|CVE-2014-7271|https://bugzilla.redhat.com/show_bug.cgi?id=1149608|Issue Tracking
69|CVE-2014-7272|https://bugzilla.redhat.com/show_bug.cgi?id=1149610|Issue Tracking
70|CVE-2018-1069|https://bugzilla.redhat.com/show_bug.cgi?id=1552987|Mitigation,Issue Tracking
71|CVE-2016-9585|https://bugzilla.redhat.com/show_bug.cgi?id=1404528|Issue Tracking
72|CVE-2018-1071|https://bugzilla.redhat.com/show_bug.cgi?id=1553531|Issue Tracking,Third Party Advisory
73|CVE-2018-8000|https://bugzilla.redhat.com/show_bug.cgi?id=1548918|Exploit,Issue Tracking,Third Party Advisory
74|CVE-2018-8001|https://bugzilla.redhat.com/show_bug.cgi?id=1549469|Issue Tracking,Third Party Advisory
75|CVE-2018-8002|https://bugzilla.redhat.com/show_bug.cgi?id=1548930|Issue Tracking,Third Party Advisory
76|CVE-2016-8612|https://bugzilla.redhat.com/show_bug.cgi?id=1387605|Issue Tracking,Third Party Advisory
77|CVE-2016-9591|https://bugzilla.redhat.com/show_bug.cgi?id=1406405|Exploit,Issue Tracking,Third Party Advisory
78|CVE-2016-9606|https://bugzilla.redhat.com/show_bug.cgi?id=1400644|Issue Tracking,Third Party Advisory
79|CVE-2014-8129|https://bugzilla.redhat.com/show_bug.cgi?id=1185815|Patch,Issue Tracking
80|CVE-2014-8130|https://bugzilla.redhat.com/show_bug.cgi?id=1185817|Patch,Issue Tracking
81|CVE-2016-5314|https://bugzilla.redhat.com/show_bug.cgi?id=1346687|Issue Tracking,Third Party Advisory
82|CVE-2016-8629|https://bugzilla.redhat.com/show_bug.cgi?id=1388988|Issue Tracking
83|CVE-2016-9589|https://bugzilla.redhat.com/show_bug.cgi?id=1404782|Issue Tracking
84|CVE-2016-9600|https://bugzilla.redhat.com/show_bug.cgi?id=1410026|Patch,Issue Tracking,Third Party Advisory
85|CVE-2017-2585|https://bugzilla.redhat.com/show_bug.cgi?id=1412376|Issue Tracking
86|CVE-2017-2619|https://bugzilla.redhat.com/show_bug.cgi?id=1429472|Issue Tracking,Third Party Advisory
87|CVE-2017-2628|https://bugzilla.redhat.com/show_bug.cgi?id=1422464|Issue Tracking
88|CVE-2017-2661|https://bugzilla.redhat.com/show_bug.cgi?id=1428948|Patch,Issue Tracking,Third Party Advisory
89|CVE-2017-2667|https://bugzilla.redhat.com/show_bug.cgi?id=1436262|Issue Tracking
90|CVE-2018-7858|https://bugzilla.redhat.com/show_bug.cgi?id=1553402|Issue Tracking,Third Party Advisory
91|CVE-2016-9575|https://bugzilla.redhat.com/show_bug.cgi?id=1395311|Issue Tracking,Third Party Advisory
92|CVE-2018-1050|https://bugzilla.redhat.com/show_bug.cgi?id=1538771|Issue Tracking,Third Party Advisory
93|CVE-2018-1057|https://bugzilla.redhat.com/show_bug.cgi?id=1553553|Issue Tracking,Third Party Advisory
94|CVE-2018-1077|https://bugzilla.redhat.com/show_bug.cgi?id=1555429|Issue Tracking,Third Party Advisory
95|CVE-2017-12194|https://bugzilla.redhat.com/show_bug.cgi?id=1501200|Issue Tracking,Third Party Advisory
96|CVE-2018-1068|https://bugzilla.redhat.com/show_bug.cgi?id=1552048|Issue Tracking,Third Party Advisory
97|CVE-2018-1078|https://bugzilla.redhat.com/show_bug.cgi?id=1533501|Not Applicable,Issue Tracking
98|CVE-2014-5450|https://bugzilla.redhat.com/show_bug.cgi?id=1133439|Issue Tracking
99|CVE-2018-7262|https://bugzilla.redhat.com/show_bug.cgi?id=1546611|Issue Tracking
100|CVE-2018-1000135|https://bugzilla.redhat.com/show_bug.cgi?id=1553634|Issue Tracking,Third Party Advisory
101|CVE-2014-2032,CVE-2014-2031|https://bugzilla.redhat.com/show_bug.cgi?id=1066609|Issue Tracking
102|CVE-2018-1091|https://bugzilla.redhat.com/show_bug.cgi?id=1558149|Issue Tracking,Third Party Advisory
103|CVE-2018-1083|https://bugzilla.redhat.com/show_bug.cgi?id=1557382|Issue Tracking,Third Party Advisory
104|CVE-2018-1064|https://bugzilla.redhat.com/show_bug.cgi?id=1550672|Patch,Issue Tracking,Third Party Advisory
105|CVE-2014-5028|https://bugzilla.redhat.com/show_bug.cgi?id=1123692|Issue Tracking,Third Party Advisory
106|CVE-2018-9145|https://bugzilla.redhat.com/show_bug.cgi?id=1564281|Issue Tracking,Third Party Advisory
107|CVE-2018-7566|https://bugzilla.redhat.com/show_bug.cgi?id=1550142|Patch,Issue Tracking,Third Party Advisory
108|CVE-2018-1092|https://bugzilla.redhat.com/show_bug.cgi?id=1560777|Issue Tracking,Third Party Advisory
109|CVE-2018-1093|https://bugzilla.redhat.com/show_bug.cgi?id=1560782|Issue Tracking,Third Party Advisory
110|CVE-2018-1094|https://bugzilla.redhat.com/show_bug.cgi?id=1560788|Issue Tracking,Third Party Advisory
111|CVE-2018-1095|https://bugzilla.redhat.com/show_bug.cgi?id=1560793|Issue Tracking
112|CVE-2018-1098|https://bugzilla.redhat.com/show_bug.cgi?id=1552714|Issue Tracking,Third Party Advisory
113|CVE-2018-1099|https://bugzilla.redhat.com/show_bug.cgi?id=1552717|Patch,Vendor Advisory,Issue Tracking
114|CVE-2018-1097|https://bugzilla.redhat.com/show_bug.cgi?id=1561723|Issue Tracking,Third Party Advisory
115|CVE-2018-1096|https://bugzilla.redhat.com/show_bug.cgi?id=1561061|Issue Tracking,Third Party Advisory
116|CVE-2014-3539|https://bugzilla.redhat.com/show_bug.cgi?id=1116485|Issue Tracking,Third Party Advisory
117|CVE-2014-0158|https://bugzilla.redhat.com/show_bug.cgi?id=1082925|Issue Tracking,Third Party Advisory
118|CVE-2014-1399,CVE-2014-1398,CVE-2014-1400|https://bugzilla.redhat.com/show_bug.cgi?id=1050802|Issue Tracking,Third Party Advisory
119|CVE-2014-3999|https://bugzilla.redhat.com/show_bug.cgi?id=1109628|Issue Tracking
120|CVE-2017-2599|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2017-2599|Issue Tracking,Third Party Advisory
121|CVE-2017-7534|https://bugzilla.redhat.com/show_bug.cgi?id=1443003|Issue Tracking
122|CVE-2018-1100|https://bugzilla.redhat.com/show_bug.cgi?id=1563395|Issue Tracking,Third Party Advisory
123|CVE-2015-1777|https://bugzilla.redhat.com/show_bug.cgi?id=1198740|Issue Tracking
124|CVE-2018-1086|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-1086|Issue Tracking,Third Party Advisory
125|CVE-2018-1079|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-1079|Issue Tracking,Third Party Advisory
126|CVE-2018-1084|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-1084|Patch,Issue Tracking,Third Party Advisory
127|CVE-2014-6412|https://bugzilla.redhat.com/show_bug.cgi?id=1192474|Issue Tracking,Third Party Advisory
128|CVE-2016-9592|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9592|Issue Tracking,Third Party Advisory
129|CVE-2016-9593|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9593|Issue Tracking,Third Party Advisory
130|CVE-2017-12196|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2017-12196|Vendor Advisory,Issue Tracking
131|CVE-2018-1088|https://bugzilla.redhat.com/show_bug.cgi?id=1558721|Patch,Vendor Advisory,Issue Tracking
132|CVE-2016-9586|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9586|Issue Tracking,Third Party Advisory
133|CVE-2016-9594|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9594|Issue Tracking,Third Party Advisory
134|CVE-2018-1106|https://bugzilla.redhat.com/show_bug.cgi?id=1565992|Issue Tracking,Third Party Advisory
135|CVE-2016-9599|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9599|Issue Tracking,Third Party Advisory
136|CVE-2016-9601|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9601|Issue Tracking,Third Party Advisory
137|CVE-2016-9587|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9587|Issue Tracking,Third Party Advisory
138|CVE-2018-1059|https://bugzilla.redhat.com/show_bug.cgi?id=1544298|Issue Tracking,Third Party Advisory
139|CVE-2018-1112|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-1112|Issue Tracking,Third Party Advisory
140|CVE-2016-9590|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9590|Patch,Vendor Advisory,Issue Tracking
141|CVE-2018-1074|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2018-1074|Issue Tracking,Third Party Advisory
142|CVE-2016-9602|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-9602|Issue Tracking,Third Party Advisory
143|CVE-2014-1846,CVE-2014-1845|https://bugzilla.redhat.com/show_bug.cgi?id=1059410|Issue Tracking
144|CVE-2017-2591|https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2017-2591|Issue Tracking,Third Party Advisory
145|CVE-2018-1102|https://bugzilla.redhat.com/show_bug.cgi?id=1562246|Patch,Vendor Advisory,Issue Tracking
