|cve-ids|ex_url|types|solution
0|CVE-2006-5891|http://www.securityfocus.com/archive/1/451519/100/0/threaded||
1|CVE-2006-5892|http://www.securityfocus.com/archive/1/451320/100/0/threaded||
2|CVE-2006-5892|http://www.securityfocus.com/bid/20987|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
3|CVE-2006-5893|http://www.securityfocus.com/bid/21012||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
4|CVE-2006-5894|http://www.securityfocus.com/bid/21009|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
5|CVE-2006-5895|http://www.securityfocus.com/archive/1/451298/100/0/threaded||
6|CVE-2006-5895|http://www.securityfocus.com/bid/21001|Exploit|Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
7|CVE-2006-5896|http://www.securityfocus.com/archive/1/453020/100/0/threaded||
8|CVE-2006-5897|http://www.securityfocus.com/archive/1/450919/100/0/threaded||
9|CVE-2006-5898|http://www.securityfocus.com/archive/1/450923/100/0/threaded||
10|CVE-2006-5899|http://www.securityfocus.com/archive/1/450676/100/0/threaded||
11|CVE-2006-5899|http://www.securityfocus.com/archive/1/450685/100/0/threaded||
12|CVE-2006-5900|http://www.securityfocus.com/archive/1/450707/100/0/threaded||
13|CVE-2006-5901|http://www.securityfocus.com/archive/1/450138/100/100/threaded||
14|CVE-2006-5902,CVE-2006-5903|http://www.securityfocus.com/archive/1/450683/100/0/threaded||
15|CVE-2006-5904|http://www.securityfocus.com/archive/1/450693/100/0/threaded||
16|CVE-2006-5905|http://www.securityfocus.com/archive/1/450556/100/0/threaded||
17|CVE-2006-5906|http://www.securityfocus.com/archive/1/449910/100/200/threaded||
18|CVE-2006-5906|http://www.securityfocus.com/archive/1/449927/100/200/threaded||
19|CVE-2006-5907,CVE-2006-5906|http://www.securityfocus.com/archive/1/449955/100/200/threaded||
20|CVE-2006-5906|http://www.securityfocus.com/archive/1/450297/100/200/threaded||
21|CVE-2006-5906|http://www.securityfocus.com/bid/20772||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.<LINE BREAK><LINE BREAK>This BID is being retired because further analysis reveals that the application is not vulnerable to this issue.
22|CVE-2006-5907|http://www.securityfocus.com/bid/20779||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.com.
23|CVE-2006-5908|http://www.securityfocus.com/bid/20963||Currently we are not aware of any vendor-supplied patches for this issue. If you feel we are in error or if you are aware of more recent information, please mail us at: vuldb@securityfocus.commailto:vuldb@securityfocus.com.
24|CVE-2006-5909|http://www.securityfocus.com/archive/1/450679/100/0/threaded||
25|CVE-2006-5909|http://www.securityfocus.com/archive/1/460196/100/0/threaded||
